context: The water is alive. response:	Once you dive in, it will immediately bare its fangs and attack.
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack. response:	But there's nothing to fear.
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear. response:	Don't resist the water.
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water. response:	Thrust your fingers into the surface
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface response:	and carve an opening.
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening. response:	Then you slide your body through that opening.
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening. response:	Moving your arms, your head, your chest...
context: The water is alive.\Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest... response:	His swimming always looks so smooth.
context: Once you dive in, it will immediately bare its fangs and attack.\But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\His swimming always looks so smooth. response:	Yep, like a dolphin!
context: But there's nothing to fear.\Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\His swimming always looks so smooth.\Yep, like a dolphin! response:	Who's that?
context: Don't resist the water.\Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\His swimming always looks so smooth.\Yep, like a dolphin!\Who's that? response:	Matsuoka Rin-kun.
context: Thrust your fingers into the surface\and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\His swimming always looks so smooth.\Yep, like a dolphin!\Who's that?\Matsuoka Rin-kun. response:	He transferred into our class last week.
context: and carve an opening.\Then you slide your body through that opening.\Moving your arms, your head, your chest...\His swimming always looks so smooth.\Yep, like a dolphin!\Who's that?\Matsuoka Rin-kun.\He transferred into our class last week. response:	Nobody can beat you when you're in the water, Haru-chan.
context: Then you slide your body through that opening.\Moving your arms, your head, your chest...\His swimming always looks so smooth.\Yep, like a dolphin!\Who's that?\Matsuoka Rin-kun.\He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan. response:	Stop calling me -chan already.
context: Moving your arms, your head, your chest...\His swimming always looks so smooth.\Yep, like a dolphin!\Who's that?\Matsuoka Rin-kun.\He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already. response:	That was so cool, Nanase-kun!
context: His swimming always looks so smooth.\Yep, like a dolphin!\Who's that?\Matsuoka Rin-kun.\He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already.\That was so cool, Nanase-kun! response:	I wanna swim like you!
context: Yep, like a dolphin!\Who's that?\Matsuoka Rin-kun.\He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already.\That was so cool, Nanase-kun!\I wanna swim like you! response:	You're as fast as the rumors said.
context: Who's that?\Matsuoka Rin-kun.\He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already.\That was so cool, Nanase-kun!\I wanna swim like you!\You're as fast as the rumors said. response:	What was your time?
context: Matsuoka Rin-kun.\He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already.\That was so cool, Nanase-kun!\I wanna swim like you!\You're as fast as the rumors said.\What was your time? response:	I don't care about my time.
context: He transferred into our class last week.\Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already.\That was so cool, Nanase-kun!\I wanna swim like you!\You're as fast as the rumors said.\What was your time?\I don't care about my time. response:	That's just like the rumors said, too.
context: Nobody can beat you when you're in the water, Haru-chan.\Stop calling me -chan already.\That was so cool, Nanase-kun!\I wanna swim like you!\You're as fast as the rumors said.\What was your time?\I don't care about my time.\That's just like the rumors said, too. response:	Hey, Nanase.
context: Stop calling me -chan already.\That was so cool, Nanase-kun!\I wanna swim like you!\You're as fast as the rumors said.\What was your time?\I don't care about my time.\That's just like the rumors said, too.\Hey, Nanase. response:	You interested
context: That was so cool, Nanase-kun!\I wanna swim like you!\You're as fast as the rumors said.\What was your time?\I don't care about my time.\That's just like the rumors said, too.\Hey, Nanase.\You interested response:	in entering a relay with me at the next tournament?
context: I wanna swim like you!\You're as fast as the rumors said.\What was your time?\I don't care about my time.\That's just like the rumors said, too.\Hey, Nanase.\You interested\in entering a relay with me at the next tournament? response:	I only do freestyle.
context: You're as fast as the rumors said.\What was your time?\I don't care about my time.\That's just like the rumors said, too.\Hey, Nanase.\You interested\in entering a relay with me at the next tournament?\I only do freestyle. response:	That's right, I don't care about swimming faster times.
context: What was your time?\I don't care about my time.\That's just like the rumors said, too.\Hey, Nanase.\You interested\in entering a relay with me at the next tournament?\I only do freestyle.\That's right, I don't care about swimming faster times. response:	All I want is to feel the water.
context: I don't care about my time.\That's just like the rumors said, too.\Hey, Nanase.\You interested\in entering a relay with me at the next tournament?\I only do freestyle.\That's right, I don't care about swimming faster times.\All I want is to feel the water. response:	With my skin, my eyes, my soul...
context: That's just like the rumors said, too.\Hey, Nanase.\You interested\in entering a relay with me at the next tournament?\I only do freestyle.\That's right, I don't care about swimming faster times.\All I want is to feel the water.\With my skin, my eyes, my soul... response:	To never doubt what it makes me feel.
context: Hey, Nanase.\You interested\in entering a relay with me at the next tournament?\I only do freestyle.\That's right, I don't care about swimming faster times.\All I want is to feel the water.\With my skin, my eyes, my soul...\To never doubt what it makes me feel. response:	Believe in myself.
context: You interested\in entering a relay with me at the next tournament?\I only do freestyle.\That's right, I don't care about swimming faster times.\All I want is to feel the water.\With my skin, my eyes, my soul...\To never doubt what it makes me feel.\Believe in myself. response:	Don't resist the water.
