context: So, um, Yuuki... response:	Hi.
context: So, um, Yuuki...\Hi. response:	This is a friend of Yanagi's, a doctor.
context: So, um, Yuuki...\Hi.\This is a friend of Yanagi's, a doctor. response:	Apparently, he used to work at a hospital in Obihiro.
context: So, um, Yuuki...\Hi.\This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro. response:	You're from ONLO?
context: So, um, Yuuki...\Hi.\This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro.\You're from ONLO? response:	Yanagi asked me to help you with some counseling.
context: So, um, Yuuki...\Hi.\This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro.\You're from ONLO?\Yanagi asked me to help you with some counseling. response:	I was already here on business, so I figured I might as well.
context: So, um, Yuuki...\Hi.\This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro.\You're from ONLO?\Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well. response:	It is her. She's the one who shot Anzai.
context: So, um, Yuuki...\Hi.\This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro.\You're from ONLO?\Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai. response:	But back there...
context: Hi.\This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro.\You're from ONLO?\Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai.\But back there... response:	Don't fight me, and I'll make sure you get back unharmed.
context: This is a friend of Yanagi's, a doctor.\Apparently, he used to work at a hospital in Obihiro.\You're from ONLO?\Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai.\But back there...\Don't fight me, and I'll make sure you get back unharmed. response:	I don't want to hurt you. Just do as I say.
context: Apparently, he used to work at a hospital in Obihiro.\You're from ONLO?\Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai.\But back there...\Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say. response:	Why be nice to me?
