context: Don't drop the pressure! response:	If we stop, it's all over!
context: Don't drop the pressure!\If we stop, it's all over! response:	Yes, sir.
context: Don't drop the pressure!\If we stop, it's all over!\Yes, sir. response:	Make the announcement.
context: Don't drop the pressure!\If we stop, it's all over!\Yes, sir.\Make the announcement. response:	Yes, sir.
context: Don't drop the pressure!\If we stop, it's all over!\Yes, sir.\Make the announcement.\Yes, sir. response:	We're passing through the abandoned station.
context: Don't drop the pressure!\If we stop, it's all over!\Yes, sir.\Make the announcement.\Yes, sir.\We're passing through the abandoned station. response:	Please brace for impact.
context: Don't drop the pressure!\If we stop, it's all over!\Yes, sir.\Make the announcement.\Yes, sir.\We're passing through the abandoned station.\Please brace for impact. response:	Damn it!
context: Don't drop the pressure!\If we stop, it's all over!\Yes, sir.\Make the announcement.\Yes, sir.\We're passing through the abandoned station.\Please brace for impact.\Damn it! response:	Get out of here!
context: If we stop, it's all over!\Yes, sir.\Make the announcement.\Yes, sir.\We're passing through the abandoned station.\Please brace for impact.\Damn it!\Get out of here! response:	Stay back!
context: Yes, sir.\Make the announcement.\Yes, sir.\We're passing through the abandoned station.\Please brace for impact.\Damn it!\Get out of here!\Stay back! response:	What you need to survive...
context: Make the announcement.\Yes, sir.\We're passing through the abandoned station.\Please brace for impact.\Damn it!\Get out of here!\Stay back!\What you need to survive... response:	It's not some tool that will keep you hidden and safe.
context: Yes, sir.\We're passing through the abandoned station.\Please brace for impact.\Damn it!\Get out of here!\Stay back!\What you need to survive...\It's not some tool that will keep you hidden and safe. response:	It's the power to fight the Corpses without fear.
context: We're passing through the abandoned station.\Please brace for impact.\Damn it!\Get out of here!\Stay back!\What you need to survive...\It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear. response:	Shingo!
context: Please brace for impact.\Damn it!\Get out of here!\Stay back!\What you need to survive...\It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear.\Shingo! response:	Are you okay?!
context: Damn it!\Get out of here!\Stay back!\What you need to survive...\It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear.\Shingo!\Are you okay?! response:	Yeah.
context: Get out of here!\Stay back!\What you need to survive...\It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear.\Shingo!\Are you okay?!\Yeah. response:	I owe you.
context: Stay back!\What you need to survive...\It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear.\Shingo!\Are you okay?!\Yeah.\I owe you. response:	You...!
