context: TS response:	SCRIPT
context: TS\SCRIPT response:	After that,
context: TS\SCRIPT\After that, response:	I time leaped, over and over,
context: TS\SCRIPT\After that,\I time leaped, over and over, response:	to save Mayuri.
context: TS\SCRIPT\After that,\I time leaped, over and over,\to save Mayuri. response:	But...
context: TS\SCRIPT\After that,\I time leaped, over and over,\to save Mayuri.\But... response:	No matter what I did,
context: TS\SCRIPT\After that,\I time leaped, over and over,\to save Mayuri.\But...\No matter what I did, response:	Mayuri...
context: TS\SCRIPT\After that,\I time leaped, over and over,\to save Mayuri.\But...\No matter what I did,\Mayuri... response:	died.
context: SCRIPT\After that,\I time leaped, over and over,\to save Mayuri.\But...\No matter what I did,\Mayuri...\died. response:	Even if Moeka and SERN never attacked,
context: After that,\I time leaped, over and over,\to save Mayuri.\But...\No matter what I did,\Mayuri...\died.\Even if Moeka and SERN never attacked, response:	it was like fate itself kept murdering her...
context: I time leaped, over and over,\to save Mayuri.\But...\No matter what I did,\Mayuri...\died.\Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her... response:	Like the entire world
context: to save Mayuri.\But...\No matter what I did,\Mayuri...\died.\Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her...\Like the entire world response:	was conspiring to kill her.
context: But...\No matter what I did,\Mayuri...\died.\Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her...\Like the entire world\was conspiring to kill her. response:	The cars aren't moving!
context: No matter what I did,\Mayuri...\died.\Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her...\Like the entire world\was conspiring to kill her.\The cars aren't moving! response:	The train's stopped.
context: Mayuri...\died.\Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her...\Like the entire world\was conspiring to kill her.\The cars aren't moving!\The train's stopped. response:	Hurry!
context: died.\Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her...\Like the entire world\was conspiring to kill her.\The cars aren't moving!\The train's stopped.\Hurry! response:	Take a back road or something!
context: Even if Moeka and SERN never attacked,\it was like fate itself kept murdering her...\Like the entire world\was conspiring to kill her.\The cars aren't moving!\The train's stopped.\Hurry!\Take a back road or something! response:	That's not really an option, sir.
context: it was like fate itself kept murdering her...\Like the entire world\was conspiring to kill her.\The cars aren't moving!\The train's stopped.\Hurry!\Take a back road or something!\That's not really an option, sir. response:	Huh? Mayushii's watch isn't working...
context: Like the entire world\was conspiring to kill her.\The cars aren't moving!\The train's stopped.\Hurry!\Take a back road or something!\That's not really an option, sir.\Huh? Mayushii's watch isn't working... response:	That's strange.
context: was conspiring to kill her.\The cars aren't moving!\The train's stopped.\Hurry!\Take a back road or something!\That's not really an option, sir.\Huh? Mayushii's watch isn't working...\That's strange. response:	I just wound it.
