context: Here comes another psychic. response:	What should we do with them, Dimple-san?
context: Here comes another psychic.\What should we do with them, Dimple-san? response:	Probably just another fake.
context: Here comes another psychic.\What should we do with them, Dimple-san?\Probably just another fake. response:	Get'em to scram.
context: Here comes another psychic.\What should we do with them, Dimple-san?\Probably just another fake.\Get'em to scram. response:	Oh, shit...
context: Here comes another psychic.\What should we do with them, Dimple-san?\Probably just another fake.\Get'em to scram.\Oh, shit... response:	He's...
context: Here comes another psychic.\What should we do with them, Dimple-san?\Probably just another fake.\Get'em to scram.\Oh, shit...\He's... response:	the real deal!
context: Here comes another psychic.\What should we do with them, Dimple-san?\Probably just another fake.\Get'em to scram.\Oh, shit...\He's...\the real deal! response:	Mob Psycho
context: Here comes another psychic.\What should we do with them, Dimple-san?\Probably just another fake.\Get'em to scram.\Oh, shit...\He's...\the real deal!\Mob Psycho response:	Inside Evil Spirit
context: What should we do with them, Dimple-san?\Probably just another fake.\Get'em to scram.\Oh, shit...\He's...\the real deal!\Mob Psycho\Inside Evil Spirit response:	This job we just got is huge!
context: Probably just another fake.\Get'em to scram.\Oh, shit...\He's...\the real deal!\Mob Psycho\Inside Evil Spirit\This job we just got is huge! response:	Cup Curry
context: Get'em to scram.\Oh, shit...\He's...\the real deal!\Mob Psycho\Inside Evil Spirit\This job we just got is huge!\Cup Curry response:	I still don't know the details,
context: Oh, shit...\He's...\the real deal!\Mob Psycho\Inside Evil Spirit\This job we just got is huge!\Cup Curry\I still don't know the details, response:	but the client is a famously wealthy fellow.
context: He's...\the real deal!\Mob Psycho\Inside Evil Spirit\This job we just got is huge!\Cup Curry\I still don't know the details,\but the client is a famously wealthy fellow. response:	We're talking super rich.
context: the real deal!\Mob Psycho\Inside Evil Spirit\This job we just got is huge!\Cup Curry\I still don't know the details,\but the client is a famously wealthy fellow.\We're talking super rich. response:	He'll even pay for our taxi.
context: Mob Psycho\Inside Evil Spirit\This job we just got is huge!\Cup Curry\I still don't know the details,\but the client is a famously wealthy fellow.\We're talking super rich.\He'll even pay for our taxi. response:	And yet we're taking a train?
context: Inside Evil Spirit\This job we just got is huge!\Cup Curry\I still don't know the details,\but the client is a famously wealthy fellow.\We're talking super rich.\He'll even pay for our taxi.\And yet we're taking a train? response:	So is this rich person the president of a company or something?
context: This job we just got is huge!\Cup Curry\I still don't know the details,\but the client is a famously wealthy fellow.\We're talking super rich.\He'll even pay for our taxi.\And yet we're taking a train?\So is this rich person the president of a company or something? response:	He is.
