context: I want to go back to that time again. response:	I want to become small again.
context: I want to go back to that time again.\I want to become small again. response:	Minami-kun...
context: I want to go back to that time again.\I want to become small again.\Minami-kun... response:	Where are you, Chiyomi?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi? response:	Here! I'm over here! Minami-kun!
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun! response:	You're in Tokyo?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo? response:	Hey, what are you thinking?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking? response:	So, I told you yesterday.
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday. response:	About the dance workshop.
context: I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop. response:	Please, I really want to do it.
context: Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please, I really want to do it. response:	Please let me stay with you.
context: Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please, I really want to do it.\Please let me stay with you. response:	Hey, wait a minute. Why do you have to do that?
context: Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please, I really want to do it.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that? response:	Your father...
context: You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please, I really want to do it.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\Your father... response:	He disappeared, right?
context: Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please, I really want to do it.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\Your father...\He disappeared, right? response:	He made a lover and left us.
context: So, I told you yesterday.\About the dance workshop.\Please, I really want to do it.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\Your father...\He disappeared, right?\He made a lover and left us. response:	I don't consider him my father.
context: About the dance workshop.\Please, I really want to do it.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\Your father...\He disappeared, right?\He made a lover and left us.\I don't consider him my father. response:	You idiot!
context: Please, I really want to do it.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\Your father...\He disappeared, right?\He made a lover and left us.\I don't consider him my father.\You idiot! response:	Could it be...
context: Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\Your father...\He disappeared, right?\He made a lover and left us.\I don't consider him my father.\You idiot!\Could it be... response:	a burglar?
context: Hey, wait a minute. Why do you have to do that?\Your father...\He disappeared, right?\He made a lover and left us.\I don't consider him my father.\You idiot!\Could it be...\a burglar? response:	-What's wrong?
context: Your father...\He disappeared, right?\He made a lover and left us.\I don't consider him my father.\You idiot!\Could it be...\a burglar?\-What's wrong? response:	Sorry. I'm going home.
context: He disappeared, right?\He made a lover and left us.\I don't consider him my father.\You idiot!\Could it be...\a burglar?\-What's wrong?\Sorry. I'm going home. response:	- Hey, Minami-kun? - Sorry!
context: He made a lover and left us.\I don't consider him my father.\You idiot!\Could it be...\a burglar?\-What's wrong?\Sorry. I'm going home.\- Hey, Minami-kun? - Sorry! response:	Hey, what are you doing?
context: I don't consider him my father.\You idiot!\Could it be...\a burglar?\-What's wrong?\Sorry. I'm going home.\- Hey, Minami-kun? - Sorry!\Hey, what are you doing? response:	- Why did you come? - Let's not do this kind of thing.
context: You idiot!\Could it be...\a burglar?\-What's wrong?\Sorry. I'm going home.\- Hey, Minami-kun? - Sorry!\Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing. response:	Hey, you sent her the divorce paper for sure, right?
context: Could it be...\a burglar?\-What's wrong?\Sorry. I'm going home.\- Hey, Minami-kun? - Sorry!\Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right? response:	I sure did. When I called her the other day, she said she had already signed it.
context: a burglar?\-What's wrong?\Sorry. I'm going home.\- Hey, Minami-kun? - Sorry!\Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it. response:	Then why...?
context: -What's wrong?\Sorry. I'm going home.\- Hey, Minami-kun? - Sorry!\Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it.\Then why...? response:	Timing and Subtitles brought to you by The My Little Lover Team @Viki.
context: Sorry. I'm going home.\- Hey, Minami-kun? - Sorry!\Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it.\Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki. response:	To be able to see beloved person's sleeping face,
