context: I feel bad for doing that to Iroha. response:	If you're going to feel guilty, you shouldn't have rejected her.
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her. response:	It doesn't work that way.
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way. response:	And you know that. It's pretty mean of you to put me in that position.
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position. response:	I guess.
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position.\I guess. response:	I'm honestly happy Iroha feels that way,
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position.\I guess.\I'm honestly happy Iroha feels that way, response:	but that's not what it is.
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position.\I guess.\I'm honestly happy Iroha feels that way,\but that's not what it is. response:	I don't think it's really me...
context: I feel bad for doing that to Iroha.\If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position.\I guess.\I'm honestly happy Iroha feels that way,\but that's not what it is.\I don't think it's really me... response:	You're really amazing,
context: If you're going to feel guilty, you shouldn't have rejected her.\It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position.\I guess.\I'm honestly happy Iroha feels that way,\but that's not what it is.\I don't think it's really me...\You're really amazing, response:	the way you change everyone around you.
context: It doesn't work that way.\And you know that. It's pretty mean of you to put me in that position.\I guess.\I'm honestly happy Iroha feels that way,\but that's not what it is.\I don't think it's really me...\You're really amazing,\the way you change everyone around you. response:	Huh? Where's this coming from?
context: And you know that. It's pretty mean of you to put me in that position.\I guess.\I'm honestly happy Iroha feels that way,\but that's not what it is.\I don't think it's really me...\You're really amazing,\the way you change everyone around you.\Huh? Where's this coming from? response:	Don't get me wrong. Remember what I told you?
context: I guess.\I'm honestly happy Iroha feels that way,\but that's not what it is.\I don't think it's really me...\You're really amazing,\the way you change everyone around you.\Huh? Where's this coming from?\Don't get me wrong. Remember what I told you? response:	I'm not the nice guy you think I am.
context: I'm honestly happy Iroha feels that way,\but that's not what it is.\I don't think it's really me...\You're really amazing,\the way you change everyone around you.\Huh? Where's this coming from?\Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am. response:	I'm complimenting you for my own sake.
context: but that's not what it is.\I don't think it's really me...\You're really amazing,\the way you change everyone around you.\Huh? Where's this coming from?\Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am.\I'm complimenting you for my own sake. response:	The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.
context: I don't think it's really me...\You're really amazing,\the way you change everyone around you.\Huh? Where's this coming from?\Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am.\I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari. response:	Well, the next stop is ours.
context: You're really amazing,\the way you change everyone around you.\Huh? Where's this coming from?\Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am.\I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours. response:	Yeah.
context: the way you change everyone around you.\Huh? Where's this coming from?\Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am.\I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours.\Yeah. response:	Isshiki, I'm getting off, too.
context: Huh? Where's this coming from?\Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am.\I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours.\Yeah.\Isshiki, I'm getting off, too. response:	Which station are you
context: Don't get me wrong. Remember what I told you?\I'm not the nice guy you think I am.\I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours.\Yeah.\Isshiki, I'm getting off, too.\Which station are you response:	Senpai, my bag's really heavy.
context: I'm not the nice guy you think I am.\I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours.\Yeah.\Isshiki, I'm getting off, too.\Which station are you\Senpai, my bag's really heavy. response:	Yeah, that might be better.
context: I'm complimenting you for my own sake.\The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours.\Yeah.\Isshiki, I'm getting off, too.\Which station are you\Senpai, my bag's really heavy.\Yeah, that might be better. response:	That didn't work.
context: The train will soon arrive at Kaihin-Makuhari. Kaihin-Makuhari.\Well, the next stop is ours.\Yeah.\Isshiki, I'm getting off, too.\Which station are you\Senpai, my bag's really heavy.\Yeah, that might be better.\That didn't work. response:	You shouldn't need to say that now. You knew it wouldn't.
context: Well, the next stop is ours.\Yeah.\Isshiki, I'm getting off, too.\Which station are you\Senpai, my bag's really heavy.\Yeah, that might be better.\That didn't work.\You shouldn't need to say that now. You knew it wouldn't. response:	Well, what was I supposed to do?
context: Yeah.\Isshiki, I'm getting off, too.\Which station are you\Senpai, my bag's really heavy.\Yeah, that might be better.\That didn't work.\You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do? response:	I got all excited...
context: Isshiki, I'm getting off, too.\Which station are you\Senpai, my bag's really heavy.\Yeah, that might be better.\That didn't work.\You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do?\I got all excited... response:	That surprised me.
context: Which station are you\Senpai, my bag's really heavy.\Yeah, that might be better.\That didn't work.\You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do?\I got all excited...\That surprised me. response:	I thought you weren't the type to
context: Senpai, my bag's really heavy.\Yeah, that might be better.\That didn't work.\You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do?\I got all excited...\That surprised me.\I thought you weren't the type to response:	get caught up in what's going on around you.
context: Yeah, that might be better.\That didn't work.\You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do?\I got all excited...\That surprised me.\I thought you weren't the type to\get caught up in what's going on around you. response:	I was surprised, too.
context: That didn't work.\You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do?\I got all excited...\That surprised me.\I thought you weren't the type to\get caught up in what's going on around you.\I was surprised, too. response:	I was expecting more indifference.
context: You shouldn't need to say that now. You knew it wouldn't.\Well, what was I supposed to do?\I got all excited...\That surprised me.\I thought you weren't the type to\get caught up in what's going on around you.\I was surprised, too.\I was expecting more indifference. response:	Huh? I thought you were trying to look like a love-struck fool,
context: Well, what was I supposed to do?\I got all excited...\That surprised me.\I thought you weren't the type to\get caught up in what's going on around you.\I was surprised, too.\I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool, response:	but were actually pretty clever...
