context: Lottery response:	Nice try!
context: Lottery\Nice try! response:	Hot springs! Hot springs!
context: Lottery\Nice try!\Hot springs! Hot springs! response:	Win a stay at Kiriyako Hot Springs Hotel
context: Lottery\Nice try!\Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel response:	We get a hot spring?
context: Lottery\Nice try!\Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring? response:	If we win.
context: Lottery\Nice try!\Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring?\If we win. response:	But I'd rather have third prize.
context: Lottery\Nice try!\Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring?\If we win.\But I'd rather have third prize. response:	Every home needs one!
context: Lottery\Nice try!\Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring?\If we win.\But I'd rather have third prize.\Every home needs one! response:	Cook anything with this!
context: Nice try!\Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring?\If we win.\But I'd rather have third prize.\Every home needs one!\Cook anything with this! response:	Third Prize
context: Hot springs! Hot springs!\Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring?\If we win.\But I'd rather have third prize.\Every home needs one!\Cook anything with this!\Third Prize response:	Hot springs! Hot springs! Hot springs!
context: Win a stay at Kiriyako Hot Springs Hotel\We get a hot spring?\If we win.\But I'd rather have third prize.\Every home needs one!\Cook anything with this!\Third Prize\Hot springs! Hot springs! Hot springs! response:	You like hot springs that much, Noel?
context: We get a hot spring?\If we win.\But I'd rather have third prize.\Every home needs one!\Cook anything with this!\Third Prize\Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel? response:	What's a hot spring?
context: If we win.\But I'd rather have third prize.\Every home needs one!\Cook anything with this!\Third Prize\Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel?\What's a hot spring? response:	Well...
context: But I'd rather have third prize.\Every home needs one!\Cook anything with this!\Third Prize\Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel?\What's a hot spring?\Well... response:	It's a big bath that you go in with other people, I guess.
context: Every home needs one!\Cook anything with this!\Third Prize\Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel?\What's a hot spring?\Well...\It's a big bath that you go in with other people, I guess. response:	Is it bigger than the bath in your house?
context: Cook anything with this!\Third Prize\Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel?\What's a hot spring?\Well...\It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house? response:	Of course.
context: Third Prize\Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel?\What's a hot spring?\Well...\It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house?\Of course. response:	Is it bigger than a lake?
context: Hot springs! Hot springs! Hot springs!\You like hot springs that much, Noel?\What's a hot spring?\Well...\It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house?\Of course.\Is it bigger than a lake? response:	N-Not that big.
context: You like hot springs that much, Noel?\What's a hot spring?\Well...\It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house?\Of course.\Is it bigger than a lake?\N-Not that big. response:	Lottery Ticket
context: What's a hot spring?\Well...\It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house?\Of course.\Is it bigger than a lake?\N-Not that big.\Lottery Ticket response:	There.
context: Well...\It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house?\Of course.\Is it bigger than a lake?\N-Not that big.\Lottery Ticket\There. response:	If we win, you can see for yourself.
context: It's a big bath that you go in with other people, I guess.\Is it bigger than the bath in your house?\Of course.\Is it bigger than a lake?\N-Not that big.\Lottery Ticket\There.\If we win, you can see for yourself. response:	Want to try?
context: Is it bigger than the bath in your house?\Of course.\Is it bigger than a lake?\N-Not that big.\Lottery Ticket\There.\If we win, you can see for yourself.\Want to try? response:	Hot springs! Hot springs! Hot springs!
context: Of course.\Is it bigger than a lake?\N-Not that big.\Lottery Ticket\There.\If we win, you can see for yourself.\Want to try?\Hot springs! Hot springs! Hot springs! response:	Congratulations!
context: Is it bigger than a lake?\N-Not that big.\Lottery Ticket\There.\If we win, you can see for yourself.\Want to try?\Hot springs! Hot springs! Hot springs!\Congratulations! response:	No way.
context: N-Not that big.\Lottery Ticket\There.\If we win, you can see for yourself.\Want to try?\Hot springs! Hot springs! Hot springs!\Congratulations!\No way. response:	True Friends
context: Lottery Ticket\There.\If we win, you can see for yourself.\Want to try?\Hot springs! Hot springs! Hot springs!\Congratulations!\No way.\True Friends response:	Cheer up.
context: There.\If we win, you can see for yourself.\Want to try?\Hot springs! Hot springs! Hot springs!\Congratulations!\No way.\True Friends\Cheer up. response:	That's cute, too.
context: If we win, you can see for yourself.\Want to try?\Hot springs! Hot springs! Hot springs!\Congratulations!\No way.\True Friends\Cheer up.\That's cute, too. response:	Second Prize
context: Want to try?\Hot springs! Hot springs! Hot springs!\Congratulations!\No way.\True Friends\Cheer up.\That's cute, too.\Second Prize response:	This isn't it.
context: Hot springs! Hot springs! Hot springs!\Congratulations!\No way.\True Friends\Cheer up.\That's cute, too.\Second Prize\This isn't it. response:	Congratulations!
context: Congratulations!\No way.\True Friends\Cheer up.\That's cute, too.\Second Prize\This isn't it.\Congratulations! response:	We have a first prize winner!
context: No way.\True Friends\Cheer up.\That's cute, too.\Second Prize\This isn't it.\Congratulations!\We have a first prize winner! response:	I don't want it.
