context: You're late, even though you're the one who called us out. response:	I've received orders from above.
context: You're late, even though you're the one who called us out.\I've received orders from above. response:	We're to assassinate the guru again.
context: You're late, even though you're the one who called us out.\I've received orders from above.\We're to assassinate the guru again. response:	Understood.
context: You're late, even though you're the one who called us out.\I've received orders from above.\We're to assassinate the guru again.\Understood. response:	There's more. About the fate of the woman who was captured...
context: You're late, even though you're the one who called us out.\I've received orders from above.\We're to assassinate the guru again.\Understood.\There's more. About the fate of the woman who was captured... response:	Is she to be disposed of?
context: You're late, even though you're the one who called us out.\I've received orders from above.\We're to assassinate the guru again.\Understood.\There's more. About the fate of the woman who was captured...\Is she to be disposed of? response:	We can't afford to fail this time.
context: You're late, even though you're the one who called us out.\I've received orders from above.\We're to assassinate the guru again.\Understood.\There's more. About the fate of the woman who was captured...\Is she to be disposed of?\We can't afford to fail this time. response:	I'll go.
context: You're late, even though you're the one who called us out.\I've received orders from above.\We're to assassinate the guru again.\Understood.\There's more. About the fate of the woman who was captured...\Is she to be disposed of?\We can't afford to fail this time.\I'll go. response:	Tomorrow. Sixteen hundred hours at the usual place.
context: I've received orders from above.\We're to assassinate the guru again.\Understood.\There's more. About the fate of the woman who was captured...\Is she to be disposed of?\We can't afford to fail this time.\I'll go.\Tomorrow. Sixteen hundred hours at the usual place. response:	Yeah, that isn't like him.
context: We're to assassinate the guru again.\Understood.\There's more. About the fate of the woman who was captured...\Is she to be disposed of?\We can't afford to fail this time.\I'll go.\Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him. response:	Hold it, Hei.
context: Understood.\There's more. About the fate of the woman who was captured...\Is she to be disposed of?\We can't afford to fail this time.\I'll go.\Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him.\Hold it, Hei. response:	To tell you the truth, I've received orders as well.
context: There's more. About the fate of the woman who was captured...\Is she to be disposed of?\We can't afford to fail this time.\I'll go.\Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him.\Hold it, Hei.\To tell you the truth, I've received orders as well. response:	Orders?
context: Is she to be disposed of?\We can't afford to fail this time.\I'll go.\Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him.\Hold it, Hei.\To tell you the truth, I've received orders as well.\Orders? response:	To be precise, you and I have received orders.
context: We can't afford to fail this time.\I'll go.\Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him.\Hold it, Hei.\To tell you the truth, I've received orders as well.\Orders?\To be precise, you and I have received orders. response:	If Huang cannot kill the captive,
