context: Central Flognarde is well into fall. response:	There was a short panic that occurred after the Heroes return,
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return, response:	but now everybody is relaxing in their own country,
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country, response:	and we can finally relax!
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country,\and we can finally relax! response:	And so...
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country,\and we can finally relax!\And so... response:	Today I'm going with the princess and Hero to play...
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country,\and we can finally relax!\And so...\Today I'm going with the princess and Hero to play... response:	I mean, we're going to go on an academic research trip!
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country,\and we can finally relax!\And so...\Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip! response:	Exploration at the Crystal Mines!
context: Central Flognarde is well into fall.\There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country,\and we can finally relax!\And so...\Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines! response:	It's been a long time since I've gone anywhere with you, Rebecca-san.
context: There was a short panic that occurred after the Heroes return,\but now everybody is relaxing in their own country,\and we can finally relax!\And so...\Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san. response:	Yeah.
context: but now everybody is relaxing in their own country,\and we can finally relax!\And so...\Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah. response:	I hope you can enjoy the fall scenery on the road.
context: and we can finally relax!\And so...\Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah.\I hope you can enjoy the fall scenery on the road. response:	Right!
context: And so...\Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah.\I hope you can enjoy the fall scenery on the road.\Right! response:	Hey!
context: Today I'm going with the princess and Hero to play...\I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah.\I hope you can enjoy the fall scenery on the road.\Right!\Hey! response:	Princess!
context: I mean, we're going to go on an academic research trip!\Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah.\I hope you can enjoy the fall scenery on the road.\Right!\Hey!\Princess! response:	Rebecca-sama!
context: Exploration at the Crystal Mines!\It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah.\I hope you can enjoy the fall scenery on the road.\Right!\Hey!\Princess!\Rebecca-sama! response:	Here we are!
context: It's been a long time since I've gone anywhere with you, Rebecca-san.\Yeah.\I hope you can enjoy the fall scenery on the road.\Right!\Hey!\Princess!\Rebecca-sama!\Here we are! response:	Morning, everyone.
context: Yeah.\I hope you can enjoy the fall scenery on the road.\Right!\Hey!\Princess!\Rebecca-sama!\Here we are!\Morning, everyone. response:	Morning, Shinku, Rico-chan.
context: I hope you can enjoy the fall scenery on the road.\Right!\Hey!\Princess!\Rebecca-sama!\Here we are!\Morning, everyone.\Morning, Shinku, Rico-chan. response:	Good morning.
context: Right!\Hey!\Princess!\Rebecca-sama!\Here we are!\Morning, everyone.\Morning, Shinku, Rico-chan.\Good morning. response:	Good morning.
context: Hey!\Princess!\Rebecca-sama!\Here we are!\Morning, everyone.\Morning, Shinku, Rico-chan.\Good morning.\Good morning. response:	So this is what we're taking, Rico-chan.
context: Princess!\Rebecca-sama!\Here we are!\Morning, everyone.\Morning, Shinku, Rico-chan.\Good morning.\Good morning.\So this is what we're taking, Rico-chan. response:	Indeed.
