context: Were you on it? response:	Hey, I'm in Class 3.
context: Were you on it?\Hey, I'm in Class 3. response:	I'm Class 2.
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2. response:	There's me!
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me! response:	Nakajima Kotono
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono response:	Ninomiya Hina
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina response:	Mizuno Akane
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane response:	Miyamoto Aira
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira response:	Ryuuzaki Shiho
context: Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho response:	Class 1.
context: I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1. response:	Hey, at least we can see each other in the club.
context: There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\Hey, at least we can see each other in the club. response:	That's true.
context: Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\Hey, at least we can see each other in the club.\That's true. response:	You think we'll get some first-years?
context: Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years? response:	I hope we get lots!
context: Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots! response:	Really?
context: Miyamoto Aira\Ryuuzaki Shiho\Class 1.\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Really? response:	Want me to try it on you?
context: Ryuuzaki Shiho\Class 1.\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Really?\Want me to try it on you? response:	Sure.
context: Class 1.\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Really?\Want me to try it on you?\Sure. response:	It's curling up...
context: Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Really?\Want me to try it on you?\Sure.\It's curling up... response:	LINE!
context: That's true.\You think we'll get some first-years?\I hope we get lots!\Really?\Want me to try it on you?\Sure.\It's curling up...\LINE! response:	Can you give me your LINE ID?
