context: It hurts!! response:	No! I messed up the cake again!
context: It hurts!!\No! I messed up the cake again! response:	Mei Lin, haste makes waste.
context: It hurts!!\No! I messed up the cake again!\Mei Lin, haste makes waste. response:	If you stay calm, it should work.
context: It hurts!!\No! I messed up the cake again!\Mei Lin, haste makes waste.\If you stay calm, it should work. response:	Stay calm?
context: It hurts!!\No! I messed up the cake again!\Mei Lin, haste makes waste.\If you stay calm, it should work.\Stay calm? response:	That's the hardest thing for me
context: It hurts!!\No! I messed up the cake again!\Mei Lin, haste makes waste.\If you stay calm, it should work.\Stay calm?\That's the hardest thing for me response:	You know'
context: It hurts!!\No! I messed up the cake again!\Mei Lin, haste makes waste.\If you stay calm, it should work.\Stay calm?\That's the hardest thing for me\You know' response:	This is the result of Mei Lin-sama
context: It hurts!!\No! I messed up the cake again!\Mei Lin, haste makes waste.\If you stay calm, it should work.\Stay calm?\That's the hardest thing for me\You know'\This is the result of Mei Lin-sama response:	trying to make a delicious cake for you, Shao Lan-sama.
context: No! I messed up the cake again!\Mei Lin, haste makes waste.\If you stay calm, it should work.\Stay calm?\That's the hardest thing for me\You know'\This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama. response:	It is the thought that counts.
context: Mei Lin, haste makes waste.\If you stay calm, it should work.\Stay calm?\That's the hardest thing for me\You know'\This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts. response:	I'm sorry. I'll clean up properly.
context: If you stay calm, it should work.\Stay calm?\That's the hardest thing for me\You know'\This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts.\I'm sorry. I'll clean up properly. response:	Oh! I'll go get it!
context: Stay calm?\That's the hardest thing for me\You know'\This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts.\I'm sorry. I'll clean up properly.\Oh! I'll go get it! response:	Hello, this is Li.
context: That's the hardest thing for me\You know'\This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts.\I'm sorry. I'll clean up properly.\Oh! I'll go get it!\Hello, this is Li. response:	Mother!
context: You know'\This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts.\I'm sorry. I'll clean up properly.\Oh! I'll go get it!\Hello, this is Li.\Mother! response:	This is a cake'
context: This is the result of Mei Lin-sama\trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts.\I'm sorry. I'll clean up properly.\Oh! I'll go get it!\Hello, this is Li.\Mother!\This is a cake' response:	Mei Lin-sama made it with all her heart.
context: trying to make a delicious cake for you, Shao Lan-sama.\It is the thought that counts.\I'm sorry. I'll clean up properly.\Oh! I'll go get it!\Hello, this is Li.\Mother!\This is a cake'\Mei Lin-sama made it with all her heart. response:	But you know'
context: It is the thought that counts.\I'm sorry. I'll clean up properly.\Oh! I'll go get it!\Hello, this is Li.\Mother!\This is a cake'\Mei Lin-sama made it with all her heart.\But you know' response:	Shao Lan-sama,
context: I'm sorry. I'll clean up properly.\Oh! I'll go get it!\Hello, this is Li.\Mother!\This is a cake'\Mei Lin-sama made it with all her heart.\But you know'\Shao Lan-sama, response:	I am sure you are a broad-minded person.
context: Oh! I'll go get it!\Hello, this is Li.\Mother!\This is a cake'\Mei Lin-sama made it with all her heart.\But you know'\Shao Lan-sama,\I am sure you are a broad-minded person. response:	So are you going to bear in mind such trivial matters?
context: Hello, this is Li.\Mother!\This is a cake'\Mei Lin-sama made it with all her heart.\But you know'\Shao Lan-sama,\I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters? response:	But it's not only this'
context: Mother!\This is a cake'\Mei Lin-sama made it with all her heart.\But you know'\Shao Lan-sama,\I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters?\But it's not only this' response:	Say, she'd come hugging me all of a sudden.
context: This is a cake'\Mei Lin-sama made it with all her heart.\But you know'\Shao Lan-sama,\I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters?\But it's not only this'\Say, she'd come hugging me all of a sudden. response:	Shao Lan!
context: Mei Lin-sama made it with all her heart.\But you know'\Shao Lan-sama,\I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters?\But it's not only this'\Say, she'd come hugging me all of a sudden.\Shao Lan! response:	It hurts.
context: But you know'\Shao Lan-sama,\I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters?\But it's not only this'\Say, she'd come hugging me all of a sudden.\Shao Lan!\It hurts. response:	Hey! How many times have I told you
context: Shao Lan-sama,\I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters?\But it's not only this'\Say, she'd come hugging me all of a sudden.\Shao Lan!\It hurts.\Hey! How many times have I told you response:	not to come hugging me all of a sudden!
context: I am sure you are a broad-minded person.\So are you going to bear in mind such trivial matters?\But it's not only this'\Say, she'd come hugging me all of a sudden.\Shao Lan!\It hurts.\Hey! How many times have I told you\not to come hugging me all of a sudden! response:	What happened?
context: So are you going to bear in mind such trivial matters?\But it's not only this'\Say, she'd come hugging me all of a sudden.\Shao Lan!\It hurts.\Hey! How many times have I told you\not to come hugging me all of a sudden!\What happened? response:	I don't wanna go back!
context: But it's not only this'\Say, she'd come hugging me all of a sudden.\Shao Lan!\It hurts.\Hey! How many times have I told you\not to come hugging me all of a sudden!\What happened?\I don't wanna go back! response:	Oh my! The pictures are very well taken.
context: Say, she'd come hugging me all of a sudden.\Shao Lan!\It hurts.\Hey! How many times have I told you\not to come hugging me all of a sudden!\What happened?\I don't wanna go back!\Oh my! The pictures are very well taken. response:	Onii-chan said he took it at the Literary Fest.
context: Shao Lan!\It hurts.\Hey! How many times have I told you\not to come hugging me all of a sudden!\What happened?\I don't wanna go back!\Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest. response:	Your brother must be very good at taking pictures.
context: It hurts.\Hey! How many times have I told you\not to come hugging me all of a sudden!\What happened?\I don't wanna go back!\Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures. response:	It's just the camera was good.
context: Hey! How many times have I told you\not to come hugging me all of a sudden!\What happened?\I don't wanna go back!\Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures.\It's just the camera was good. response:	' Oh, Mei Lin-chan!' Good morning!
context: not to come hugging me all of a sudden!\What happened?\I don't wanna go back!\Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures.\It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning! response:	Good morning!
context: What happened?\I don't wanna go back!\Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures.\It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning!\Good morning! response:	Hey, I've got some pictures from the play we did earlier'
context: I don't wanna go back!\Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures.\It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning!\Good morning!\Hey, I've got some pictures from the play we did earlier' response:	Mei Lin-chan?
context: Oh my! The pictures are very well taken.\Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures.\It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning!\Good morning!\Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan? response:	What's wrong?
context: Onii-chan said he took it at the Literary Fest.\Your brother must be very good at taking pictures.\It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning!\Good morning!\Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan?\What's wrong? response:	What? You're going back?! When?
context: Your brother must be very good at taking pictures.\It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning!\Good morning!\Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan?\What's wrong?\What? You're going back?! When? response:	' Next week'' So sudden?!
context: It's just the camera was good.\' Oh, Mei Lin-chan!' Good morning!\Good morning!\Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan?\What's wrong?\What? You're going back?! When?\' Next week'' So sudden?! response:	Li-kun!
context: ' Oh, Mei Lin-chan!' Good morning!\Good morning!\Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan?\What's wrong?\What? You're going back?! When?\' Next week'' So sudden?!\Li-kun! response:	Did you tell the teacher that you're going back to Hong Kong?
context: Good morning!\Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan?\What's wrong?\What? You're going back?! When?\' Next week'' So sudden?!\Li-kun!\Did you tell the teacher that you're going back to Hong Kong? response:	There might be other things besides just taking attendance.
context: Hey, I've got some pictures from the play we did earlier'\Mei Lin-chan?\What's wrong?\What? You're going back?! When?\' Next week'' So sudden?!\Li-kun!\Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance. response:	Let her know soon.
context: Mei Lin-chan?\What's wrong?\What? You're going back?! When?\' Next week'' So sudden?!\Li-kun!\Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance.\Let her know soon. response:	Shao Lan, you don't care if I go back or not.
context: What's wrong?\What? You're going back?! When?\' Next week'' So sudden?!\Li-kun!\Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance.\Let her know soon.\Shao Lan, you don't care if I go back or not. response:	There's nothing I can do. Auntie said you had to go back.
context: What? You're going back?! When?\' Next week'' So sudden?!\Li-kun!\Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance.\Let her know soon.\Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back. response:	There's nothing you can do'
context: ' Next week'' So sudden?!\Li-kun!\Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance.\Let her know soon.\Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back.\There's nothing you can do' response:	Am I being a bother to you?!
context: Li-kun!\Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance.\Let her know soon.\Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back.\There's nothing you can do'\Am I being a bother to you?! response:	Am I a bother being here?
context: Did you tell the teacher that you're going back to Hong Kong?\There might be other things besides just taking attendance.\Let her know soon.\Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back.\There's nothing you can do'\Am I being a bother to you?!\Am I a bother being here? response:	' No, that's not it.' Shao Lan you jerk!!
context: There might be other things besides just taking attendance.\Let her know soon.\Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back.\There's nothing you can do'\Am I being a bother to you?!\Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!! response:	' Mei Lin!' Mei Lin-chan!
context: Let her know soon.\Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back.\There's nothing you can do'\Am I being a bother to you?!\Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan! response:	Mei Lin has to go back.
context: Shao Lan, you don't care if I go back or not.\There's nothing I can do. Auntie said you had to go back.\There's nothing you can do'\Am I being a bother to you?!\Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back. response:	I have an announcement for everyone.
context: There's nothing I can do. Auntie said you had to go back.\There's nothing you can do'\Am I being a bother to you?!\Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back.\I have an announcement for everyone. response:	Mei Lin-san is transferring back to Hong Kong next week.
context: There's nothing you can do'\Am I being a bother to you?!\Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back.\I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week. response:	This must be sad for her.
context: Am I being a bother to you?!\Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back.\I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her. response:	Bye-bye! Bye!
context: Am I a bother being here?\' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back.\I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her.\Bye-bye! Bye! response:	Mei Lin.
context: ' No, that's not it.' Shao Lan you jerk!!\' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back.\I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her.\Bye-bye! Bye!\Mei Lin. response:	Mei Lin-chan!
context: ' Mei Lin!' Mei Lin-chan!\Mei Lin has to go back.\I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her.\Bye-bye! Bye!\Mei Lin.\Mei Lin-chan! response:	Um' mm'
context: Mei Lin has to go back.\I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her.\Bye-bye! Bye!\Mei Lin.\Mei Lin-chan!\Um' mm' response:	Why don't you stay over at my house?
context: I have an announcement for everyone.\Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her.\Bye-bye! Bye!\Mei Lin.\Mei Lin-chan!\Um' mm'\Why don't you stay over at my house? response:	Fo' For what?
context: Mei Lin-san is transferring back to Hong Kong next week.\This must be sad for her.\Bye-bye! Bye!\Mei Lin.\Mei Lin-chan!\Um' mm'\Why don't you stay over at my house?\Fo' For what? response:	For what?
context: This must be sad for her.\Bye-bye! Bye!\Mei Lin.\Mei Lin-chan!\Um' mm'\Why don't you stay over at my house?\Fo' For what?\For what? response:	Umm'
context: Bye-bye! Bye!\Mei Lin.\Mei Lin-chan!\Um' mm'\Why don't you stay over at my house?\Fo' For what?\For what?\Umm' response:	Father is going to make a really tasty cake!
context: Mei Lin.\Mei Lin-chan!\Um' mm'\Why don't you stay over at my house?\Fo' For what?\For what?\Umm'\Father is going to make a really tasty cake! response:	Father's really good at cooking,
context: Mei Lin-chan!\Um' mm'\Why don't you stay over at my house?\Fo' For what?\For what?\Umm'\Father is going to make a really tasty cake!\Father's really good at cooking, response:	so it's gotta taste very good. Besides'
context: Um' mm'\Why don't you stay over at my house?\Fo' For what?\For what?\Umm'\Father is going to make a really tasty cake!\Father's really good at cooking,\so it's gotta taste very good. Besides' response:	Besides' I want to chat with you about many things!
context: Why don't you stay over at my house?\Fo' For what?\For what?\Umm'\Father is going to make a really tasty cake!\Father's really good at cooking,\so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things! response:	' Okay.' Really?!
context: Fo' For what?\For what?\Umm'\Father is going to make a really tasty cake!\Father's really good at cooking,\so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things!\' Okay.' Really?! response:	I'll come over tonight.
context: For what?\Umm'\Father is going to make a really tasty cake!\Father's really good at cooking,\so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things!\' Okay.' Really?!\I'll come over tonight. response:	Tonight'?
context: Umm'\Father is going to make a really tasty cake!\Father's really good at cooking,\so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things!\' Okay.' Really?!\I'll come over tonight.\Tonight'? response:	I'm sorry for borrowing Mei Lin-chan all of a sudden.
context: Father is going to make a really tasty cake!\Father's really good at cooking,\so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things!\' Okay.' Really?!\I'll come over tonight.\Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden. response:	Why did you ask her all of a sudden'
context: Father's really good at cooking,\so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things!\' Okay.' Really?!\I'll come over tonight.\Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden' response:	It's true that I have lots of things
context: so it's gotta taste very good. Besides'\Besides' I want to chat with you about many things!\' Okay.' Really?!\I'll come over tonight.\Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden'\It's true that I have lots of things response:	I want to chat with Mei Lin.
context: Besides' I want to chat with you about many things!\' Okay.' Really?!\I'll come over tonight.\Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden'\It's true that I have lots of things\I want to chat with Mei Lin. response:	Besides, she'll be so sad
context: ' Okay.' Really?!\I'll come over tonight.\Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden'\It's true that I have lots of things\I want to chat with Mei Lin.\Besides, she'll be so sad response:	having to part with you.
context: I'll come over tonight.\Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden'\It's true that I have lots of things\I want to chat with Mei Lin.\Besides, she'll be so sad\having to part with you. response:	I'll let Wei know about it.
context: Tonight'?\I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden'\It's true that I have lots of things\I want to chat with Mei Lin.\Besides, she'll be so sad\having to part with you.\I'll let Wei know about it. response:	Yuki, stay for dinner.
context: I'm sorry for borrowing Mei Lin-chan all of a sudden.\Why did you ask her all of a sudden'\It's true that I have lots of things\I want to chat with Mei Lin.\Besides, she'll be so sad\having to part with you.\I'll let Wei know about it.\Yuki, stay for dinner. response:	You're on your own, right?
context: Why did you ask her all of a sudden'\It's true that I have lots of things\I want to chat with Mei Lin.\Besides, she'll be so sad\having to part with you.\I'll let Wei know about it.\Yuki, stay for dinner.\You're on your own, right? response:	Thanks. Sorry for bothering you all the time.
context: It's true that I have lots of things\I want to chat with Mei Lin.\Besides, she'll be so sad\having to part with you.\I'll let Wei know about it.\Yuki, stay for dinner.\You're on your own, right?\Thanks. Sorry for bothering you all the time. response:	There you are. I'm home.
context: I want to chat with Mei Lin.\Besides, she'll be so sad\having to part with you.\I'll let Wei know about it.\Yuki, stay for dinner.\You're on your own, right?\Thanks. Sorry for bothering you all the time.\There you are. I'm home. response:	Sakura has a friend over?
context: Besides, she'll be so sad\having to part with you.\I'll let Wei know about it.\Yuki, stay for dinner.\You're on your own, right?\Thanks. Sorry for bothering you all the time.\There you are. I'm home.\Sakura has a friend over? response:	Yes, she's staying over, she said.
context: having to part with you.\I'll let Wei know about it.\Yuki, stay for dinner.\You're on your own, right?\Thanks. Sorry for bothering you all the time.\There you are. I'm home.\Sakura has a friend over?\Yes, she's staying over, she said. response:	Is it Tomoyo-chan?
context: I'll let Wei know about it.\Yuki, stay for dinner.\You're on your own, right?\Thanks. Sorry for bothering you all the time.\There you are. I'm home.\Sakura has a friend over?\Yes, she's staying over, she said.\Is it Tomoyo-chan? response:	No, I've never met her before.
context: Yuki, stay for dinner.\You're on your own, right?\Thanks. Sorry for bothering you all the time.\There you are. I'm home.\Sakura has a friend over?\Yes, she's staying over, she said.\Is it Tomoyo-chan?\No, I've never met her before. response:	She came from Hong Kong.
context: You're on your own, right?\Thanks. Sorry for bothering you all the time.\There you are. I'm home.\Sakura has a friend over?\Yes, she's staying over, she said.\Is it Tomoyo-chan?\No, I've never met her before.\She came from Hong Kong. response:	Hong Kong?
context: Thanks. Sorry for bothering you all the time.\There you are. I'm home.\Sakura has a friend over?\Yes, she's staying over, she said.\Is it Tomoyo-chan?\No, I've never met her before.\She came from Hong Kong.\Hong Kong? response:	Oh, I'm so full.
context: There you are. I'm home.\Sakura has a friend over?\Yes, she's staying over, she said.\Is it Tomoyo-chan?\No, I've never met her before.\She came from Hong Kong.\Hong Kong?\Oh, I'm so full. response:	Your father is really a good cook.
context: Sakura has a friend over?\Yes, she's staying over, she said.\Is it Tomoyo-chan?\No, I've never met her before.\She came from Hong Kong.\Hong Kong?\Oh, I'm so full.\Your father is really a good cook. response:	I feel envy.
context: Yes, she's staying over, she said.\Is it Tomoyo-chan?\No, I've never met her before.\She came from Hong Kong.\Hong Kong?\Oh, I'm so full.\Your father is really a good cook.\I feel envy. response:	Here. Thanks.
context: Is it Tomoyo-chan?\No, I've never met her before.\She came from Hong Kong.\Hong Kong?\Oh, I'm so full.\Your father is really a good cook.\I feel envy.\Here. Thanks. response:	Come to think of it, where's that bath sponge?
context: No, I've never met her before.\She came from Hong Kong.\Hong Kong?\Oh, I'm so full.\Your father is really a good cook.\I feel envy.\Here. Thanks.\Come to think of it, where's that bath sponge? response:	Oh, Kero's at Tomoyo-chan's house.
context: She came from Hong Kong.\Hong Kong?\Oh, I'm so full.\Your father is really a good cook.\I feel envy.\Here. Thanks.\Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house. response:	Geez' Kicking' me out
context: Hong Kong?\Oh, I'm so full.\Your father is really a good cook.\I feel envy.\Here. Thanks.\Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out response:	coz that girl is staying' over.
context: Oh, I'm so full.\Your father is really a good cook.\I feel envy.\Here. Thanks.\Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out\coz that girl is staying' over. response:	Well, this is probably much more fun for me!
context: Your father is really a good cook.\I feel envy.\Here. Thanks.\Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out\coz that girl is staying' over.\Well, this is probably much more fun for me! response:	I got so much to eat, and the food is so good here. Isn't that great?
