context: Those Awaiting a Star Part 3 response:	I want you to deliver that book to someone for me.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me. response:	I can't do it anymore.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me.\I can't do it anymore. response:	Hurry.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me.\I can't do it anymore.\Hurry. response:	Stay here, and you'll really be unable to go home.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me.\I can't do it anymore.\Hurry.\Stay here, and you'll really be unable to go home. response:	Miura-san.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me.\I can't do it anymore.\Hurry.\Stay here, and you'll really be unable to go home.\Miura-san. response:	This is my memory.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me.\I can't do it anymore.\Hurry.\Stay here, and you'll really be unable to go home.\Miura-san.\This is my memory. response:	It's the regret that's been woven shut inside that book.
context: Those Awaiting a Star Part 3\I want you to deliver that book to someone for me.\I can't do it anymore.\Hurry.\Stay here, and you'll really be unable to go home.\Miura-san.\This is my memory.\It's the regret that's been woven shut inside that book. response:	That night, I had a promise I needed to fulfill.
context: I want you to deliver that book to someone for me.\I can't do it anymore.\Hurry.\Stay here, and you'll really be unable to go home.\Miura-san.\This is my memory.\It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill. response:	A promise?
context: I can't do it anymore.\Hurry.\Stay here, and you'll really be unable to go home.\Miura-san.\This is my memory.\It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill.\A promise? response:	Someone was waiting for me.
context: Hurry.\Stay here, and you'll really be unable to go home.\Miura-san.\This is my memory.\It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill.\A promise?\Someone was waiting for me. response:	Niikura Mayumi-san.
context: Stay here, and you'll really be unable to go home.\Miura-san.\This is my memory.\It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill.\A promise?\Someone was waiting for me.\Niikura Mayumi-san. response:	The owner of that book.
context: Miura-san.\This is my memory.\It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill.\A promise?\Someone was waiting for me.\Niikura Mayumi-san.\The owner of that book. response:	Which one are you going to borrow today?
context: This is my memory.\It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill.\A promise?\Someone was waiting for me.\Niikura Mayumi-san.\The owner of that book.\Which one are you going to borrow today? response:	I can't decide.
context: It's the regret that's been woven shut inside that book.\That night, I had a promise I needed to fulfill.\A promise?\Someone was waiting for me.\Niikura Mayumi-san.\The owner of that book.\Which one are you going to borrow today?\I can't decide. response:	The master's books are all so impressive.
context: That night, I had a promise I needed to fulfill.\A promise?\Someone was waiting for me.\Niikura Mayumi-san.\The owner of that book.\Which one are you going to borrow today?\I can't decide.\The master's books are all so impressive. response:	When they say bookworm, they must mean people like you.
context: A promise?\Someone was waiting for me.\Niikura Mayumi-san.\The owner of that book.\Which one are you going to borrow today?\I can't decide.\The master's books are all so impressive.\When they say bookworm, they must mean people like you. response:	Not as much as you.
context: Someone was waiting for me.\Niikura Mayumi-san.\The owner of that book.\Which one are you going to borrow today?\I can't decide.\The master's books are all so impressive.\When they say bookworm, they must mean people like you.\Not as much as you. response:	Hey, I...
context: Niikura Mayumi-san.\The owner of that book.\Which one are you going to borrow today?\I can't decide.\The master's books are all so impressive.\When they say bookworm, they must mean people like you.\Not as much as you.\Hey, I... response:	The master told me...
context: The owner of that book.\Which one are you going to borrow today?\I can't decide.\The master's books are all so impressive.\When they say bookworm, they must mean people like you.\Not as much as you.\Hey, I...\The master told me... response:	that you were going to get married.
context: Which one are you going to borrow today?\I can't decide.\The master's books are all so impressive.\When they say bookworm, they must mean people like you.\Not as much as you.\Hey, I...\The master told me...\that you were going to get married. response:	Congratulations.
context: I can't decide.\The master's books are all so impressive.\When they say bookworm, they must mean people like you.\Not as much as you.\Hey, I...\The master told me...\that you were going to get married.\Congratulations. response:	Is that all you're going to say?
