context: Jeez... response:	Damn it, this pisses me off.
context: Jeez...\Damn it, this pisses me off. response:	Now, where did I put it?
context: Jeez...\Damn it, this pisses me off.\Now, where did I put it? response:	Anjuro Katagiri, a.k.a. Angelo.
context: Jeez...\Damn it, this pisses me off.\Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo. response:	He's become the most awful and disgusting criminal in Japan's history.
context: Jeez...\Damn it, this pisses me off.\Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history. response:	He's repeatedly committed murders ever since he was 12.
context: Jeez...\Damn it, this pisses me off.\Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12. response:	His last murder...
context: Jeez...\Damn it, this pisses me off.\Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12.\His last murder... response:	Milkman! Watch your step over there!
context: Jeez...\Damn it, this pisses me off.\Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12.\His last murder...\Milkman! Watch your step over there! response:	In March of 1994,
context: Damn it, this pisses me off.\Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12.\His last murder...\Milkman! Watch your step over there!\In March of 1994, response:	he happened to meet three 14-year-olds.
context: Now, where did I put it?\Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12.\His last murder...\Milkman! Watch your step over there!\In March of 1994,\he happened to meet three 14-year-olds. response:	He raped and murdered two of them.
context: Anjuro Katagiri, a.k.a. Angelo.\He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12.\His last murder...\Milkman! Watch your step over there!\In March of 1994,\he happened to meet three 14-year-olds.\He raped and murdered two of them. response:	Did you step in it?
context: He's become the most awful and disgusting criminal in Japan's history.\He's repeatedly committed murders ever since he was 12.\His last murder...\Milkman! Watch your step over there!\In March of 1994,\he happened to meet three 14-year-olds.\He raped and murdered two of them.\Did you step in it? response:	Yes, it appears so.
context: He's repeatedly committed murders ever since he was 12.\His last murder...\Milkman! Watch your step over there!\In March of 1994,\he happened to meet three 14-year-olds.\He raped and murdered two of them.\Did you step in it?\Yes, it appears so. response:	Seriously, it pisses me off.
context: His last murder...\Milkman! Watch your step over there!\In March of 1994,\he happened to meet three 14-year-olds.\He raped and murdered two of them.\Did you step in it?\Yes, it appears so.\Seriously, it pisses me off. response:	Letting their dog shit in front of someone else's house...
context: Milkman! Watch your step over there!\In March of 1994,\he happened to meet three 14-year-olds.\He raped and murdered two of them.\Did you step in it?\Yes, it appears so.\Seriously, it pisses me off.\Letting their dog shit in front of someone else's house... response:	I'm really thinking of keeping it
context: In March of 1994,\he happened to meet three 14-year-olds.\He raped and murdered two of them.\Did you step in it?\Yes, it appears so.\Seriously, it pisses me off.\Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it response:	and putting it in the owner's pocket tomorrow morning.
context: he happened to meet three 14-year-olds.\He raped and murdered two of them.\Did you step in it?\Yes, it appears so.\Seriously, it pisses me off.\Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning. response:	Um... I left your milk over there.
context: He raped and murdered two of them.\Did you step in it?\Yes, it appears so.\Seriously, it pisses me off.\Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there. response:	I'll be off now.
context: Did you step in it?\Yes, it appears so.\Seriously, it pisses me off.\Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there.\I'll be off now. response:	You...
context: Yes, it appears so.\Seriously, it pisses me off.\Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there.\I'll be off now.\You... response:	You're not the usual milkman.
context: Seriously, it pisses me off.\Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there.\I'll be off now.\You...\You're not the usual milkman. response:	Yes, I'm just covering this morning.
context: Letting their dog shit in front of someone else's house...\I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there.\I'll be off now.\You...\You're not the usual milkman.\Yes, I'm just covering this morning. response:	Huh...
context: I'm really thinking of keeping it\and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there.\I'll be off now.\You...\You're not the usual milkman.\Yes, I'm just covering this morning.\Huh... response:	Because the third boy was from a rich family,
context: and putting it in the owner's pocket tomorrow morning.\Um... I left your milk over there.\I'll be off now.\You...\You're not the usual milkman.\Yes, I'm just covering this morning.\Huh...\Because the third boy was from a rich family, response:	he demanded a ransom.
context: Um... I left your milk over there.\I'll be off now.\You...\You're not the usual milkman.\Yes, I'm just covering this morning.\Huh...\Because the third boy was from a rich family,\he demanded a ransom. response:	That's what led to his arrest.
context: I'll be off now.\You...\You're not the usual milkman.\Yes, I'm just covering this morning.\Huh...\Because the third boy was from a rich family,\he demanded a ransom.\That's what led to his arrest. response:	I might just be picky, but the seal on this milk's lid is broken.
context: You...\You're not the usual milkman.\Yes, I'm just covering this morning.\Huh...\Because the third boy was from a rich family,\he demanded a ransom.\That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken. response:	Huh?
context: You're not the usual milkman.\Yes, I'm just covering this morning.\Huh...\Because the third boy was from a rich family,\he demanded a ransom.\That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken.\Huh? response:	Is it?
context: Yes, I'm just covering this morning.\Huh...\Because the third boy was from a rich family,\he demanded a ransom.\That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken.\Huh?\Is it? response:	Yeah, right here!
context: Huh...\Because the third boy was from a rich family,\he demanded a ransom.\That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken.\Huh?\Is it?\Yeah, right here! response:	Oh, yeah...
context: Because the third boy was from a rich family,\he demanded a ransom.\That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken.\Huh?\Is it?\Yeah, right here!\Oh, yeah... response:	See? It's broken, right?
context: he demanded a ransom.\That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken.\Huh?\Is it?\Yeah, right here!\Oh, yeah...\See? It's broken, right? response:	Yeah. Sorry about that.
context: That's what led to his arrest.\I might just be picky, but the seal on this milk's lid is broken.\Huh?\Is it?\Yeah, right here!\Oh, yeah...\See? It's broken, right?\Yeah. Sorry about that. response:	I'll be going now.
context: I might just be picky, but the seal on this milk's lid is broken.\Huh?\Is it?\Yeah, right here!\Oh, yeah...\See? It's broken, right?\Yeah. Sorry about that.\I'll be going now. response:	Thanks.
context: Huh?\Is it?\Yeah, right here!\Oh, yeah...\See? It's broken, right?\Yeah. Sorry about that.\I'll be going now.\Thanks. response:	Good day.
context: Is it?\Yeah, right here!\Oh, yeah...\See? It's broken, right?\Yeah. Sorry about that.\I'll be going now.\Thanks.\Good day. response:	Damn that bitch!
context: Yeah, right here!\Oh, yeah...\See? It's broken, right?\Yeah. Sorry about that.\I'll be going now.\Thanks.\Good day.\Damn that bitch! response:	Glob
context: Oh, yeah...\See? It's broken, right?\Yeah. Sorry about that.\I'll be going now.\Thanks.\Good day.\Damn that bitch!\Glob response:	That woman's pretty watchful.
context: See? It's broken, right?\Yeah. Sorry about that.\I'll be going now.\Thanks.\Good day.\Damn that bitch!\Glob\That woman's pretty watchful. response:	If that woman or her brat, Josuke, drank this milk,
context: Yeah. Sorry about that.\I'll be going now.\Thanks.\Good day.\Damn that bitch!\Glob\That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk, response:	my Stand, Aqua Necklace, could have possessed them!
context: I'll be going now.\Thanks.\Good day.\Damn that bitch!\Glob\That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them! response:	Another one? You just keep going, don't you?
context: Thanks.\Good day.\Damn that bitch!\Glob\That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you? response:	When the police infiltrated the area where the boy was being held,
context: Good day.\Damn that bitch!\Glob\That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held, response:	they found a truly horrific sight.
context: Damn that bitch!\Glob\That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held,\they found a truly horrific sight. response:	The boy was dead, and his privates
context: Glob\That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held,\they found a truly horrific sight.\The boy was dead, and his privates response:	had been chopped off and nailed to a pillar near the corpse.
