context: And you... response:	When I felt the strongest for you, you knocked me down.
context: And you...\When I felt the strongest for you, you knocked me down. response:	You only saw that I let go easily
context: And you...\When I felt the strongest for you, you knocked me down.\You only saw that I let go easily response:	but did not see how sad and miserable I was.
context: And you...\When I felt the strongest for you, you knocked me down.\You only saw that I let go easily\but did not see how sad and miserable I was. response:	When my master passed away
context: And you...\When I felt the strongest for you, you knocked me down.\You only saw that I let go easily\but did not see how sad and miserable I was.\When my master passed away response:	despite my abject heart
context: And you...\When I felt the strongest for you, you knocked me down.\You only saw that I let go easily\but did not see how sad and miserable I was.\When my master passed away\despite my abject heart response:	I went to Grand Ziming Palace to borrow the soul jade from you.
context: And you...\When I felt the strongest for you, you knocked me down.\You only saw that I let go easily\but did not see how sad and miserable I was.\When my master passed away\despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you. response:	You will never understand how much courage I had to summon.
context: And you...\When I felt the strongest for you, you knocked me down.\You only saw that I let go easily\but did not see how sad and miserable I was.\When my master passed away\despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon. response:	Nor will you ever understand how sorely you disappointed me.
context: When I felt the strongest for you, you knocked me down.\You only saw that I let go easily\but did not see how sad and miserable I was.\When my master passed away\despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me. response:	It wasn't like that.
context: You only saw that I let go easily\but did not see how sad and miserable I was.\When my master passed away\despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me.\It wasn't like that. response:	I did not know you were seriously injured at the time.
context: but did not see how sad and miserable I was.\When my master passed away\despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me.\It wasn't like that.\I did not know you were seriously injured at the time. response:	If you had told me you were using blood from your heart
context: When my master passed away\despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me.\It wasn't like that.\I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart response:	to preserve Mo Yuan's body
context: despite my abject heart\I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me.\It wasn't like that.\I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart\to preserve Mo Yuan's body response:	I never would have withheld it from you.
context: I went to Grand Ziming Palace to borrow the soul jade from you.\You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me.\It wasn't like that.\I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart\to preserve Mo Yuan's body\I never would have withheld it from you. response:	I didn't give you the soul jade then
context: You will never understand how much courage I had to summon.\Nor will you ever understand how sorely you disappointed me.\It wasn't like that.\I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart\to preserve Mo Yuan's body\I never would have withheld it from you.\I didn't give you the soul jade then response:	because I knew you were protecting Mo Yuan.
context: Nor will you ever understand how sorely you disappointed me.\It wasn't like that.\I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart\to preserve Mo Yuan's body\I never would have withheld it from you.\I didn't give you the soul jade then\because I knew you were protecting Mo Yuan. response:	Yes, I envy him. I envy Mo Yuan.
context: It wasn't like that.\I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart\to preserve Mo Yuan's body\I never would have withheld it from you.\I didn't give you the soul jade then\because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan. response:	But, A-Yin, I actually...
context: I did not know you were seriously injured at the time.\If you had told me you were using blood from your heart\to preserve Mo Yuan's body\I never would have withheld it from you.\I didn't give you the soul jade then\because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually... response:	I have never forgotten you.
context: If you had told me you were using blood from your heart\to preserve Mo Yuan's body\I never would have withheld it from you.\I didn't give you the soul jade then\because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually...\I have never forgotten you. response:	Can you forgive me?
context: to preserve Mo Yuan's body\I never would have withheld it from you.\I didn't give you the soul jade then\because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually...\I have never forgotten you.\Can you forgive me? response:	Ghost Lord, you say today that you never forgot me.
context: I never would have withheld it from you.\I didn't give you the soul jade then\because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually...\I have never forgotten you.\Can you forgive me?\Ghost Lord, you say today that you never forgot me. response:	That is only because you are always searching
context: I didn't give you the soul jade then\because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually...\I have never forgotten you.\Can you forgive me?\Ghost Lord, you say today that you never forgot me.\That is only because you are always searching response:	for things you cannot attain or that you have lost.
context: because I knew you were protecting Mo Yuan.\Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually...\I have never forgotten you.\Can you forgive me?\Ghost Lord, you say today that you never forgot me.\That is only because you are always searching\for things you cannot attain or that you have lost. response:	Once you possess them, you no longer cherish them.
context: Yes, I envy him. I envy Mo Yuan.\But, A-Yin, I actually...\I have never forgotten you.\Can you forgive me?\Ghost Lord, you say today that you never forgot me.\That is only because you are always searching\for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them. response:	Are you saying this just to lessen your own guilt?
context: But, A-Yin, I actually...\I have never forgotten you.\Can you forgive me?\Ghost Lord, you say today that you never forgot me.\That is only because you are always searching\for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt? response:	Actually, you have never loved me, have you?
context: I have never forgotten you.\Can you forgive me?\Ghost Lord, you say today that you never forgot me.\That is only because you are always searching\for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you? response:	You were able to let go so easily when Xuan Nu and I came together.
context: Can you forgive me?\Ghost Lord, you say today that you never forgot me.\That is only because you are always searching\for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together. response:	You already hated me, didn't you?
context: Ghost Lord, you say today that you never forgot me.\That is only because you are always searching\for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you? response:	Who doesn't make mistakes?
context: That is only because you are always searching\for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you?\Who doesn't make mistakes? response:	You are the love of my life.
context: for things you cannot attain or that you have lost.\Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you?\Who doesn't make mistakes?\You are the love of my life. response:	Why can't you forgive me?
context: Once you possess them, you no longer cherish them.\Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you?\Who doesn't make mistakes?\You are the love of my life.\Why can't you forgive me? response:	After what you did
context: Are you saying this just to lessen your own guilt?\Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you?\Who doesn't make mistakes?\You are the love of my life.\Why can't you forgive me?\After what you did response:	do you still expect me to share a husband with Xuan Nu?
context: Actually, you have never loved me, have you?\You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you?\Who doesn't make mistakes?\You are the love of my life.\Why can't you forgive me?\After what you did\do you still expect me to share a husband with Xuan Nu? response:	After leaving Grand Ziming Palace, I did blame and hate you.
context: You were able to let go so easily when Xuan Nu and I came together.\You already hated me, didn't you?\Who doesn't make mistakes?\You are the love of my life.\Why can't you forgive me?\After what you did\do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you. response:	But when I lost too much blood in Yanhua Cave
context: You already hated me, didn't you?\Who doesn't make mistakes?\You are the love of my life.\Why can't you forgive me?\After what you did\do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave response:	and my life was hanging by a thread...
context: Who doesn't make mistakes?\You are the love of my life.\Why can't you forgive me?\After what you did\do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread... response:	I discovered that your face was not what I saw in my head.
context: You are the love of my life.\Why can't you forgive me?\After what you did\do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread...\I discovered that your face was not what I saw in my head. response:	That was when I knew my heartbreak was over.
context: Why can't you forgive me?\After what you did\do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread...\I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over. response:	I was finally free.
context: After what you did\do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread...\I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over.\I was finally free. response:	A-Yin, don't say any more.
context: do you still expect me to share a husband with Xuan Nu?\After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread...\I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over.\I was finally free.\A-Yin, don't say any more. response:	Li Jing.
