context: This is the command car. What's going on? response:	What happened?
context: This is the command car. What's going on?\What happened? response:	Do you read me, Tahara?
context: This is the command car. What's going on?\What happened?\Do you read me, Tahara? response:	I don't know... I can't describe it.
context: This is the command car. What's going on?\What happened?\Do you read me, Tahara?\I don't know... I can't describe it. response:	I can't hear you. Was there an accident?
context: This is the command car. What's going on?\What happened?\Do you read me, Tahara?\I don't know... I can't describe it.\I can't hear you. Was there an accident? response:	Where are the other reconnaissance members?
context: This is the command car. What's going on?\What happened?\Do you read me, Tahara?\I don't know... I can't describe it.\I can't hear you. Was there an accident?\Where are the other reconnaissance members? response:	I told you I can't describe it.
context: This is the command car. What's going on?\What happened?\Do you read me, Tahara?\I don't know... I can't describe it.\I can't hear you. Was there an accident?\Where are the other reconnaissance members?\I told you I can't describe it. response:	We cannot confirm your vitals or coordinates.
context: This is the command car. What's going on?\What happened?\Do you read me, Tahara?\I don't know... I can't describe it.\I can't hear you. Was there an accident?\Where are the other reconnaissance members?\I told you I can't describe it.\We cannot confirm your vitals or coordinates. response:	Your location?
context: What happened?\Do you read me, Tahara?\I don't know... I can't describe it.\I can't hear you. Was there an accident?\Where are the other reconnaissance members?\I told you I can't describe it.\We cannot confirm your vitals or coordinates.\Your location? response:	I'm headed towards the Fukagawa entrance point,
context: Do you read me, Tahara?\I don't know... I can't describe it.\I can't hear you. Was there an accident?\Where are the other reconnaissance members?\I told you I can't describe it.\We cannot confirm your vitals or coordinates.\Your location?\I'm headed towards the Fukagawa entrance point, response:	passing Kiyosubashi.
context: I don't know... I can't describe it.\I can't hear you. Was there an accident?\Where are the other reconnaissance members?\I told you I can't describe it.\We cannot confirm your vitals or coordinates.\Your location?\I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi. response:	We're coming to rescue you. Don't move.
context: I can't hear you. Was there an accident?\Where are the other reconnaissance members?\I told you I can't describe it.\We cannot confirm your vitals or coordinates.\Your location?\I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi.\We're coming to rescue you. Don't move. response:	Don't come! You mustn't come!
context: Where are the other reconnaissance members?\I told you I can't describe it.\We cannot confirm your vitals or coordinates.\Your location?\I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi.\We're coming to rescue you. Don't move.\Don't come! You mustn't come! response:	This isn't a place man should tread.
context: I told you I can't describe it.\We cannot confirm your vitals or coordinates.\Your location?\I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi.\We're coming to rescue you. Don't move.\Don't come! You mustn't come!\This isn't a place man should tread. response:	Say that again!
context: We cannot confirm your vitals or coordinates.\Your location?\I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi.\We're coming to rescue you. Don't move.\Don't come! You mustn't come!\This isn't a place man should tread.\Say that again! response:	This is the command car...
context: Your location?\I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi.\We're coming to rescue you. Don't move.\Don't come! You mustn't come!\This isn't a place man should tread.\Say that again!\This is the command car... response:	Oh, good...
context: I'm headed towards the Fukagawa entrance point,\passing Kiyosubashi.\We're coming to rescue you. Don't move.\Don't come! You mustn't come!\This isn't a place man should tread.\Say that again!\This is the command car...\Oh, good... response:	morning.
context: passing Kiyosubashi.\We're coming to rescue you. Don't move.\Don't come! You mustn't come!\This isn't a place man should tread.\Say that again!\This is the command car...\Oh, good...\morning. response:	Good morning.
context: We're coming to rescue you. Don't move.\Don't come! You mustn't come!\This isn't a place man should tread.\Say that again!\This is the command car...\Oh, good...\morning.\Good morning. response:	Good morning.
context: Don't come! You mustn't come!\This isn't a place man should tread.\Say that again!\This is the command car...\Oh, good...\morning.\Good morning.\Good morning. response:	Morning!
context: This isn't a place man should tread.\Say that again!\This is the command car...\Oh, good...\morning.\Good morning.\Good morning.\Morning! response:	Oh, how commendable of you, taking out the garbage in the morning.
context: Say that again!\This is the command car...\Oh, good...\morning.\Good morning.\Good morning.\Morning!\Oh, how commendable of you, taking out the garbage in the morning. response:	If only everyone else followed the rules like you, Li-san.
context: This is the command car...\Oh, good...\morning.\Good morning.\Good morning.\Morning!\Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san. response:	That cat...
context: Oh, good...\morning.\Good morning.\Good morning.\Morning!\Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san.\That cat... response:	I've seen this black one around here lately.
context: morning.\Good morning.\Good morning.\Morning!\Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san.\That cat...\I've seen this black one around here lately. response:	It's probably the same one that's been rummaging through the garbage at night.
context: Good morning.\Good morning.\Morning!\Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san.\That cat...\I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night. response:	Is that so?
context: Good morning.\Morning!\Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san.\That cat...\I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night.\Is that so? response:	What a naughty cat.
context: Morning!\Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san.\That cat...\I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night.\Is that so?\What a naughty cat. response:	It seems like someone's been feeding him.
context: Oh, how commendable of you, taking out the garbage in the morning.\If only everyone else followed the rules like you, Li-san.\That cat...\I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night.\Is that so?\What a naughty cat.\It seems like someone's been feeding him. response:	You better watch out, too. Pets are forbidden here.
context: If only everyone else followed the rules like you, Li-san.\That cat...\I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night.\Is that so?\What a naughty cat.\It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here. response:	Okay.
context: That cat...\I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night.\Is that so?\What a naughty cat.\It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here.\Okay. response:	Off to school?
context: I've seen this black one around here lately.\It's probably the same one that's been rummaging through the garbage at night.\Is that so?\What a naughty cat.\It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here.\Okay.\Off to school? response:	No, I'm going to my part-time job.
context: It's probably the same one that's been rummaging through the garbage at night.\Is that so?\What a naughty cat.\It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here.\Okay.\Off to school?\No, I'm going to my part-time job. response:	It better not be a sleazy job.
context: Is that so?\What a naughty cat.\It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here.\Okay.\Off to school?\No, I'm going to my part-time job.\It better not be a sleazy job. response:	Of course not.
context: What a naughty cat.\It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here.\Okay.\Off to school?\No, I'm going to my part-time job.\It better not be a sleazy job.\Of course not. response:	I'm running late, so...
context: It seems like someone's been feeding him.\You better watch out, too. Pets are forbidden here.\Okay.\Off to school?\No, I'm going to my part-time job.\It better not be a sleazy job.\Of course not.\I'm running late, so... response:	Really?
context: You better watch out, too. Pets are forbidden here.\Okay.\Off to school?\No, I'm going to my part-time job.\It better not be a sleazy job.\Of course not.\I'm running late, so...\Really? response:	Speaking of which, don't they eat anything with four legs in your country, besides tables?
context: Okay.\Off to school?\No, I'm going to my part-time job.\It better not be a sleazy job.\Of course not.\I'm running late, so...\Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables? response:	I haven't tried it myself, but...
context: Off to school?\No, I'm going to my part-time job.\It better not be a sleazy job.\Of course not.\I'm running late, so...\Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but... response:	It might taste good.
context: No, I'm going to my part-time job.\It better not be a sleazy job.\Of course not.\I'm running late, so...\Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but...\It might taste good. response:	I'll be going.
context: It better not be a sleazy job.\Of course not.\I'm running late, so...\Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but...\It might taste good.\I'll be going. response:	Alright, take care.
