context: The World She Saw response:	The Battle of Trost ( 2 )
context: The World She Saw\The Battle of Trost ( 2 ) response:	Hey.
context: The World She Saw\The Battle of Trost ( 2 )\Hey. response:	Hey!
context: The World She Saw\The Battle of Trost ( 2 )\Hey.\Hey! response:	What's wrong, Armin?
context: The World She Saw\The Battle of Trost ( 2 )\Hey.\Hey!\What's wrong, Armin? response:	Get a grip!
context: The World She Saw\The Battle of Trost ( 2 )\Hey.\Hey!\What's wrong, Armin?\Get a grip! response:	Hey!
context: The World She Saw\The Battle of Trost ( 2 )\Hey.\Hey!\What's wrong, Armin?\Get a grip!\Hey! response:	Armin!
context: The World She Saw\The Battle of Trost ( 2 )\Hey.\Hey!\What's wrong, Armin?\Get a grip!\Hey!\Armin! response:	Hey, Armin!
context: The Battle of Trost ( 2 )\Hey.\Hey!\What's wrong, Armin?\Get a grip!\Hey!\Armin!\Hey, Armin! response:	Hey!
context: Hey.\Hey!\What's wrong, Armin?\Get a grip!\Hey!\Armin!\Hey, Armin!\Hey! response:	Have you come to?
context: Hey!\What's wrong, Armin?\Get a grip!\Hey!\Armin!\Hey, Armin!\Hey!\Have you come to? response:	You okay?
context: What's wrong, Armin?\Get a grip!\Hey!\Armin!\Hey, Armin!\Hey!\Have you come to?\You okay? response:	Are you hurt?
context: Get a grip!\Hey!\Armin!\Hey, Armin!\Hey!\Have you come to?\You okay?\Are you hurt? response:	Where's your squad?
context: Hey!\Armin!\Hey, Armin!\Hey!\Have you come to?\You okay?\Are you hurt?\Where's your squad? response:	Squad?
context: Armin!\Hey, Armin!\Hey!\Have you come to?\You okay?\Are you hurt?\Where's your squad?\Squad? response:	Come on, pull yourself together.
context: Hey, Armin!\Hey!\Have you come to?\You okay?\Are you hurt?\Where's your squad?\Squad?\Come on, pull yourself together. response:	Why're you alone?
context: Hey!\Have you come to?\You okay?\Are you hurt?\Where's your squad?\Squad?\Come on, pull yourself together.\Why're you alone? response:	And you feel kinda... sticky.
context: Have you come to?\You okay?\Are you hurt?\Where's your squad?\Squad?\Come on, pull yourself together.\Why're you alone?\And you feel kinda... sticky. response:	What exactly happened?
context: You okay?\Are you hurt?\Where's your squad?\Squad?\Come on, pull yourself together.\Why're you alone?\And you feel kinda... sticky.\What exactly happened? response:	Useless dolt!
context: Are you hurt?\Where's your squad?\Squad?\Come on, pull yourself together.\Why're you alone?\And you feel kinda... sticky.\What exactly happened?\Useless dolt! response:	Just die!
context: Where's your squad?\Squad?\Come on, pull yourself together.\Why're you alone?\And you feel kinda... sticky.\What exactly happened?\Useless dolt!\Just die! response:	Hey.
context: Squad?\Come on, pull yourself together.\Why're you alone?\And you feel kinda... sticky.\What exactly happened?\Useless dolt!\Just die!\Hey. response:	Calm down, Armin.
context: Come on, pull yourself together.\Why're you alone?\And you feel kinda... sticky.\What exactly happened?\Useless dolt!\Just die!\Hey.\Calm down, Armin. response:	Fucking shithead!
context: Why're you alone?\And you feel kinda... sticky.\What exactly happened?\Useless dolt!\Just die!\Hey.\Calm down, Armin.\Fucking shithead! response:	Where's everyone?
context: And you feel kinda... sticky.\What exactly happened?\Useless dolt!\Just die!\Hey.\Calm down, Armin.\Fucking shithead!\Where's everyone? response:	Give it up, Connie.
context: What exactly happened?\Useless dolt!\Just die!\Hey.\Calm down, Armin.\Fucking shithead!\Where's everyone?\Give it up, Connie. response:	They got wiped out.
context: Useless dolt!\Just die!\Hey.\Calm down, Armin.\Fucking shithead!\Where's everyone?\Give it up, Connie.\They got wiped out. response:	Except for him.
context: Just die!\Hey.\Calm down, Armin.\Fucking shithead!\Where's everyone?\Give it up, Connie.\They got wiped out.\Except for him. response:	Shut up!
context: Hey.\Calm down, Armin.\Fucking shithead!\Where's everyone?\Give it up, Connie.\They got wiped out.\Except for him.\Shut up! response:	Armin hasn't said anything yet!
context: Calm down, Armin.\Fucking shithead!\Where's everyone?\Give it up, Connie.\They got wiped out.\Except for him.\Shut up!\Armin hasn't said anything yet! response:	Can't you tell just by looking around?
context: Fucking shithead!\Where's everyone?\Give it up, Connie.\They got wiped out.\Except for him.\Shut up!\Armin hasn't said anything yet!\Can't you tell just by looking around? response:	We don't have any more time to waste on him.
context: Where's everyone?\Give it up, Connie.\They got wiped out.\Except for him.\Shut up!\Armin hasn't said anything yet!\Can't you tell just by looking around?\We don't have any more time to waste on him. response:	Why's Armin the only person left in one piece?
context: Give it up, Connie.\They got wiped out.\Except for him.\Shut up!\Armin hasn't said anything yet!\Can't you tell just by looking around?\We don't have any more time to waste on him.\Why's Armin the only person left in one piece? response:	Who knows?
context: They got wiped out.\Except for him.\Shut up!\Armin hasn't said anything yet!\Can't you tell just by looking around?\We don't have any more time to waste on him.\Why's Armin the only person left in one piece?\Who knows? response:	Maybe They thought he was a corpse.
context: Except for him.\Shut up!\Armin hasn't said anything yet!\Can't you tell just by looking around?\We don't have any more time to waste on him.\Why's Armin the only person left in one piece?\Who knows?\Maybe They thought he was a corpse. response:	It's a pity they ran into a bunch of Eotena,
context: Shut up!\Armin hasn't said anything yet!\Can't you tell just by looking around?\We don't have any more time to waste on him.\Why's Armin the only person left in one piece?\Who knows?\Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena, response:	but why did he have to be the only one to survive?
context: Armin hasn't said anything yet!\Can't you tell just by looking around?\We don't have any more time to waste on him.\Why's Armin the only person left in one piece?\Who knows?\Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive? response:	It just means Eren and the others died in vain.
context: Can't you tell just by looking around?\We don't have any more time to waste on him.\Why's Armin the only person left in one piece?\Who knows?\Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive?\It just means Eren and the others died in vain. response:	You bitch.
context: We don't have any more time to waste on him.\Why's Armin the only person left in one piece?\Who knows?\Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive?\It just means Eren and the others died in vain.\You bitch. response:	Want me to shut you up for good?
context: Why's Armin the only person left in one piece?\Who knows?\Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive?\It just means Eren and the others died in vain.\You bitch.\Want me to shut you up for good? response:	Stop it, you two!
context: Who knows?\Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive?\It just means Eren and the others died in vain.\You bitch.\Want me to shut you up for good?\Stop it, you two! response:	Everyone's just panicking.
context: Maybe They thought he was a corpse.\It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive?\It just means Eren and the others died in vain.\You bitch.\Want me to shut you up for good?\Stop it, you two!\Everyone's just panicking. response:	Our friends are all dying so suddenly.
context: It's a pity they ran into a bunch of Eotena,\but why did he have to be the only one to survive?\It just means Eren and the others died in vain.\You bitch.\Want me to shut you up for good?\Stop it, you two!\Everyone's just panicking.\Our friends are all dying so suddenly. response:	It's only natural!
context: but why did he have to be the only one to survive?\It just means Eren and the others died in vain.\You bitch.\Want me to shut you up for good?\Stop it, you two!\Everyone's just panicking.\Our friends are all dying so suddenly.\It's only natural! response:	That's my Krista.
context: It just means Eren and the others died in vain.\You bitch.\Want me to shut you up for good?\Stop it, you two!\Everyone's just panicking.\Our friends are all dying so suddenly.\It's only natural!\That's my Krista. response:	Once this is all over, marry me!
context: You bitch.\Want me to shut you up for good?\Stop it, you two!\Everyone's just panicking.\Our friends are all dying so suddenly.\It's only natural!\That's my Krista.\Once this is all over, marry me! response:	It's true.
context: Want me to shut you up for good?\Stop it, you two!\Everyone's just panicking.\Our friends are all dying so suddenly.\It's only natural!\That's my Krista.\Once this is all over, marry me!\It's true. response:	She's messing around more than usual.
context: Stop it, you two!\Everyone's just panicking.\Our friends are all dying so suddenly.\It's only natural!\That's my Krista.\Once this is all over, marry me!\It's true.\She's messing around more than usual. response:	Anyway, you can't just stay here.
context: Everyone's just panicking.\Our friends are all dying so suddenly.\It's only natural!\That's my Krista.\Once this is all over, marry me!\It's true.\She's messing around more than usual.\Anyway, you can't just stay here. response:	Can you stand, Armin?
context: Our friends are all dying so suddenly.\It's only natural!\That's my Krista.\Once this is all over, marry me!\It's true.\She's messing around more than usual.\Anyway, you can't just stay here.\Can you stand, Armin? response:	Sorry for the trouble I caused.
context: It's only natural!\That's my Krista.\Once this is all over, marry me!\It's true.\She's messing around more than usual.\Anyway, you can't just stay here.\Can you stand, Armin?\Sorry for the trouble I caused. response:	I'll go join the rear guard.
context: That's my Krista.\Once this is all over, marry me!\It's true.\She's messing around more than usual.\Anyway, you can't just stay here.\Can you stand, Armin?\Sorry for the trouble I caused.\I'll go join the rear guard. response:	Hey...
context: Once this is all over, marry me!\It's true.\She's messing around more than usual.\Anyway, you can't just stay here.\Can you stand, Armin?\Sorry for the trouble I caused.\I'll go join the rear guard.\Hey... response:	Armin!
context: It's true.\She's messing around more than usual.\Anyway, you can't just stay here.\Can you stand, Armin?\Sorry for the trouble I caused.\I'll go join the rear guard.\Hey...\Armin! response:	Let's go, Connie!
context: She's messing around more than usual.\Anyway, you can't just stay here.\Can you stand, Armin?\Sorry for the trouble I caused.\I'll go join the rear guard.\Hey...\Armin!\Let's go, Connie! response:	We've been ordered to advance!
context: Anyway, you can't just stay here.\Can you stand, Armin?\Sorry for the trouble I caused.\I'll go join the rear guard.\Hey...\Armin!\Let's go, Connie!\We've been ordered to advance! response:	This has become Hell.
context: Can you stand, Armin?\Sorry for the trouble I caused.\I'll go join the rear guard.\Hey...\Armin!\Let's go, Connie!\We've been ordered to advance!\This has become Hell. response:	No, wait.
context: Sorry for the trouble I caused.\I'll go join the rear guard.\Hey...\Armin!\Let's go, Connie!\We've been ordered to advance!\This has become Hell.\No, wait. response:	It hasn't become Hell.
context: I'll go join the rear guard.\Hey...\Armin!\Let's go, Connie!\We've been ordered to advance!\This has become Hell.\No, wait.\It hasn't become Hell. response:	I've just had the wrong perspective this whole time.
context: Hey...\Armin!\Let's go, Connie!\We've been ordered to advance!\This has become Hell.\No, wait.\It hasn't become Hell.\I've just had the wrong perspective this whole time. response:	This world has always been...
context: Armin!\Let's go, Connie!\We've been ordered to advance!\This has become Hell.\No, wait.\It hasn't become Hell.\I've just had the wrong perspective this whole time.\This world has always been... response:	Hell.
context: Let's go, Connie!\We've been ordered to advance!\This has become Hell.\No, wait.\It hasn't become Hell.\I've just had the wrong perspective this whole time.\This world has always been...\Hell. response:	A world in which the strong devour the weak.
context: We've been ordered to advance!\This has become Hell.\No, wait.\It hasn't become Hell.\I've just had the wrong perspective this whole time.\This world has always been...\Hell.\A world in which the strong devour the weak. response:	A world so perfectly simple.
context: This has become Hell.\No, wait.\It hasn't become Hell.\I've just had the wrong perspective this whole time.\This world has always been...\Hell.\A world in which the strong devour the weak.\A world so perfectly simple. response:	But my friends...
context: No, wait.\It hasn't become Hell.\I've just had the wrong perspective this whole time.\This world has always been...\Hell.\A world in which the strong devour the weak.\A world so perfectly simple.\But my friends... response:	tried to live strong in this world.
context: It hasn't become Hell.\I've just had the wrong perspective this whole time.\This world has always been...\Hell.\A world in which the strong devour the weak.\A world so perfectly simple.\But my friends...\tried to live strong in this world. response:	They held out a helping hand to a weakling like me.
context: I've just had the wrong perspective this whole time.\This world has always been...\Hell.\A world in which the strong devour the weak.\A world so perfectly simple.\But my friends...\tried to live strong in this world.\They held out a helping hand to a weakling like me. response:	I couldn't stand that.
context: This world has always been...\Hell.\A world in which the strong devour the weak.\A world so perfectly simple.\But my friends...\tried to live strong in this world.\They held out a helping hand to a weakling like me.\I couldn't stand that. response:	To those two...
context: Hell.\A world in which the strong devour the weak.\A world so perfectly simple.\But my friends...\tried to live strong in this world.\They held out a helping hand to a weakling like me.\I couldn't stand that.\To those two... response:	I'm something that needs protection.
context: A world in which the strong devour the weak.\A world so perfectly simple.\But my friends...\tried to live strong in this world.\They held out a helping hand to a weakling like me.\I couldn't stand that.\To those two...\I'm something that needs protection. response:	I wanted to live with a strength like theirs.
context: A world so perfectly simple.\But my friends...\tried to live strong in this world.\They held out a helping hand to a weakling like me.\I couldn't stand that.\To those two...\I'm something that needs protection.\I wanted to live with a strength like theirs. response:	I wanted to live with them as their equal.
context: But my friends...\tried to live strong in this world.\They held out a helping hand to a weakling like me.\I couldn't stand that.\To those two...\I'm something that needs protection.\I wanted to live with a strength like theirs.\I wanted to live with them as their equal. response:	Some good that did.
