context: It's gotten worse. response:	I see...
context: It's gotten worse.\I see... response:	Your Crime Coefficient's gone up by seven points.
context: It's gotten worse.\I see...\Your Crime Coefficient's gone up by seven points. response:	This is a number we can't ignore.
context: It's gotten worse.\I see...\Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore. response:	If it gets any worse, I'll be required to report it.
context: It's gotten worse.\I see...\Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore.\If it gets any worse, I'll be required to report it. response:	I've been trying to manage my stress using therapeutic devices.
context: It's gotten worse.\I see...\Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore.\If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices. response:	You should choose a simpler and more effective method.
context: It's gotten worse.\I see...\Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore.\If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method. response:	Such as?
context: It's gotten worse.\I see...\Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore.\If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method.\Such as? response:	Talk to someone you're close to about your worries.
context: I see...\Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore.\If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method.\Such as?\Talk to someone you're close to about your worries. response:	Do you have a girlfriend or family?
context: Your Crime Coefficient's gone up by seven points.\This is a number we can't ignore.\If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method.\Such as?\Talk to someone you're close to about your worries.\Do you have a girlfriend or family? response:	I don't have a girlfriend.
context: This is a number we can't ignore.\If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method.\Such as?\Talk to someone you're close to about your worries.\Do you have a girlfriend or family?\I don't have a girlfriend. response:	As for my family...
context: If it gets any worse, I'll be required to report it.\I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method.\Such as?\Talk to someone you're close to about your worries.\Do you have a girlfriend or family?\I don't have a girlfriend.\As for my family... response:	My father is the only one still living.
context: I've been trying to manage my stress using therapeutic devices.\You should choose a simpler and more effective method.\Such as?\Talk to someone you're close to about your worries.\Do you have a girlfriend or family?\I don't have a girlfriend.\As for my family...\My father is the only one still living. response:	At your age, your father would be an ideal person to talk to.
context: You should choose a simpler and more effective method.\Such as?\Talk to someone you're close to about your worries.\Do you have a girlfriend or family?\I don't have a girlfriend.\As for my family...\My father is the only one still living.\At your age, your father would be an ideal person to talk to. response:	Unless you have some particular reason not to, why don't you talk to him?
context: Such as?\Talk to someone you're close to about your worries.\Do you have a girlfriend or family?\I don't have a girlfriend.\As for my family...\My father is the only one still living.\At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him? response:	Well, I do.
context: Talk to someone you're close to about your worries.\Do you have a girlfriend or family?\I don't have a girlfriend.\As for my family...\My father is the only one still living.\At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him?\Well, I do. response:	Yes?
context: Do you have a girlfriend or family?\I don't have a girlfriend.\As for my family...\My father is the only one still living.\At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him?\Well, I do.\Yes? response:	I do have a reason.
context: I don't have a girlfriend.\As for my family...\My father is the only one still living.\At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him?\Well, I do.\Yes?\I do have a reason. response:	I would like to show
context: As for my family...\My father is the only one still living.\At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him?\Well, I do.\Yes?\I do have a reason.\I would like to show response:	I would like to show
context: My father is the only one still living.\At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him?\Well, I do.\Yes?\I do have a reason.\I would like to show\I would like to show response:	Cut open my skull
context: At your age, your father would be an ideal person to talk to.\Unless you have some particular reason not to, why don't you talk to him?\Well, I do.\Yes?\I do have a reason.\I would like to show\I would like to show\Cut open my skull response:	Cut open my skull
