context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	This is GHQ's Public Information Division.
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\This is GHQ's Public Information Division. response:	In accordance with Infection Control Law Article 9, Section 3,
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3, response:	an emergency quarantine is now in effect.
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect. response:	Citizens are strictly prohibited from venturing outside Loop 7.
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7. response:	It's been two weeks since then. Tokyo has changed completely.
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely. response:	The incident from two weeks ago...
context: Even when all you see in your path are storms\remember that your strength is no coincidence\This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago... response:	The Apocalypse Virus outbreak called the second coming of Lost Christmas
context: remember that your strength is no coincidence\This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas response:	has led to the blockage of the entire city center.
context: This is GHQ's Public Information Division.\In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center. response:	Internet and phone lines are down and the TV and radio stations have gone silent.
context: In accordance with Infection Control Law Article 9, Section 3,\an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent. response:	People are now living at local evacuation sites.
context: an emergency quarantine is now in effect.\Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites. response:	Students have automatically gathered here at Tennozu First High School.
context: Citizens are strictly prohibited from venturing outside Loop 7.\It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School. response:	They can't contact their families
context: It's been two weeks since then. Tokyo has changed completely.\The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School.\They can't contact their families response:	and they can't go home because they live outside the blockaded area.
