context: I see that you are awake, Slaine Troyard. response:	Where am I...?
context: I see that you are awake, Slaine Troyard.\Where am I...? response:	My castle. You are safe now. Take your time and rest.
context: I see that you are awake, Slaine Troyard.\Where am I...?\My castle. You are safe now. Take your time and rest. response:	What happened...?
context: I see that you are awake, Slaine Troyard.\Where am I...?\My castle. You are safe now. Take your time and rest.\What happened...? response:	I remember being interrogated by Count Cruhteo, but then...
context: I see that you are awake, Slaine Troyard.\Where am I...?\My castle. You are safe now. Take your time and rest.\What happened...?\I remember being interrogated by Count Cruhteo, but then... response:	You have nothing to fear. I have dealt with him.
context: I see that you are awake, Slaine Troyard.\Where am I...?\My castle. You are safe now. Take your time and rest.\What happened...?\I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him. response:	The count... is dead?
context: I see that you are awake, Slaine Troyard.\Where am I...?\My castle. You are safe now. Take your time and rest.\What happened...?\I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him.\The count... is dead? response:	I am indebted to your father. Hence, I am obligated to repay that debt.
context: I see that you are awake, Slaine Troyard.\Where am I...?\My castle. You are safe now. Take your time and rest.\What happened...?\I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him.\The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt. response:	Indebted?
context: Where am I...?\My castle. You are safe now. Take your time and rest.\What happened...?\I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him.\The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted? response:	When war first broke out 15 years ago, I came down to Earth as a scout.
context: My castle. You are safe now. Take your time and rest.\What happened...?\I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him.\The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout. response:	There, I was caught in Heaven's Fall and was mortally wounded.
context: What happened...?\I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him.\The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded. response:	Amidst that cataclysm where the Moon was sundered,
context: I remember being interrogated by Count Cruhteo, but then...\You have nothing to fear. I have dealt with him.\The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered, response:	the Earth's crust deformed, and there was nowhere to turn for help,
context: You have nothing to fear. I have dealt with him.\The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help, response:	I was found by your father, Dr. Troyard, and he saved my life.
context: The count... is dead?\I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life. response:	Father did that?
context: I am indebted to your father. Hence, I am obligated to repay that debt.\Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life.\Father did that? response:	I have seen clearly the depths of your loyalty to the princess.
context: Indebted?\When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life.\Father did that?\I have seen clearly the depths of your loyalty to the princess. response:	Your devotion in concealing her survival so as not to alert the assassins is admirable.
context: When war first broke out 15 years ago, I came down to Earth as a scout.\There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life.\Father did that?\I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable. response:	How did you know that she...?
context: There, I was caught in Heaven's Fall and was mortally wounded.\Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life.\Father did that?\I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...? response:	Count Cruhteo is no traitor.
context: Amidst that cataclysm where the Moon was sundered,\the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life.\Father did that?\I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...?\Count Cruhteo is no traitor. response:	Quite the contrary, he is a true knight who has sworn fealty to the princess.
