context: I'm Sunakawa Ai, response:	a college freshman.
context: I'm Sunakawa Ai,\a college freshman. response:	Now that I've gotten used to living on my own in Nagoya,
context: I'm Sunakawa Ai,\a college freshman.\Now that I've gotten used to living on my own in Nagoya, response:	I went home for the first time in a while, and I got quite a shock.
context: I'm Sunakawa Ai,\a college freshman.\Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock. response:	Takeo, of all people, now has a girlfriend.
context: I'm Sunakawa Ai,\a college freshman.\Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend. response:	Not to mention, his girlfriend seems to have a secret she can't tell Takeo.
context: I'm Sunakawa Ai,\a college freshman.\Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo. response:	And Takeo's starting to notice.
context: I'm Sunakawa Ai,\a college freshman.\Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice. response:	Subject: Goodnight
context: I'm Sunakawa Ai,\a college freshman.\Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice.\Subject: Goodnight response:	Takeo-kun, I wonder if you're looking at the Moon and the stars.
context: a college freshman.\Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice.\Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars. response:	I've never seen a shooting star.
context: Now that I've gotten used to living on my own in Nagoya,\I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice.\Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star. response:	I hope we can see a meteor shower together someday.
context: I went home for the first time in a while, and I got quite a shock.\Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice.\Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star.\I hope we can see a meteor shower together someday. response:	Yeah.
context: Takeo, of all people, now has a girlfriend.\Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice.\Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star.\I hope we can see a meteor shower together someday.\Yeah. response:	Goodnight.
context: Not to mention, his girlfriend seems to have a secret she can't tell Takeo.\And Takeo's starting to notice.\Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star.\I hope we can see a meteor shower together someday.\Yeah.\Goodnight. response:	Is Yamato trying too hard?
context: And Takeo's starting to notice.\Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star.\I hope we can see a meteor shower together someday.\Yeah.\Goodnight.\Is Yamato trying too hard? response:	Ever since we started dating,
context: Subject: Goodnight\Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star.\I hope we can see a meteor shower together someday.\Yeah.\Goodnight.\Is Yamato trying too hard?\Ever since we started dating, response:	I always end each day thinking it was a great day.
context: Takeo-kun, I wonder if you're looking at the Moon and the stars.\I've never seen a shooting star.\I hope we can see a meteor shower together someday.\Yeah.\Goodnight.\Is Yamato trying too hard?\Ever since we started dating,\I always end each day thinking it was a great day. response:	Yamato, don't hold it all in.
context: I've never seen a shooting star.\I hope we can see a meteor shower together someday.\Yeah.\Goodnight.\Is Yamato trying too hard?\Ever since we started dating,\I always end each day thinking it was a great day.\Yamato, don't hold it all in. response:	I want you to laugh at the end of each day, too.
context: I hope we can see a meteor shower together someday.\Yeah.\Goodnight.\Is Yamato trying too hard?\Ever since we started dating,\I always end each day thinking it was a great day.\Yamato, don't hold it all in.\I want you to laugh at the end of each day, too. response:	My Wish
context: Yeah.\Goodnight.\Is Yamato trying too hard?\Ever since we started dating,\I always end each day thinking it was a great day.\Yamato, don't hold it all in.\I want you to laugh at the end of each day, too.\My Wish response:	Shuuei High School
context: Goodnight.\Is Yamato trying too hard?\Ever since we started dating,\I always end each day thinking it was a great day.\Yamato, don't hold it all in.\I want you to laugh at the end of each day, too.\My Wish\Shuuei High School response:	Rose Kiss 2
context: Is Yamato trying too hard?\Ever since we started dating,\I always end each day thinking it was a great day.\Yamato, don't hold it all in.\I want you to laugh at the end of each day, too.\My Wish\Shuuei High School\Rose Kiss 2 response:	Why are you reading shoujo manga?
context: Ever since we started dating,\I always end each day thinking it was a great day.\Yamato, don't hold it all in.\I want you to laugh at the end of each day, too.\My Wish\Shuuei High School\Rose Kiss 2\Why are you reading shoujo manga? response:	I'm just trying to learn as much as I can about how girls think.
context: I always end each day thinking it was a great day.\Yamato, don't hold it all in.\I want you to laugh at the end of each day, too.\My Wish\Shuuei High School\Rose Kiss 2\Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think. response:	Are you going to see Yamato-san today, too?
context: Yamato, don't hold it all in.\I want you to laugh at the end of each day, too.\My Wish\Shuuei High School\Rose Kiss 2\Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too? response:	No, I've got no such plans today.
context: I want you to laugh at the end of each day, too.\My Wish\Shuuei High School\Rose Kiss 2\Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too?\No, I've got no such plans today. response:	Takeo! I recommend this one, too!
context: My Wish\Shuuei High School\Rose Kiss 2\Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too?\No, I've got no such plans today.\Takeo! I recommend this one, too! response:	This is a real tearjerker!
context: Shuuei High School\Rose Kiss 2\Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too?\No, I've got no such plans today.\Takeo! I recommend this one, too!\This is a real tearjerker! response:	My Boyfriend and Me
