context: Japonet, Japonet... Japonet's low prices are incredible! response:	Japonet T.V. shopping.
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping. response:	Hello everyone.
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping.\Hello everyone. response:	Feeling tired from the summer break?
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping.\Hello everyone.\Feeling tired from the summer break? response:	If that's the case.
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping.\Hello everyone.\Feeling tired from the summer break?\If that's the case. response:	We have this!
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping.\Hello everyone.\Feeling tired from the summer break?\If that's the case.\We have this! response:	The giant pillow that fits itself to the person.
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping.\Hello everyone.\Feeling tired from the summer break?\If that's the case.\We have this!\The giant pillow that fits itself to the person. response:	Interested? Take a good look.
context: Japonet, Japonet... Japonet's low prices are incredible!\Japonet T.V. shopping.\Hello everyone.\Feeling tired from the summer break?\If that's the case.\We have this!\The giant pillow that fits itself to the person.\Interested? Take a good look. response:	This isn't a simple giant pillow, more like a cozy pillow...
context: Japonet T.V. shopping.\Hello everyone.\Feeling tired from the summer break?\If that's the case.\We have this!\The giant pillow that fits itself to the person.\Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow... response:	This makes the person using it to become useless.
context: Hello everyone.\Feeling tired from the summer break?\If that's the case.\We have this!\The giant pillow that fits itself to the person.\Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless. response:	Let's see, 0-1-2...
context: Feeling tired from the summer break?\If that's the case.\We have this!\The giant pillow that fits itself to the person.\Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless.\Let's see, 0-1-2... response:	Hey!
context: If that's the case.\We have this!\The giant pillow that fits itself to the person.\Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless.\Let's see, 0-1-2...\Hey! response:	Something important in Japonet?
context: We have this!\The giant pillow that fits itself to the person.\Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless.\Let's see, 0-1-2...\Hey!\Something important in Japonet? response:	N-no, I'm just a very good friend of Danny Takematsu.
context: The giant pillow that fits itself to the person.\Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless.\Let's see, 0-1-2...\Hey!\Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu. response:	And was wondering how he was doing.
context: Interested? Take a good look.\This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless.\Let's see, 0-1-2...\Hey!\Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing. response:	When did you two met?
context: This isn't a simple giant pillow, more like a cozy pillow...\This makes the person using it to become useless.\Let's see, 0-1-2...\Hey!\Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing.\When did you two met? response:	You just want that pillow don't you?
context: This makes the person using it to become useless.\Let's see, 0-1-2...\Hey!\Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing.\When did you two met?\You just want that pillow don't you? response:	Stop wasting money and use the cat one.
context: Let's see, 0-1-2...\Hey!\Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing.\When did you two met?\You just want that pillow don't you?\Stop wasting money and use the cat one. response:	Wake up Umaru.
context: Hey!\Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing.\When did you two met?\You just want that pillow don't you?\Stop wasting money and use the cat one.\Wake up Umaru. response:	I bought something amazing.
context: Something important in Japonet?\N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing.\When did you two met?\You just want that pillow don't you?\Stop wasting money and use the cat one.\Wake up Umaru.\I bought something amazing. response:	Ah, What is it Onii-chan?
context: N-no, I'm just a very good friend of Danny Takematsu.\And was wondering how he was doing.\When did you two met?\You just want that pillow don't you?\Stop wasting money and use the cat one.\Wake up Umaru.\I bought something amazing.\Ah, What is it Onii-chan? response:	I just went shopping.
context: And was wondering how he was doing.\When did you two met?\You just want that pillow don't you?\Stop wasting money and use the cat one.\Wake up Umaru.\I bought something amazing.\Ah, What is it Onii-chan?\I just went shopping. response:	Here you go!
context: When did you two met?\You just want that pillow don't you?\Stop wasting money and use the cat one.\Wake up Umaru.\I bought something amazing.\Ah, What is it Onii-chan?\I just went shopping.\Here you go! response:	Uh! That pillow!
context: You just want that pillow don't you?\Stop wasting money and use the cat one.\Wake up Umaru.\I bought something amazing.\Ah, What is it Onii-chan?\I just went shopping.\Here you go!\Uh! That pillow! response:	Yes, the pillow that makes people useless.
context: Stop wasting money and use the cat one.\Wake up Umaru.\I bought something amazing.\Ah, What is it Onii-chan?\I just went shopping.\Here you go!\Uh! That pillow!\Yes, the pillow that makes people useless. response:	That was its name?
context: Wake up Umaru.\I bought something amazing.\Ah, What is it Onii-chan?\I just went shopping.\Here you go!\Uh! That pillow!\Yes, the pillow that makes people useless.\That was its name? response:	Yes that is correct.
context: I bought something amazing.\Ah, What is it Onii-chan?\I just went shopping.\Here you go!\Uh! That pillow!\Yes, the pillow that makes people useless.\That was its name?\Yes that is correct. response:	It seems like you're advertising it.
context: Ah, What is it Onii-chan?\I just went shopping.\Here you go!\Uh! That pillow!\Yes, the pillow that makes people useless.\That was its name?\Yes that is correct.\It seems like you're advertising it. response:	Alright, look closely.
context: I just went shopping.\Here you go!\Uh! That pillow!\Yes, the pillow that makes people useless.\That was its name?\Yes that is correct.\It seems like you're advertising it.\Alright, look closely. response:	This mellowness...
context: Here you go!\Uh! That pillow!\Yes, the pillow that makes people useless.\That was its name?\Yes that is correct.\It seems like you're advertising it.\Alright, look closely.\This mellowness... response:	Ah I'm becoming useless.
context: Uh! That pillow!\Yes, the pillow that makes people useless.\That was its name?\Yes that is correct.\It seems like you're advertising it.\Alright, look closely.\This mellowness...\Ah I'm becoming useless. response:	No!
context: Yes, the pillow that makes people useless.\That was its name?\Yes that is correct.\It seems like you're advertising it.\Alright, look closely.\This mellowness...\Ah I'm becoming useless.\No! response:	The always earnest Onii-san, in an instant has become a good for nothing.
context: That was its name?\Yes that is correct.\It seems like you're advertising it.\Alright, look closely.\This mellowness...\Ah I'm becoming useless.\No!\The always earnest Onii-san, in an instant has become a good for nothing. response:	This pillow is dangerous.
context: Yes that is correct.\It seems like you're advertising it.\Alright, look closely.\This mellowness...\Ah I'm becoming useless.\No!\The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous. response:	That's what all my cells are telling me.
context: It seems like you're advertising it.\Alright, look closely.\This mellowness...\Ah I'm becoming useless.\No!\The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous.\That's what all my cells are telling me. response:	But, if its only for a little while.
context: Alright, look closely.\This mellowness...\Ah I'm becoming useless.\No!\The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous.\That's what all my cells are telling me.\But, if its only for a little while. response:	Japoneko, Japoneko, the low prices of Japoneko are irresistible.
context: This mellowness...\Ah I'm becoming useless.\No!\The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous.\That's what all my cells are telling me.\But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible. response:	Alright, today we bring you this product.
context: Ah I'm becoming useless.\No!\The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous.\That's what all my cells are telling me.\But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product. response:	The pillow that accommodates to the person.
context: No!\The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous.\That's what all my cells are telling me.\But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product.\The pillow that accommodates to the person. response:	Is the best pillow human technology can make.
context: The always earnest Onii-san, in an instant has become a good for nothing.\This pillow is dangerous.\That's what all my cells are telling me.\But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product.\The pillow that accommodates to the person.\Is the best pillow human technology can make. response:	This pillow accommodates itself to the person's most comfortable position.
context: This pillow is dangerous.\That's what all my cells are telling me.\But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product.\The pillow that accommodates to the person.\Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position. response:	Oh!
context: That's what all my cells are telling me.\But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product.\The pillow that accommodates to the person.\Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position.\Oh! response:	This is its secret!
context: But, if its only for a little while.\Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product.\The pillow that accommodates to the person.\Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position.\Oh!\This is its secret! response:	With its integrated AI chip, it automatically assumes the best position for the user.
context: Japoneko, Japoneko, the low prices of Japoneko are irresistible.\Alright, today we bring you this product.\The pillow that accommodates to the person.\Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position.\Oh!\This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user. response:	Moreover, thanks to an original implementation, its possible to ride its back!
context: Alright, today we bring you this product.\The pillow that accommodates to the person.\Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position.\Oh!\This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back! response:	Straight advance!, Zig-zag! However you like it!
context: The pillow that accommodates to the person.\Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position.\Oh!\This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it! response:	There's even more!
context: Is the best pillow human technology can make.\This pillow accommodates itself to the person's most comfortable position.\Oh!\This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it!\There's even more! response:	It brings you drinks and can even gather exp in games while you sleep!
context: This pillow accommodates itself to the person's most comfortable position.\Oh!\This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it!\There's even more!\It brings you drinks and can even gather exp in games while you sleep! response:	Buy now and you'll get a special offer!
context: Oh!\This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it!\There's even more!\It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer! response:	Only for now you'll receive the Jet-docking parts for free!
context: This is its secret!\With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it!\There's even more!\It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free! response:	Secure yours right now! Call 0-1-2...
