context: Touko, I saw response:	what you saw that day.
context: Touko, I saw\what you saw that day. response:	What she saw?
context: Touko, I saw\what you saw that day.\What she saw? response:	What are you to Touko?
context: Touko, I saw\what you saw that day.\What she saw?\What are you to Touko? response:	Hey
context: Touko, I saw\what you saw that day.\What she saw?\What are you to Touko?\Hey response:	You came all the way here to see Touko again?
context: Touko, I saw\what you saw that day.\What she saw?\What are you to Touko?\Hey\You came all the way here to see Touko again? response:	Yeah.
context: Touko, I saw\what you saw that day.\What she saw?\What are you to Touko?\Hey\You came all the way here to see Touko again?\Yeah. response:	Yeah?
context: Touko, I saw\what you saw that day.\What she saw?\What are you to Touko?\Hey\You came all the way here to see Touko again?\Yeah.\Yeah? response:	How did you know to look here?
context: what you saw that day.\What she saw?\What are you to Touko?\Hey\You came all the way here to see Touko again?\Yeah.\Yeah?\How did you know to look here? response:	Kazemichi
context: What she saw?\What are you to Touko?\Hey\You came all the way here to see Touko again?\Yeah.\Yeah?\How did you know to look here?\Kazemichi response:	This is where you hang out, isn't it?
context: What are you to Touko?\Hey\You came all the way here to see Touko again?\Yeah.\Yeah?\How did you know to look here?\Kazemichi\This is where you hang out, isn't it? response:	Yeah, so?
context: Hey\You came all the way here to see Touko again?\Yeah.\Yeah?\How did you know to look here?\Kazemichi\This is where you hang out, isn't it?\Yeah, so? response:	I'll see you at the Kirinkan lookout at 11.
context: You came all the way here to see Touko again?\Yeah.\Yeah?\How did you know to look here?\Kazemichi\This is where you hang out, isn't it?\Yeah, so?\I'll see you at the Kirinkan lookout at 11. response:	What?
context: Yeah.\Yeah?\How did you know to look here?\Kazemichi\This is where you hang out, isn't it?\Yeah, so?\I'll see you at the Kirinkan lookout at 11.\What? response:	Hey, wait!
context: Yeah?\How did you know to look here?\Kazemichi\This is where you hang out, isn't it?\Yeah, so?\I'll see you at the Kirinkan lookout at 11.\What?\Hey, wait! response:	You don't have to go.
context: How did you know to look here?\Kazemichi\This is where you hang out, isn't it?\Yeah, so?\I'll see you at the Kirinkan lookout at 11.\What?\Hey, wait!\You don't have to go. response:	What does it matter to you?
context: Kazemichi\This is where you hang out, isn't it?\Yeah, so?\I'll see you at the Kirinkan lookout at 11.\What?\Hey, wait!\You don't have to go.\What does it matter to you? response:	That dude was so collected and curt.
context: This is where you hang out, isn't it?\Yeah, so?\I'll see you at the Kirinkan lookout at 11.\What?\Hey, wait!\You don't have to go.\What does it matter to you?\That dude was so collected and curt. response:	So what's your relationship with that David?
context: Yeah, so?\I'll see you at the Kirinkan lookout at 11.\What?\Hey, wait!\You don't have to go.\What does it matter to you?\That dude was so collected and curt.\So what's your relationship with that David? response:	We talked about chickens at school.
context: I'll see you at the Kirinkan lookout at 11.\What?\Hey, wait!\You don't have to go.\What does it matter to you?\That dude was so collected and curt.\So what's your relationship with that David?\We talked about chickens at school. response:	Huh?
context: What?\Hey, wait!\You don't have to go.\What does it matter to you?\That dude was so collected and curt.\So what's your relationship with that David?\We talked about chickens at school.\Huh? response:	How do you get from that to let's meet tomorrow?
context: Hey, wait!\You don't have to go.\What does it matter to you?\That dude was so collected and curt.\So what's your relationship with that David?\We talked about chickens at school.\Huh?\How do you get from that to let's meet tomorrow? response:	Well...
context: You don't have to go.\What does it matter to you?\That dude was so collected and curt.\So what's your relationship with that David?\We talked about chickens at school.\Huh?\How do you get from that to let's meet tomorrow?\Well... response:	He was pretty hot.
context: What does it matter to you?\That dude was so collected and curt.\So what's your relationship with that David?\We talked about chickens at school.\Huh?\How do you get from that to let's meet tomorrow?\Well...\He was pretty hot. response:	Never mind that.
context: That dude was so collected and curt.\So what's your relationship with that David?\We talked about chickens at school.\Huh?\How do you get from that to let's meet tomorrow?\Well...\He was pretty hot.\Never mind that. response:	You should go if you want.
context: So what's your relationship with that David?\We talked about chickens at school.\Huh?\How do you get from that to let's meet tomorrow?\Well...\He was pretty hot.\Never mind that.\You should go if you want. response:	But I think it's what inside that makes a man.
context: We talked about chickens at school.\Huh?\How do you get from that to let's meet tomorrow?\Well...\He was pretty hot.\Never mind that.\You should go if you want.\But I think it's what inside that makes a man. response:	Seriously, it's not like that.
context: Huh?\How do you get from that to let's meet tomorrow?\Well...\He was pretty hot.\Never mind that.\You should go if you want.\But I think it's what inside that makes a man.\Seriously, it's not like that. response:	Is something bothering you?
context: How do you get from that to let's meet tomorrow?\Well...\He was pretty hot.\Never mind that.\You should go if you want.\But I think it's what inside that makes a man.\Seriously, it's not like that.\Is something bothering you? response:	I'll go too, then.
context: Well...\He was pretty hot.\Never mind that.\You should go if you want.\But I think it's what inside that makes a man.\Seriously, it's not like that.\Is something bothering you?\I'll go too, then. response:	Sacchan?!
context: He was pretty hot.\Never mind that.\You should go if you want.\But I think it's what inside that makes a man.\Seriously, it's not like that.\Is something bothering you?\I'll go too, then.\Sacchan?! response:	He didn't tell you to come alone, did he?
context: Never mind that.\You should go if you want.\But I think it's what inside that makes a man.\Seriously, it's not like that.\Is something bothering you?\I'll go too, then.\Sacchan?!\He didn't tell you to come alone, did he? response:	Are you sure?
context: You should go if you want.\But I think it's what inside that makes a man.\Seriously, it's not like that.\Is something bothering you?\I'll go too, then.\Sacchan?!\He didn't tell you to come alone, did he?\Are you sure? response:	Yeah.
context: But I think it's what inside that makes a man.\Seriously, it's not like that.\Is something bothering you?\I'll go too, then.\Sacchan?!\He didn't tell you to come alone, did he?\Are you sure?\Yeah. response:	Why don't we all go then?
context: Seriously, it's not like that.\Is something bothering you?\I'll go too, then.\Sacchan?!\He didn't tell you to come alone, did he?\Are you sure?\Yeah.\Why don't we all go then? response:	That's not very thoughtful.
context: Is something bothering you?\I'll go too, then.\Sacchan?!\He didn't tell you to come alone, did he?\Are you sure?\Yeah.\Why don't we all go then?\That's not very thoughtful. response:	You really don't understand girls.
context: I'll go too, then.\Sacchan?!\He didn't tell you to come alone, did he?\Are you sure?\Yeah.\Why don't we all go then?\That's not very thoughtful.\You really don't understand girls. response:	Why?!
context: Sacchan?!\He didn't tell you to come alone, did he?\Are you sure?\Yeah.\Why don't we all go then?\That's not very thoughtful.\You really don't understand girls.\Why?! response:	Episode 2 Bench
context: He didn't tell you to come alone, did he?\Are you sure?\Yeah.\Why don't we all go then?\That's not very thoughtful.\You really don't understand girls.\Why?!\Episode 2 Bench response:	What's there not to understand about girls?
context: Are you sure?\Yeah.\Why don't we all go then?\That's not very thoughtful.\You really don't understand girls.\Why?!\Episode 2 Bench\What's there not to understand about girls? response:	You want me to tell you?
context: Yeah.\Why don't we all go then?\That's not very thoughtful.\You really don't understand girls.\Why?!\Episode 2 Bench\What's there not to understand about girls?\You want me to tell you? response:	Ow!
context: Why don't we all go then?\That's not very thoughtful.\You really don't understand girls.\Why?!\Episode 2 Bench\What's there not to understand about girls?\You want me to tell you?\Ow! response:	I told you not to come in without asking.
context: That's not very thoughtful.\You really don't understand girls.\Why?!\Episode 2 Bench\What's there not to understand about girls?\You want me to tell you?\Ow!\I told you not to come in without asking. response:	It seemed like you called.
context: You really don't understand girls.\Why?!\Episode 2 Bench\What's there not to understand about girls?\You want me to tell you?\Ow!\I told you not to come in without asking.\It seemed like you called. response:	Obviously not.
context: Why?!\Episode 2 Bench\What's there not to understand about girls?\You want me to tell you?\Ow!\I told you not to come in without asking.\It seemed like you called.\Obviously not. response:	A guy who understands girls is
context: Episode 2 Bench\What's there not to understand about girls?\You want me to tell you?\Ow!\I told you not to come in without asking.\It seemed like you called.\Obviously not.\A guy who understands girls is response:	someone who's tall, rich,
context: What's there not to understand about girls?\You want me to tell you?\Ow!\I told you not to come in without asking.\It seemed like you called.\Obviously not.\A guy who understands girls is\someone who's tall, rich, response:	and smart.
context: You want me to tell you?\Ow!\I told you not to come in without asking.\It seemed like you called.\Obviously not.\A guy who understands girls is\someone who's tall, rich,\and smart. response:	Psych, it's actually a guy who can tell a girl's lying when she says that.
context: Ow!\I told you not to come in without asking.\It seemed like you called.\Obviously not.\A guy who understands girls is\someone who's tall, rich,\and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that. response:	Good luck!
