context: Can't decide... response:	Morning.
context: Can't decide...\Morning. response:	Haru, today's the big day.
context: Can't decide...\Morning.\Haru, today's the big day. response:	Okay!
context: Can't decide...\Morning.\Haru, today's the big day.\Okay! response:	We officially have four club members now,
context: Can't decide...\Morning.\Haru, today's the big day.\Okay!\We officially have four club members now, response:	and it's warming up outside,
context: Can't decide...\Morning.\Haru, today's the big day.\Okay!\We officially have four club members now,\and it's warming up outside, response:	so we will finally begin training in the pool today...
context: Can't decide...\Morning.\Haru, today's the big day.\Okay!\We officially have four club members now,\and it's warming up outside,\so we will finally begin training in the pool today... response:	Hold on!
context: Can't decide...\Morning.\Haru, today's the big day.\Okay!\We officially have four club members now,\and it's warming up outside,\so we will finally begin training in the pool today...\Hold on! response:	Could you listen to what I have to say first, Haruka-senpai?!
context: Morning.\Haru, today's the big day.\Okay!\We officially have four club members now,\and it's warming up outside,\so we will finally begin training in the pool today...\Hold on!\Could you listen to what I have to say first, Haruka-senpai?! response:	Please, Haruka-senpai?!
context: Haru, today's the big day.\Okay!\We officially have four club members now,\and it's warming up outside,\so we will finally begin training in the pool today...\Hold on!\Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?! response:	Come on...
context: Okay!\We officially have four club members now,\and it's warming up outside,\so we will finally begin training in the pool today...\Hold on!\Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?!\Come on... response:	Is this some kind of formula?
context: We officially have four club members now,\and it's warming up outside,\so we will finally begin training in the pool today...\Hold on!\Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?!\Come on...\Is this some kind of formula? response:	Where?
context: and it's warming up outside,\so we will finally begin training in the pool today...\Hold on!\Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?!\Come on...\Is this some kind of formula?\Where? response:	What is this?
context: so we will finally begin training in the pool today...\Hold on!\Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?!\Come on...\Is this some kind of formula?\Where?\What is this? response:	Oh.
context: Hold on!\Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?!\Come on...\Is this some kind of formula?\Where?\What is this?\Oh. response:	You know what warming up means, right?
context: Could you listen to what I have to say first, Haruka-senpai?!\Please, Haruka-senpai?!\Come on...\Is this some kind of formula?\Where?\What is this?\Oh.\You know what warming up means, right? response:	This one means kicking practice with a kickboard.
context: Please, Haruka-senpai?!\Come on...\Is this some kind of formula?\Where?\What is this?\Oh.\You know what warming up means, right?\This one means kicking practice with a kickboard. response:	Pull refers to when you use a pull buoy to train your arms.
context: Come on...\Is this some kind of formula?\Where?\What is this?\Oh.\You know what warming up means, right?\This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms. response:	Is this someone's name?
context: Is this some kind of formula?\Where?\What is this?\Oh.\You know what warming up means, right?\This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms.\Is this someone's name? response:	That's an abbreviation for medley relay.
