context: We're sick and tired of you dodging the issue! response:	I am not dodging the issue!
context: We're sick and tired of you dodging the issue!\I am not dodging the issue! response:	I'm just saying that we shouldn't do anything rash until the situation clears up.
context: We're sick and tired of you dodging the issue!\I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up. response:	We should be hearing
context: We're sick and tired of you dodging the issue!\I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing response:	from the Kuhouin head, my grandfather, soon.
context: We're sick and tired of you dodging the issue!\I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing\from the Kuhouin head, my grandfather, soon. response:	All we need is a little more patience!
context: We're sick and tired of you dodging the issue!\I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing\from the Kuhouin head, my grandfather, soon.\All we need is a little more patience! response:	Come on! Face the facts!
context: We're sick and tired of you dodging the issue!\I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing\from the Kuhouin head, my grandfather, soon.\All we need is a little more patience!\Come on! Face the facts! response:	We don't officially exist anymore!
context: We're sick and tired of you dodging the issue!\I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing\from the Kuhouin head, my grandfather, soon.\All we need is a little more patience!\Come on! Face the facts!\We don't officially exist anymore! response:	Don't you get it? They're gonna kill us along with the virus!
context: I am not dodging the issue!\I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing\from the Kuhouin head, my grandfather, soon.\All we need is a little more patience!\Come on! Face the facts!\We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus! response:	We're all gonna die!
context: I'm just saying that we shouldn't do anything rash until the situation clears up.\We should be hearing\from the Kuhouin head, my grandfather, soon.\All we need is a little more patience!\Come on! Face the facts!\We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus!\We're all gonna die! response:	It's all over!
context: We should be hearing\from the Kuhouin head, my grandfather, soon.\All we need is a little more patience!\Come on! Face the facts!\We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus!\We're all gonna die!\It's all over! response:	Hey, cut it out! Nobody knows that for sure!
context: from the Kuhouin head, my grandfather, soon.\All we need is a little more patience!\Come on! Face the facts!\We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus!\We're all gonna die!\It's all over!\Hey, cut it out! Nobody knows that for sure! response:	That's right.
context: All we need is a little more patience!\Come on! Face the facts!\We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus!\We're all gonna die!\It's all over!\Hey, cut it out! Nobody knows that for sure!\That's right. response:	Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.
context: Come on! Face the facts!\We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus!\We're all gonna die!\It's all over!\Hey, cut it out! Nobody knows that for sure!\That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone. response:	The way I see it,
context: We don't officially exist anymore!\Don't you get it? They're gonna kill us along with the virus!\We're all gonna die!\It's all over!\Hey, cut it out! Nobody knows that for sure!\That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it, response:	our biggest problem right now is that we don't know anything about the situation.
context: Don't you get it? They're gonna kill us along with the virus!\We're all gonna die!\It's all over!\Hey, cut it out! Nobody knows that for sure!\That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it,\our biggest problem right now is that we don't know anything about the situation. response:	Shouldn't someone take responsibility
context: We're all gonna die!\It's all over!\Hey, cut it out! Nobody knows that for sure!\That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it,\our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility response:	and inspect the wall enclosing Loop 7?
context: It's all over!\Hey, cut it out! Nobody knows that for sure!\That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it,\our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7? response:	Yeah! He's right!
context: Hey, cut it out! Nobody knows that for sure!\That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it,\our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7?\Yeah! He's right! response:	Nanba's right!
context: That's right.\Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it,\our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7?\Yeah! He's right!\Nanba's right! response:	You go!
context: Also, don't shout. This is why I requested that no one takes the floor until they have the microphone.\The way I see it,\our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7?\Yeah! He's right!\Nanba's right!\You go! response:	Why does the president bother taking guys like that seriously?
context: The way I see it,\our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7?\Yeah! He's right!\Nanba's right!\You go!\Why does the president bother taking guys like that seriously? response:	I don't know if it's integrity or just stupidity...
context: our biggest problem right now is that we don't know anything about the situation.\Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7?\Yeah! He's right!\Nanba's right!\You go!\Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity... response:	She's just trying to hear everybody out! What's wrong with that?
context: Shouldn't someone take responsibility\and inspect the wall enclosing Loop 7?\Yeah! He's right!\Nanba's right!\You go!\Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that? response:	Nothing, but only we were in a peaceful time.
context: and inspect the wall enclosing Loop 7?\Yeah! He's right!\Nanba's right!\You go!\Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time. response:	What's wrong, Shu?
context: Yeah! He's right!\Nanba's right!\You go!\Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time.\What's wrong, Shu? response:	Nothing...
context: Nanba's right!\You go!\Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time.\What's wrong, Shu?\Nothing... response:	I was just wondering what Gai would do at a time like this.
context: You go!\Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time.\What's wrong, Shu?\Nothing...\I was just wondering what Gai would do at a time like this. response:	Please!
context: Why does the president bother taking guys like that seriously?\I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time.\What's wrong, Shu?\Nothing...\I was just wondering what Gai would do at a time like this.\Please! response:	Please do something! I want to see my mom and dad!
context: I don't know if it's integrity or just stupidity...\She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time.\What's wrong, Shu?\Nothing...\I was just wondering what Gai would do at a time like this.\Please!\Please do something! I want to see my mom and dad! response:	What we're saying
context: She's just trying to hear everybody out! What's wrong with that?\Nothing, but only we were in a peaceful time.\What's wrong, Shu?\Nothing...\I was just wondering what Gai would do at a time like this.\Please!\Please do something! I want to see my mom and dad!\What we're saying response:	is that we want you to decide on a course of action.
context: Nothing, but only we were in a peaceful time.\What's wrong, Shu?\Nothing...\I was just wondering what Gai would do at a time like this.\Please!\Please do something! I want to see my mom and dad!\What we're saying\is that we want you to decide on a course of action. response:	If you ask me, Grandpa will come and save us, so wait for him
context: What's wrong, Shu?\Nothing...\I was just wondering what Gai would do at a time like this.\Please!\Please do something! I want to see my mom and dad!\What we're saying\is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him response:	isn't something a leader should say. Am I right?
context: Nothing...\I was just wondering what Gai would do at a time like this.\Please!\Please do something! I want to see my mom and dad!\What we're saying\is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right? response:	Good point.
context: I was just wondering what Gai would do at a time like this.\Please!\Please do something! I want to see my mom and dad!\What we're saying\is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right?\Good point. response:	What are you, a kid?
context: Please!\Please do something! I want to see my mom and dad!\What we're saying\is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right?\Good point.\What are you, a kid? response:	Per Article 32, Section 3 of the student council charter,
context: Please do something! I want to see my mom and dad!\What we're saying\is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right?\Good point.\What are you, a kid?\Per Article 32, Section 3 of the student council charter, response:	I'm hereby filing a no-confidence resolution against the president
