context: This doesn't seem to be it either, does it? response:	We still have a long way to go.
context: This doesn't seem to be it either, does it?\We still have a long way to go. response:	We're just gonna have to cross them all off, one by one.
context: This doesn't seem to be it either, does it?\We still have a long way to go.\We're just gonna have to cross them all off, one by one. response:	You're right. Okay, then!
context: This doesn't seem to be it either, does it?\We still have a long way to go.\We're just gonna have to cross them all off, one by one.\You're right. Okay, then! response:	Absolutely no pushing yourself too hard.
context: This doesn't seem to be it either, does it?\We still have a long way to go.\We're just gonna have to cross them all off, one by one.\You're right. Okay, then!\Absolutely no pushing yourself too hard. response:	No, no!
context: This doesn't seem to be it either, does it?\We still have a long way to go.\We're just gonna have to cross them all off, one by one.\You're right. Okay, then!\Absolutely no pushing yourself too hard.\No, no! response:	This is nothing, I promise!
context: This doesn't seem to be it either, does it?\We still have a long way to go.\We're just gonna have to cross them all off, one by one.\You're right. Okay, then!\Absolutely no pushing yourself too hard.\No, no!\This is nothing, I promise! response:	Ayato-senpai and Julis should be battling about now.
context: This doesn't seem to be it either, does it?\We still have a long way to go.\We're just gonna have to cross them all off, one by one.\You're right. Okay, then!\Absolutely no pushing yourself too hard.\No, no!\This is nothing, I promise!\Ayato-senpai and Julis should be battling about now. response:	I've got to give it my all, too!
context: We still have a long way to go.\We're just gonna have to cross them all off, one by one.\You're right. Okay, then!\Absolutely no pushing yourself too hard.\No, no!\This is nothing, I promise!\Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too! response:	Yeah, that's the spirit.
context: We're just gonna have to cross them all off, one by one.\You're right. Okay, then!\Absolutely no pushing yourself too hard.\No, no!\This is nothing, I promise!\Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too!\Yeah, that's the spirit. response:	Scrambling
context: You're right. Okay, then!\Absolutely no pushing yourself too hard.\No, no!\This is nothing, I promise!\Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too!\Yeah, that's the spirit.\Scrambling response:	Sorry to keep you waiting, everybody!
context: Absolutely no pushing yourself too hard.\No, no!\This is nothing, I promise!\Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too!\Yeah, that's the spirit.\Scrambling\Sorry to keep you waiting, everybody! response:	There are now only two more matches left in the Phoenix Festa!
context: No, no!\This is nothing, I promise!\Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too!\Yeah, that's the spirit.\Scrambling\Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa! response:	AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD
context: This is nothing, I promise!\Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too!\Yeah, that's the spirit.\Scrambling\Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD response:	ERNESTA KUHNE CAMILLA PARETO
context: Ayato-senpai and Julis should be battling about now.\I've got to give it my all, too!\Yeah, that's the spirit.\Scrambling\Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO response:	DOROTEO LEMUS ELLIOTT FORSTER
context: I've got to give it my all, too!\Yeah, that's the spirit.\Scrambling\Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER response:	Who will vie for supremacy against Arlequint in tomorrow's final?
context: Yeah, that's the spirit.\Scrambling\Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final? response:	Will it be Seidoukan or will it be Galahadworth?
context: Scrambling\Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth? response:	I thought I was used to this feeling of powerlessness.
context: Sorry to keep you waiting, everybody!\There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness. response:	But I just can't take it this time.
context: There are now only two more matches left in the Phoenix Festa!\AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness.\But I just can't take it this time. response:	For now, let's just have faith in Saya and Kirin, and focus on our match.
context: AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELD\ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness.\But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match. response:	Right... I hear you.
context: ERNESTA KUHNE CAMILLA PARETO\DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness.\But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you. response:	Now, then, the Galahadworth team...
context: DOROTEO LEMUS ELLIOTT FORSTER\Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness.\But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you.\Now, then, the Galahadworth team... response:	First... ranked 12 despite being in junior high!
context: Who will vie for supremacy against Arlequint in tomorrow's final?\Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness.\But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you.\Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high! response:	The young prodigy, also known as Claimh Solais...
context: Will it be Seidoukan or will it be Galahadworth?\I thought I was used to this feeling of powerlessness.\But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you.\Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais... response:	Elliott Forster!
context: I thought I was used to this feeling of powerlessness.\But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you.\Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais...\Elliott Forster! response:	His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!
context: But I just can't take it this time.\For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you.\Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais...\Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen! response:	This is his third Festa. He's a seasoned veteran!
context: For now, let's just have faith in Saya and Kirin, and focus on our match.\Right... I hear you.\Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais...\Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran! response:	I'd prefer to get this match out of the way,
context: Right... I hear you.\Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais...\Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way, response:	but since we're up against Galahadworth's True Knights, that's not happening.
context: Now, then, the Galahadworth team...\First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais...\Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening. response:	Not only that, but this time you can't even use the Ser=Versta.
context: First... ranked 12 despite being in junior high!\The young prodigy, also known as Claimh Solais...\Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta. response:	Well, about that... I'll figure something out.
context: The young prodigy, also known as Claimh Solais...\Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out. response:	All right, then, I'm leaving Forster to you.
context: Elliott Forster!\His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you. response:	I'll take on Lemus!
context: His teammate is Rank 11, Doroteo Lemus, a.k.a. Brightwen!\This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you.\I'll take on Lemus! response:	Roger that.
context: This is his third Festa. He's a seasoned veteran!\I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you.\I'll take on Lemus!\Roger that. response:	Phoenix Festa Semifinal Match 2!
context: I'd prefer to get this match out of the way,\but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you.\I'll take on Lemus!\Roger that.\Phoenix Festa Semifinal Match 2! response:	Battle start!
context: but since we're up against Galahadworth's True Knights, that's not happening.\Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you.\I'll take on Lemus!\Roger that.\Phoenix Festa Semifinal Match 2!\Battle start! response:	Burst into bloom, Amaryllis!
context: Not only that, but this time you can't even use the Ser=Versta.\Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you.\I'll take on Lemus!\Roger that.\Phoenix Festa Semifinal Match 2!\Battle start!\Burst into bloom, Amaryllis! response:	Nice to meet you, too...
context: Well, about that... I'll figure something out.\All right, then, I'm leaving Forster to you.\I'll take on Lemus!\Roger that.\Phoenix Festa Semifinal Match 2!\Battle start!\Burst into bloom, Amaryllis!\Nice to meet you, too... response:	Gluhen Rose.
context: All right, then, I'm leaving Forster to you.\I'll take on Lemus!\Roger that.\Phoenix Festa Semifinal Match 2!\Battle start!\Burst into bloom, Amaryllis!\Nice to meet you, too...\Gluhen Rose. response:	Well, well!
context: I'll take on Lemus!\Roger that.\Phoenix Festa Semifinal Match 2!\Battle start!\Burst into bloom, Amaryllis!\Nice to meet you, too...\Gluhen Rose.\Well, well! response:	Where did this armor come from?
context: Roger that.\Phoenix Festa Semifinal Match 2!\Battle start!\Burst into bloom, Amaryllis!\Nice to meet you, too...\Gluhen Rose.\Well, well!\Where did this armor come from? response:	Right, it was generated by Lemus's powers.
context: Phoenix Festa Semifinal Match 2!\Battle start!\Burst into bloom, Amaryllis!\Nice to meet you, too...\Gluhen Rose.\Well, well!\Where did this armor come from?\Right, it was generated by Lemus's powers. response:	It's highly protective,
context: Battle start!\Burst into bloom, Amaryllis!\Nice to meet you, too...\Gluhen Rose.\Well, well!\Where did this armor come from?\Right, it was generated by Lemus's powers.\It's highly protective, response:	and it's also a headache because it repairs itself as soon as you destroy it.
context: Burst into bloom, Amaryllis!\Nice to meet you, too...\Gluhen Rose.\Well, well!\Where did this armor come from?\Right, it was generated by Lemus's powers.\It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it. response:	I see!
context: Nice to meet you, too...\Gluhen Rose.\Well, well!\Where did this armor come from?\Right, it was generated by Lemus's powers.\It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it.\I see! response:	Not to mention, the armor's even protecting the school badge, too!
context: Gluhen Rose.\Well, well!\Where did this armor come from?\Right, it was generated by Lemus's powers.\It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it.\I see!\Not to mention, the armor's even protecting the school badge, too! response:	So you're going all-out from the start.
