context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua. response:	Your Highness, do you mean...
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua.\Your Highness, do you mean... response:	Su Jin.
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua.\Your Highness, do you mean...\Su Jin. response:	Heavenly Lord.
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua.\Your Highness, do you mean...\Su Jin.\Heavenly Lord. response:	I came to see you.
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua.\Your Highness, do you mean...\Su Jin.\Heavenly Lord.\I came to see you. response:	Your Majesty attends to numerous affairs every day.
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua.\Your Highness, do you mean...\Su Jin.\Heavenly Lord.\I came to see you.\Your Majesty attends to numerous affairs every day. response:	You do not need spend too much of your focus on me.
context: Since you understand me, you should know\everything I have done is so I can marry Ye Hua.\Your Highness, do you mean...\Su Jin.\Heavenly Lord.\I came to see you.\Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me. response:	Tonight, I will enter the palace alone as you have arranged.
context: everything I have done is so I can marry Ye Hua.\Your Highness, do you mean...\Su Jin.\Heavenly Lord.\I came to see you.\Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged. response:	No, I came to tell you
context: Your Highness, do you mean...\Su Jin.\Heavenly Lord.\I came to see you.\Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you response:	you and I are a married couple in name only.
context: Su Jin.\Heavenly Lord.\I came to see you.\Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you\you and I are a married couple in name only. response:	You may continue to live here
context: Heavenly Lord.\I came to see you.\Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you\you and I are a married couple in name only.\You may continue to live here response:	so as to avoid causing you discomfort by moving you into my chambers.
context: I came to see you.\Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you\you and I are a married couple in name only.\You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers. response:	That... would not be proper.
context: Your Majesty attends to numerous affairs every day.\You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you\you and I are a married couple in name only.\You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper. response:	It is of no matter.
context: You do not need spend too much of your focus on me.\Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you\you and I are a married couple in name only.\You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper.\It is of no matter. response:	Thank you, Your Majesty.
context: Tonight, I will enter the palace alone as you have arranged.\No, I came to tell you\you and I are a married couple in name only.\You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper.\It is of no matter.\Thank you, Your Majesty. response:	Hang some red silk.
context: No, I came to tell you\you and I are a married couple in name only.\You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper.\It is of no matter.\Thank you, Your Majesty.\Hang some red silk. response:	After all, you have been made an imperial consort.
context: you and I are a married couple in name only.\You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper.\It is of no matter.\Thank you, Your Majesty.\Hang some red silk.\After all, you have been made an imperial consort. response:	It is considered a happy occasion.
