context: Two more. No... response:	I'm pumped.
context: Two more. No...\I'm pumped. response:	Jota!
context: Two more. No...\I'm pumped.\Jota! response:	Jota!
context: Two more. No...\I'm pumped.\Jota!\Jota! response:	Hana?
context: Two more. No...\I'm pumped.\Jota!\Jota!\Hana? response:	What's she doing here?
context: Two more. No...\I'm pumped.\Jota!\Jota!\Hana?\What's she doing here? response:	Wasn't she watching the starting line at Otemachi?
context: Two more. No...\I'm pumped.\Jota!\Jota!\Hana?\What's she doing here?\Wasn't she watching the starting line at Otemachi? response:	You can do it!
context: Two more. No...\I'm pumped.\Jota!\Jota!\Hana?\What's she doing here?\Wasn't she watching the starting line at Otemachi?\You can do it! response:	Could it be?
context: I'm pumped.\Jota!\Jota!\Hana?\What's she doing here?\Wasn't she watching the starting line at Otemachi?\You can do it!\Could it be? response:	No, but
context: Jota!\Jota!\Hana?\What's she doing here?\Wasn't she watching the starting line at Otemachi?\You can do it!\Could it be?\No, but response:	Does she like me?
context: Jota!\Hana?\What's she doing here?\Wasn't she watching the starting line at Otemachi?\You can do it!\Could it be?\No, but\Does she like me? response:	What? Seriously?!
context: Hana?\What's she doing here?\Wasn't she watching the starting line at Otemachi?\You can do it!\Could it be?\No, but\Does she like me?\What? Seriously?! response:	Run with the Wind
context: What's she doing here?\Wasn't she watching the starting line at Otemachi?\You can do it!\Could it be?\No, but\Does she like me?\What? Seriously?!\Run with the Wind response:	Bro!
context: Wasn't she watching the starting line at Otemachi?\You can do it!\Could it be?\No, but\Does she like me?\What? Seriously?!\Run with the Wind\Bro! response:	Oh, wow!
context: You can do it!\Could it be?\No, but\Does she like me?\What? Seriously?!\Run with the Wind\Bro!\Oh, wow! response:	He's so strong during the actual event.
context: Could it be?\No, but\Does she like me?\What? Seriously?!\Run with the Wind\Bro!\Oh, wow!\He's so strong during the actual event. response:	Joji!
context: No, but\Does she like me?\What? Seriously?!\Run with the Wind\Bro!\Oh, wow!\He's so strong during the actual event.\Joji! response:	Hey!
context: Does she like me?\What? Seriously?!\Run with the Wind\Bro!\Oh, wow!\He's so strong during the actual event.\Joji!\Hey! response:	Hana!
context: What? Seriously?!\Run with the Wind\Bro!\Oh, wow!\He's so strong during the actual event.\Joji!\Hey!\Hana! response:	Huh?
context: Run with the Wind\Bro!\Oh, wow!\He's so strong during the actual event.\Joji!\Hey!\Hana!\Huh? response:	I think...
context: Bro!\Oh, wow!\He's so strong during the actual event.\Joji!\Hey!\Hana!\Huh?\I think... response:	Seriously?!
context: Oh, wow!\He's so strong during the actual event.\Joji!\Hey!\Hana!\Huh?\I think...\Seriously?! response:	What? But Hana
context: He's so strong during the actual event.\Joji!\Hey!\Hana!\Huh?\I think...\Seriously?!\What? But Hana response:	Seriously?!
