context: Shuichi response:	Hey, are we there yet?
context: Shuichi\Hey, are we there yet? response:	Almost.
context: Shuichi\Hey, are we there yet?\Almost. response:	You keep saying that.
context: Shuichi\Hey, are we there yet?\Almost.\You keep saying that. response:	This time it's true.
context: Shuichi\Hey, are we there yet?\Almost.\You keep saying that.\This time it's true. response:	You keep saying that, too.
context: Shuichi\Hey, are we there yet?\Almost.\You keep saying that.\This time it's true.\You keep saying that, too. response:	This place...
context: Shuichi\Hey, are we there yet?\Almost.\You keep saying that.\This time it's true.\You keep saying that, too.\This place... response:	Do you remember?
context: Shuichi\Hey, are we there yet?\Almost.\You keep saying that.\This time it's true.\You keep saying that, too.\This place...\Do you remember? response:	Noel!
context: Hey, are we there yet?\Almost.\You keep saying that.\This time it's true.\You keep saying that, too.\This place...\Do you remember?\Noel! response:	What now?
context: Almost.\You keep saying that.\This time it's true.\You keep saying that, too.\This place...\Do you remember?\Noel!\What now? response:	Dad.
context: You keep saying that.\This time it's true.\You keep saying that, too.\This place...\Do you remember?\Noel!\What now?\Dad. response:	This place...
context: This time it's true.\You keep saying that, too.\This place...\Do you remember?\Noel!\What now?\Dad.\This place... response:	Still asleep, are we?
context: You keep saying that, too.\This place...\Do you remember?\Noel!\What now?\Dad.\This place...\Still asleep, are we? response:	I don't blame you.
context: This place...\Do you remember?\Noel!\What now?\Dad.\This place...\Still asleep, are we?\I don't blame you. response:	You were up late packing for the move.
context: Do you remember?\Noel!\What now?\Dad.\This place...\Still asleep, are we?\I don't blame you.\You were up late packing for the move. response:	Move?
context: Noel!\What now?\Dad.\This place...\Still asleep, are we?\I don't blame you.\You were up late packing for the move.\Move? response:	No, that's not it!
context: What now?\Dad.\This place...\Still asleep, are we?\I don't blame you.\You were up late packing for the move.\Move?\No, that's not it! response:	I was with Noel at the observatory until just now.
context: Dad.\This place...\Still asleep, are we?\I don't blame you.\You were up late packing for the move.\Move?\No, that's not it!\I was with Noel at the observatory until just now. response:	Noel?
context: This place...\Still asleep, are we?\I don't blame you.\You were up late packing for the move.\Move?\No, that's not it!\I was with Noel at the observatory until just now.\Noel? response:	You know her, too, don't you?
context: Still asleep, are we?\I don't blame you.\You were up late packing for the move.\Move?\No, that's not it!\I was with Noel at the observatory until just now.\Noel?\You know her, too, don't you? response:	You helped her.
context: I don't blame you.\You were up late packing for the move.\Move?\No, that's not it!\I was with Noel at the observatory until just now.\Noel?\You know her, too, don't you?\You helped her. response:	I don't know what to say.
context: You were up late packing for the move.\Move?\No, that's not it!\I was with Noel at the observatory until just now.\Noel?\You know her, too, don't you?\You helped her.\I don't know what to say. response:	Look, you can see it now.
context: Move?\No, that's not it!\I was with Noel at the observatory until just now.\Noel?\You know her, too, don't you?\You helped her.\I don't know what to say.\Look, you can see it now. response:	No way.
context: No, that's not it!\I was with Noel at the observatory until just now.\Noel?\You know her, too, don't you?\You helped her.\I don't know what to say.\Look, you can see it now.\No way. response:	Saucerless City
context: I was with Noel at the observatory until just now.\Noel?\You know her, too, don't you?\You helped her.\I don't know what to say.\Look, you can see it now.\No way.\Saucerless City response:	Where's the saucer?
context: Noel?\You know her, too, don't you?\You helped her.\I don't know what to say.\Look, you can see it now.\No way.\Saucerless City\Where's the saucer? response:	What's gotten into you?
context: You know her, too, don't you?\You helped her.\I don't know what to say.\Look, you can see it now.\No way.\Saucerless City\Where's the saucer?\What's gotten into you? response:	Are you tired from the long trip from Tokyo?
context: You helped her.\I don't know what to say.\Look, you can see it now.\No way.\Saucerless City\Where's the saucer?\What's gotten into you?\Are you tired from the long trip from Tokyo? response:	Is it summer break?
context: I don't know what to say.\Look, you can see it now.\No way.\Saucerless City\Where's the saucer?\What's gotten into you?\Are you tired from the long trip from Tokyo?\Is it summer break? response:	Of course it is.
context: Look, you can see it now.\No way.\Saucerless City\Where's the saucer?\What's gotten into you?\Are you tired from the long trip from Tokyo?\Is it summer break?\Of course it is. response:	It can't be.
context: No way.\Saucerless City\Where's the saucer?\What's gotten into you?\Are you tired from the long trip from Tokyo?\Is it summer break?\Of course it is.\It can't be. response:	It was snowing.
context: Saucerless City\Where's the saucer?\What's gotten into you?\Are you tired from the long trip from Tokyo?\Is it summer break?\Of course it is.\It can't be.\It was snowing. response:	Oh, you mean in your dream.
context: Where's the saucer?\What's gotten into you?\Are you tired from the long trip from Tokyo?\Is it summer break?\Of course it is.\It can't be.\It was snowing.\Oh, you mean in your dream. response:	You should probably get some rest once we get home.
context: What's gotten into you?\Are you tired from the long trip from Tokyo?\Is it summer break?\Of course it is.\It can't be.\It was snowing.\Oh, you mean in your dream.\You should probably get some rest once we get home. response:	How did this happen?
context: Are you tired from the long trip from Tokyo?\Is it summer break?\Of course it is.\It can't be.\It was snowing.\Oh, you mean in your dream.\You should probably get some rest once we get home.\How did this happen? response:	Stop!
context: Is it summer break?\Of course it is.\It can't be.\It was snowing.\Oh, you mean in your dream.\You should probably get some rest once we get home.\How did this happen?\Stop! response:	Where're you going?
context: Of course it is.\It can't be.\It was snowing.\Oh, you mean in your dream.\You should probably get some rest once we get home.\How did this happen?\Stop!\Where're you going? response:	I'll come home later.
context: It can't be.\It was snowing.\Oh, you mean in your dream.\You should probably get some rest once we get home.\How did this happen?\Stop!\Where're you going?\I'll come home later. response:	Later?
context: It was snowing.\Oh, you mean in your dream.\You should probably get some rest once we get home.\How did this happen?\Stop!\Where're you going?\I'll come home later.\Later? response:	Hey, do you remember where we live?
context: Oh, you mean in your dream.\You should probably get some rest once we get home.\How did this happen?\Stop!\Where're you going?\I'll come home later.\Later?\Hey, do you remember where we live? response:	Of course I do!
context: You should probably get some rest once we get home.\How did this happen?\Stop!\Where're you going?\I'll come home later.\Later?\Hey, do you remember where we live?\Of course I do! response:	Craft Palace
context: How did this happen?\Stop!\Where're you going?\I'll come home later.\Later?\Hey, do you remember where we live?\Of course I do!\Craft Palace response:	Kiriyako Scenery Kiriyako Hot Springs
context: Stop!\Where're you going?\I'll come home later.\Later?\Hey, do you remember where we live?\Of course I do!\Craft Palace\Kiriyako Scenery Kiriyako Hot Springs response:	Hot Springs Rice Cakes
context: Where're you going?\I'll come home later.\Later?\Hey, do you remember where we live?\Of course I do!\Craft Palace\Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes response:	Key Holders Mugs
context: I'll come home later.\Later?\Hey, do you remember where we live?\Of course I do!\Craft Palace\Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes\Key Holders Mugs response:	Are you sightseeing?
context: Later?\Hey, do you remember where we live?\Of course I do!\Craft Palace\Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes\Key Holders Mugs\Are you sightseeing? response:	Koharu!
context: Hey, do you remember where we live?\Of course I do!\Craft Palace\Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes\Key Holders Mugs\Are you sightseeing?\Koharu! response:	Um, have we met before?
context: Of course I do!\Craft Palace\Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes\Key Holders Mugs\Are you sightseeing?\Koharu!\Um, have we met before? response:	Don't you remember?
