context: Are you ok? response:	Yeah' I'm just a little sleepy'
context: Are you ok?\Yeah' I'm just a little sleepy' response:	You don't have a fever.
context: Are you ok?\Yeah' I'm just a little sleepy'\You don't have a fever. response:	I'm just a litte sleepy,
context: Are you ok?\Yeah' I'm just a little sleepy'\You don't have a fever.\I'm just a litte sleepy, response:	so, both of you,
context: Are you ok?\Yeah' I'm just a little sleepy'\You don't have a fever.\I'm just a litte sleepy,\so, both of you, response:	go to work and go to school.
context: Are you ok?\Yeah' I'm just a little sleepy'\You don't have a fever.\I'm just a litte sleepy,\so, both of you,\go to work and go to school. response:	I'm ok. Really.
context: Are you ok?\Yeah' I'm just a little sleepy'\You don't have a fever.\I'm just a litte sleepy,\so, both of you,\go to work and go to school.\I'm ok. Really. response:	Then I'm leaving now. ok?
context: Are you ok?\Yeah' I'm just a little sleepy'\You don't have a fever.\I'm just a litte sleepy,\so, both of you,\go to work and go to school.\I'm ok. Really.\Then I'm leaving now. ok? response:	Bye.
context: Yeah' I'm just a little sleepy'\You don't have a fever.\I'm just a litte sleepy,\so, both of you,\go to work and go to school.\I'm ok. Really.\Then I'm leaving now. ok?\Bye. response:	I'll skip club today
context: You don't have a fever.\I'm just a litte sleepy,\so, both of you,\go to work and go to school.\I'm ok. Really.\Then I'm leaving now. ok?\Bye.\I'll skip club today response:	and come home.
context: I'm just a litte sleepy,\so, both of you,\go to work and go to school.\I'm ok. Really.\Then I'm leaving now. ok?\Bye.\I'll skip club today\and come home. response:	I'll come home as soon as possible too.
context: so, both of you,\go to work and go to school.\I'm ok. Really.\Then I'm leaving now. ok?\Bye.\I'll skip club today\and come home.\I'll come home as soon as possible too. response:	Geez,
context: go to work and go to school.\I'm ok. Really.\Then I'm leaving now. ok?\Bye.\I'll skip club today\and come home.\I'll come home as soon as possible too.\Geez, response:	things start happening again, don't they'
context: I'm ok. Really.\Then I'm leaving now. ok?\Bye.\I'll skip club today\and come home.\I'll come home as soon as possible too.\Geez,\things start happening again, don't they' response:	Your brother noticed me after all!
context: Then I'm leaving now. ok?\Bye.\I'll skip club today\and come home.\I'll come home as soon as possible too.\Geez,\things start happening again, don't they'\Your brother noticed me after all! response:	On top of that, he's mad at me!!
context: Bye.\I'll skip club today\and come home.\I'll come home as soon as possible too.\Geez,\things start happening again, don't they'\Your brother noticed me after all!\On top of that, he's mad at me!! response:	Hey, Sakura.
context: I'll skip club today\and come home.\I'll come home as soon as possible too.\Geez,\things start happening again, don't they'\Your brother noticed me after all!\On top of that, he's mad at me!!\Hey, Sakura. response:	You're just playing sleepy, aren't you?
