context: Reflection Room 1 response:	They finally let us go...
context: Reflection Room 1\They finally let us go... response:	My neck hurts after sleeping on that hard floor for so long.
context: Reflection Room 1\They finally let us go...\My neck hurts after sleeping on that hard floor for so long. response:	Weren't we supposed to have the advantage after taking down Angel?
context: Reflection Room 1\They finally let us go...\My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel? response:	Why are you topless?
context: Reflection Room 1\They finally let us go...\My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel?\Why are you topless? response:	What the hell's with those guys?
context: Reflection Room 1\They finally let us go...\My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel?\Why are you topless?\What the hell's with those guys? response:	Under First Contact Bridge - Passageway
context: Reflection Room 1\They finally let us go...\My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel?\Why are you topless?\What the hell's with those guys?\Under First Contact Bridge - Passageway response:	Next time they come we'll pay them back like we usually do to Angel.
context: Reflection Room 1\They finally let us go...\My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel?\Why are you topless?\What the hell's with those guys?\Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel. response:	They're ordinary students so we can't.
context: They finally let us go...\My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel?\Why are you topless?\What the hell's with those guys?\Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't. response:	Though it's pretty weird.
context: My neck hurts after sleeping on that hard floor for so long.\Weren't we supposed to have the advantage after taking down Angel?\Why are you topless?\What the hell's with those guys?\Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't.\Though it's pretty weird. response:	What is?
context: Weren't we supposed to have the advantage after taking down Angel?\Why are you topless?\What the hell's with those guys?\Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't.\Though it's pretty weird.\What is? response:	Ordinary students have never sent us to the reflection room before.
context: Why are you topless?\What the hell's with those guys?\Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't.\Though it's pretty weird.\What is?\Ordinary students have never sent us to the reflection room before. response:	You mean Angel was keeping them in check?
context: What the hell's with those guys?\Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't.\Though it's pretty weird.\What is?\Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check? response:	Maybe.
context: Under First Contact Bridge - Passageway\Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't.\Though it's pretty weird.\What is?\Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check?\Maybe. response:	NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.
context: Next time they come we'll pay them back like we usually do to Angel.\They're ordinary students so we can't.\Though it's pretty weird.\What is?\Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check?\Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human. response:	No matter how weird someone acts, they're supposed to think it's normal.
context: They're ordinary students so we can't.\Though it's pretty weird.\What is?\Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check?\Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal. response:	So basically,
context: Though it's pretty weird.\What is?\Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check?\Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal.\So basically, response:	you're saying this shows they can go farther than that?
context: What is?\Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check?\Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal.\So basically,\you're saying this shows they can go farther than that? response:	That would seem to be how the acting student council president is reacting.
context: Ordinary students have never sent us to the reflection room before.\You mean Angel was keeping them in check?\Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal.\So basically,\you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting. response:	He's more bothersome than Angel. She never turned the tables on us.
context: You mean Angel was keeping them in check?\Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal.\So basically,\you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us. response:	What should we do, Yurippe?
context: Maybe.\NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal.\So basically,\you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe? response:	Let's take him down with sex appeal!
context: NPC actions are generally supposed to be models for how we should act, but their emotions are exactly like any normal human.\No matter how weird someone acts, they're supposed to think it's normal.\So basically,\you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe?\Let's take him down with sex appeal! response:	What kind of sex appeal do you have?
context: No matter how weird someone acts, they're supposed to think it's normal.\So basically,\you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe?\Let's take him down with sex appeal!\What kind of sex appeal do you have? response:	What was that? Have you seen these?
context: So basically,\you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe?\Let's take him down with sex appeal!\What kind of sex appeal do you have?\What was that? Have you seen these? response:	I can tell just from your shirt.
context: you're saying this shows they can go farther than that?\That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe?\Let's take him down with sex appeal!\What kind of sex appeal do you have?\What was that? Have you seen these?\I can tell just from your shirt. response:	You think that's the same as touching them?
context: That would seem to be how the acting student council president is reacting.\He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe?\Let's take him down with sex appeal!\What kind of sex appeal do you have?\What was that? Have you seen these?\I can tell just from your shirt.\You think that's the same as touching them? response:	Their absolutely exquisite form?
context: He's more bothersome than Angel. She never turned the tables on us.\What should we do, Yurippe?\Let's take him down with sex appeal!\What kind of sex appeal do you have?\What was that? Have you seen these?\I can tell just from your shirt.\You think that's the same as touching them?\Their absolutely exquisite form? response:	How the hell should I know?!
context: What should we do, Yurippe?\Let's take him down with sex appeal!\What kind of sex appeal do you have?\What was that? Have you seen these?\I can tell just from your shirt.\You think that's the same as touching them?\Their absolutely exquisite form?\How the hell should I know?! response:	How shallow - minded.
