context: A healthy soul... response:	Are you alright, Sid-kun?
context: A healthy soul...\Are you alright, Sid-kun? response:	Yes, I'm sorry...
context: A healthy soul...\Are you alright, Sid-kun?\Yes, I'm sorry... response:	I intended to save Shinigami-sama, too, if possible. However...
context: A healthy soul...\Are you alright, Sid-kun?\Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However... response:	No, this is a mere excuse... Please forget what I said.
context: A healthy soul...\Are you alright, Sid-kun?\Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said. response:	Not at all...
context: A healthy soul...\Are you alright, Sid-kun?\Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said.\Not at all... response:	You made the best choice under those circumstances.
context: A healthy soul...\Are you alright, Sid-kun?\Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said.\Not at all...\You made the best choice under those circumstances. response:	Nevertheless...
context: A healthy soul...\Are you alright, Sid-kun?\Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said.\Not at all...\You made the best choice under those circumstances.\Nevertheless... response:	Medusa-sensei...
context: Are you alright, Sid-kun?\Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said.\Not at all...\You made the best choice under those circumstances.\Nevertheless...\Medusa-sensei... response:	She was a witch, huh?
context: Yes, I'm sorry...\I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said.\Not at all...\You made the best choice under those circumstances.\Nevertheless...\Medusa-sensei...\She was a witch, huh? response:	Soul Protect...
context: I intended to save Shinigami-sama, too, if possible. However...\No, this is a mere excuse... Please forget what I said.\Not at all...\You made the best choice under those circumstances.\Nevertheless...\Medusa-sensei...\She was a witch, huh?\Soul Protect... response:	I guess it all comes down to it...
context: No, this is a mere excuse... Please forget what I said.\Not at all...\You made the best choice under those circumstances.\Nevertheless...\Medusa-sensei...\She was a witch, huh?\Soul Protect...\I guess it all comes down to it... response:	Shinigami-sama.
context: Not at all...\You made the best choice under those circumstances.\Nevertheless...\Medusa-sensei...\She was a witch, huh?\Soul Protect...\I guess it all comes down to it...\Shinigami-sama. response:	Is there no technique that we can use against Soul Protect?
context: You made the best choice under those circumstances.\Nevertheless...\Medusa-sensei...\She was a witch, huh?\Soul Protect...\I guess it all comes down to it...\Shinigami-sama.\Is there no technique that we can use against Soul Protect? response:	Kilik-kun...
context: Nevertheless...\Medusa-sensei...\She was a witch, huh?\Soul Protect...\I guess it all comes down to it...\Shinigami-sama.\Is there no technique that we can use against Soul Protect?\Kilik-kun... response:	If Soul Protect is used, we're helpless...
context: Medusa-sensei...\She was a witch, huh?\Soul Protect...\I guess it all comes down to it...\Shinigami-sama.\Is there no technique that we can use against Soul Protect?\Kilik-kun...\If Soul Protect is used, we're helpless... response:	If Soul Protect is used, we're helpless...
context: She was a witch, huh?\Soul Protect...\I guess it all comes down to it...\Shinigami-sama.\Is there no technique that we can use against Soul Protect?\Kilik-kun...\If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless... response:	Our battle with the witches has lasted for many centuries.
context: Soul Protect...\I guess it all comes down to it...\Shinigami-sama.\Is there no technique that we can use against Soul Protect?\Kilik-kun...\If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries. response:	When the witches create a new spell...
context: I guess it all comes down to it...\Shinigami-sama.\Is there no technique that we can use against Soul Protect?\Kilik-kun...\If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries.\When the witches create a new spell... response:	And in order to track down the witches, Technicians with soul sensing techniques were born.
context: Shinigami-sama.\Is there no technique that we can use against Soul Protect?\Kilik-kun...\If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries.\When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born. response:	And in order to prevent that they created Soul Protect.
context: Is there no technique that we can use against Soul Protect?\Kilik-kun...\If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries.\When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect. response:	Then we must find another technique.
context: Kilik-kun...\If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries.\When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect.\Then we must find another technique. response:	So, what's left is to turn into a Kishin.
context: If Soul Protect is used, we're helpless...\If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries.\When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect.\Then we must find another technique.\So, what's left is to turn into a Kishin. response:	Turn into a Kishin?
context: If Soul Protect is used, we're helpless...\Our battle with the witches has lasted for many centuries.\When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect.\Then we must find another technique.\So, what's left is to turn into a Kishin.\Turn into a Kishin? response:	Now that it's come to this I guess there's no point in hiding it...
context: Our battle with the witches has lasted for many centuries.\When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect.\Then we must find another technique.\So, what's left is to turn into a Kishin.\Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it... response:	If we cover everything that reeks, we won't know what's inside.
context: When the witches create a new spell...\And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect.\Then we must find another technique.\So, what's left is to turn into a Kishin.\Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside. response:	There comes a time when we must remove the lid, and tell the kids what's inside.
context: And in order to track down the witches, Technicians with soul sensing techniques were born.\And in order to prevent that they created Soul Protect.\Then we must find another technique.\So, what's left is to turn into a Kishin.\Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside. response:	Alright...
context: And in order to prevent that they created Soul Protect.\Then we must find another technique.\So, what's left is to turn into a Kishin.\Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside.\Alright... response:	Everyone gather around!
context: Then we must find another technique.\So, what's left is to turn into a Kishin.\Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside.\Alright...\Everyone gather around! response:	There's a Kishin below Shibusen!
context: So, what's left is to turn into a Kishin.\Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside.\Alright...\Everyone gather around!\There's a Kishin below Shibusen! response:	Err... Don't you think that's a bit too straight forward?
