context: My name is Furuya Hotaru. response:	Today is my first day of high school.
context: My name is Furuya Hotaru.\Today is my first day of high school. response:	I have an awesome brother.
context: My name is Furuya Hotaru.\Today is my first day of high school.\I have an awesome brother. response:	My Brother's Girlfriend
context: My name is Furuya Hotaru.\Today is my first day of high school.\I have an awesome brother.\My Brother's Girlfriend response:	He's the class representative. His job is to take care of his whole class.
context: My name is Furuya Hotaru.\Today is my first day of high school.\I have an awesome brother.\My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class. response:	It's too bad he's so serious that he can't get a girlfriend.
context: My name is Furuya Hotaru.\Today is my first day of high school.\I have an awesome brother.\My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend. response:	Onii-chan!
context: My name is Furuya Hotaru.\Today is my first day of high school.\I have an awesome brother.\My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend.\Onii-chan! response:	Furuya-kun!
context: My name is Furuya Hotaru.\Today is my first day of high school.\I have an awesome brother.\My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend.\Onii-chan!\Furuya-kun! response:	We're in the same class again.
context: Today is my first day of high school.\I have an awesome brother.\My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend.\Onii-chan!\Furuya-kun!\We're in the same class again. response:	M-Minagawa-san. Get off me.
context: I have an awesome brother.\My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend.\Onii-chan!\Furuya-kun!\We're in the same class again.\M-Minagawa-san. Get off me. response:	Onii-chan.
context: My Brother's Girlfriend\He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend.\Onii-chan!\Furuya-kun!\We're in the same class again.\M-Minagawa-san. Get off me.\Onii-chan. response:	Ho-Hotaru?
context: He's the class representative. His job is to take care of his whole class.\It's too bad he's so serious that he can't get a girlfriend.\Onii-chan!\Furuya-kun!\We're in the same class again.\M-Minagawa-san. Get off me.\Onii-chan.\Ho-Hotaru? response:	Your sister?
context: It's too bad he's so serious that he can't get a girlfriend.\Onii-chan!\Furuya-kun!\We're in the same class again.\M-Minagawa-san. Get off me.\Onii-chan.\Ho-Hotaru?\Your sister? response:	Yeah.
context: Onii-chan!\Furuya-kun!\We're in the same class again.\M-Minagawa-san. Get off me.\Onii-chan.\Ho-Hotaru?\Your sister?\Yeah. response:	Th-Thanks for taking care of my brother.
context: Furuya-kun!\We're in the same class again.\M-Minagawa-san. Get off me.\Onii-chan.\Ho-Hotaru?\Your sister?\Yeah.\Th-Thanks for taking care of my brother. response:	My, you're so polite. Thank you.
context: We're in the same class again.\M-Minagawa-san. Get off me.\Onii-chan.\Ho-Hotaru?\Your sister?\Yeah.\Th-Thanks for taking care of my brother.\My, you're so polite. Thank you. response:	I'm just being polite.
context: M-Minagawa-san. Get off me.\Onii-chan.\Ho-Hotaru?\Your sister?\Yeah.\Th-Thanks for taking care of my brother.\My, you're so polite. Thank you.\I'm just being polite. response:	Onii-chan, who is this?
context: Onii-chan.\Ho-Hotaru?\Your sister?\Yeah.\Th-Thanks for taking care of my brother.\My, you're so polite. Thank you.\I'm just being polite.\Onii-chan, who is this? response:	Is she just a classmate?
context: Ho-Hotaru?\Your sister?\Yeah.\Th-Thanks for taking care of my brother.\My, you're so polite. Thank you.\I'm just being polite.\Onii-chan, who is this?\Is she just a classmate? response:	Are you close?
context: Your sister?\Yeah.\Th-Thanks for taking care of my brother.\My, you're so polite. Thank you.\I'm just being polite.\Onii-chan, who is this?\Is she just a classmate?\Are you close? response:	Do you have more girl friends?
context: Yeah.\Th-Thanks for taking care of my brother.\My, you're so polite. Thank you.\I'm just being polite.\Onii-chan, who is this?\Is she just a classmate?\Are you close?\Do you have more girl friends? response:	Stop it, Hotaru, that's rude.
context: Th-Thanks for taking care of my brother.\My, you're so polite. Thank you.\I'm just being polite.\Onii-chan, who is this?\Is she just a classmate?\Are you close?\Do you have more girl friends?\Stop it, Hotaru, that's rude. response:	You love your brother, huh?
context: My, you're so polite. Thank you.\I'm just being polite.\Onii-chan, who is this?\Is she just a classmate?\Are you close?\Do you have more girl friends?\Stop it, Hotaru, that's rude.\You love your brother, huh? response:	Huh? The hell are you talking about?
