context: My Lord, Xuan Nu fled to Yingzhou yesterday. response:	She has a mortal with her.
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her. response:	We staked out the area.
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her.\We staked out the area. response:	Once Xuan Nu poses a threat to the princess, we'll take her down.
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her.\We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down. response:	What are they doing in Yingzhou?
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her.\We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou? response:	Are they here for the divine fungal grass?
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her.\We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou?\Are they here for the divine fungal grass? response:	My Lord, there is another matter.
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her.\We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou?\Are they here for the divine fungal grass?\My Lord, there is another matter. response:	Speak.
context: My Lord, Xuan Nu fled to Yingzhou yesterday.\She has a mortal with her.\We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou?\Are they here for the divine fungal grass?\My Lord, there is another matter.\Speak. response:	Xuan Nu has the little prince in her arms.
context: She has a mortal with her.\We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou?\Are they here for the divine fungal grass?\My Lord, there is another matter.\Speak.\Xuan Nu has the little prince in her arms. response:	If we were to get into a fight we might hurt the little prince.
context: We staked out the area.\Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou?\Are they here for the divine fungal grass?\My Lord, there is another matter.\Speak.\Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince. response:	Therefore, we didn't dare to get too close to them.
context: Once Xuan Nu poses a threat to the princess, we'll take her down.\What are they doing in Yingzhou?\Are they here for the divine fungal grass?\My Lord, there is another matter.\Speak.\Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them. response:	I understand. We'll put the little prince's safety first.
context: What are they doing in Yingzhou?\Are they here for the divine fungal grass?\My Lord, there is another matter.\Speak.\Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first. response:	You're wrong.
context: Are they here for the divine fungal grass?\My Lord, there is another matter.\Speak.\Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first.\You're wrong. response:	There is no little prince.
context: My Lord, there is another matter.\Speak.\Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first.\You're wrong.\There is no little prince. response:	My child was dead at birth.
context: Speak.\Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first.\You're wrong.\There is no little prince.\My child was dead at birth. response:	I understand.
context: Xuan Nu has the little prince in her arms.\If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first.\You're wrong.\There is no little prince.\My child was dead at birth.\I understand. response:	You are dismissed.
context: If we were to get into a fight we might hurt the little prince.\Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first.\You're wrong.\There is no little prince.\My child was dead at birth.\I understand.\You are dismissed. response:	Yes.
context: Therefore, we didn't dare to get too close to them.\I understand. We'll put the little prince's safety first.\You're wrong.\There is no little prince.\My child was dead at birth.\I understand.\You are dismissed.\Yes. response:	Xuan Nu, you've deceived me for 70,000 years
context: I understand. We'll put the little prince's safety first.\You're wrong.\There is no little prince.\My child was dead at birth.\I understand.\You are dismissed.\Yes.\Xuan Nu, you've deceived me for 70,000 years response:	why would you keep holding on to that child?
context: You're wrong.\There is no little prince.\My child was dead at birth.\I understand.\You are dismissed.\Yes.\Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child? response:	I can't figure you out.
context: There is no little prince.\My child was dead at birth.\I understand.\You are dismissed.\Yes.\Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child?\I can't figure you out. response:	Do you also think that I'm crazy for carrying a sick child around all day?
context: My child was dead at birth.\I understand.\You are dismissed.\Yes.\Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child?\I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day? response:	No.
context: I understand.\You are dismissed.\Yes.\Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child?\I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day?\No. response:	Grand Ziming Palace is a cursed place.
context: You are dismissed.\Yes.\Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child?\I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day?\No.\Grand Ziming Palace is a cursed place. response:	It's filled with hatred and desire.
context: Yes.\Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child?\I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day?\No.\Grand Ziming Palace is a cursed place.\It's filled with hatred and desire. response:	If anyone stays there...
context: Xuan Nu, you've deceived me for 70,000 years\why would you keep holding on to that child?\I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day?\No.\Grand Ziming Palace is a cursed place.\It's filled with hatred and desire.\If anyone stays there... response:	they will be forced to do all sorts of harm to others.
