context: Why are you going through Reiko's belongings? response:	Looking for something?
context: Why are you going through Reiko's belongings?\Looking for something? response:	No, not really.
context: Why are you going through Reiko's belongings?\Looking for something?\No, not really. response:	Just looking.
context: Why are you going through Reiko's belongings?\Looking for something?\No, not really.\Just looking. response:	Just looking?
context: Why are you going through Reiko's belongings?\Looking for something?\No, not really.\Just looking.\Just looking? response:	Like always, I just don't get you.
context: Why are you going through Reiko's belongings?\Looking for something?\No, not really.\Just looking.\Just looking?\Like always, I just don't get you. response:	You've got some on you.
context: Why are you going through Reiko's belongings?\Looking for something?\No, not really.\Just looking.\Just looking?\Like always, I just don't get you.\You've got some on you. response:	Seeds.
context: Why are you going through Reiko's belongings?\Looking for something?\No, not really.\Just looking.\Just looking?\Like always, I just don't get you.\You've got some on you.\Seeds. response:	On the sides of your mouth.
context: Looking for something?\No, not really.\Just looking.\Just looking?\Like always, I just don't get you.\You've got some on you.\Seeds.\On the sides of your mouth. response:	Two of them.
context: No, not really.\Just looking.\Just looking?\Like always, I just don't get you.\You've got some on you.\Seeds.\On the sides of your mouth.\Two of them. response:	Don't worry about them, they're just there.
context: Just looking.\Just looking?\Like always, I just don't get you.\You've got some on you.\Seeds.\On the sides of your mouth.\Two of them.\Don't worry about them, they're just there. response:	I don't get you.
context: Just looking?\Like always, I just don't get you.\You've got some on you.\Seeds.\On the sides of your mouth.\Two of them.\Don't worry about them, they're just there.\I don't get you. response:	When I return the names back to the Youkai,
context: Like always, I just don't get you.\You've got some on you.\Seeds.\On the sides of your mouth.\Two of them.\Don't worry about them, they're just there.\I don't get you.\When I return the names back to the Youkai, response:	Reiko-san's memories become my own thoughts,
context: You've got some on you.\Seeds.\On the sides of your mouth.\Two of them.\Don't worry about them, they're just there.\I don't get you.\When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts, response:	and flow into me.
context: Seeds.\On the sides of your mouth.\Two of them.\Don't worry about them, they're just there.\I don't get you.\When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts,\and flow into me. response:	And little by little, Reiko-san...
context: On the sides of your mouth.\Two of them.\Don't worry about them, they're just there.\I don't get you.\When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts,\and flow into me.\And little by little, Reiko-san... response:	It's a book borrowed from the library.
context: Two of them.\Don't worry about them, they're just there.\I don't get you.\When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts,\and flow into me.\And little by little, Reiko-san...\It's a book borrowed from the library. response:	It looks like she forgot to return it, though.
context: Don't worry about them, they're just there.\I don't get you.\When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts,\and flow into me.\And little by little, Reiko-san...\It's a book borrowed from the library.\It looks like she forgot to return it, though. response:	A ticket?
context: I don't get you.\When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts,\and flow into me.\And little by little, Reiko-san...\It's a book borrowed from the library.\It looks like she forgot to return it, though.\A ticket? response:	Natsume!
context: When I return the names back to the Youkai,\Reiko-san's memories become my own thoughts,\and flow into me.\And little by little, Reiko-san...\It's a book borrowed from the library.\It looks like she forgot to return it, though.\A ticket?\Natsume! response:	Listen, Natsume!
context: Reiko-san's memories become my own thoughts,\and flow into me.\And little by little, Reiko-san...\It's a book borrowed from the library.\It looks like she forgot to return it, though.\A ticket?\Natsume!\Listen, Natsume! response:	Who do you think is wrong?
context: and flow into me.\And little by little, Reiko-san...\It's a book borrowed from the library.\It looks like she forgot to return it, though.\A ticket?\Natsume!\Listen, Natsume!\Who do you think is wrong? response:	This guy says that he eats the kitsune first in kitsune udon!
context: And little by little, Reiko-san...\It's a book borrowed from the library.\It looks like she forgot to return it, though.\A ticket?\Natsume!\Listen, Natsume!\Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon! response:	Can you believe that?
context: It's a book borrowed from the library.\It looks like she forgot to return it, though.\A ticket?\Natsume!\Listen, Natsume!\Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon!\Can you believe that? response:	Of course you should eat it first!
context: It looks like she forgot to return it, though.\A ticket?\Natsume!\Listen, Natsume!\Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon!\Can you believe that?\Of course you should eat it first! response:	What are you talking about?
context: A ticket?\Natsume!\Listen, Natsume!\Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon!\Can you believe that?\Of course you should eat it first!\What are you talking about? response:	The kitsune must be put at the bottom of the soup and eaten last!
context: Natsume!\Listen, Natsume!\Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon!\Can you believe that?\Of course you should eat it first!\What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last! response:	Isn't that right, Natsume?
context: Listen, Natsume!\Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon!\Can you believe that?\Of course you should eat it first!\What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume? response:	No! You should eat the kitsune before it absorbs the soup!
context: Who do you think is wrong?\This guy says that he eats the kitsune first in kitsune udon!\Can you believe that?\Of course you should eat it first!\What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup! response:	Right, Natsume?
