context: The Lord of Numinous Treasures' Heavens Spring response:	can heal a common wound in three to five days.
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days. response:	However, you've been here for days
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days.\However, you've been here for days response:	and you don't seem any better.
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days.\However, you've been here for days\and you don't seem any better. response:	It seems the Soul Slayer enshrined in the Mermaid Clan's
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days.\However, you've been here for days\and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's response:	Temple of Witchcraft is really powerful.
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days.\However, you've been here for days\and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful. response:	You've found the most honest maid to serve her.
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days.\However, you've been here for days\and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her. response:	You haven't been to the Hall of Beautiful Youth for days.
context: The Lord of Numinous Treasures' Heavens Spring\can heal a common wound in three to five days.\However, you've been here for days\and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days. response:	It's obvious that you're one affectionate man.
context: can heal a common wound in three to five days.\However, you've been here for days\and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man. response:	Yet you have to pretend otherwise.
context: However, you've been here for days\and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man.\Yet you have to pretend otherwise. response:	That's quite a torment as well.
context: and you don't seem any better.\It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man.\Yet you have to pretend otherwise.\That's quite a torment as well. response:	Uncle Lian Song.
context: It seems the Soul Slayer enshrined in the Mermaid Clan's\Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man.\Yet you have to pretend otherwise.\That's quite a torment as well.\Uncle Lian Song. response:	I heard that during our battle with the Mermaid Clan
context: Temple of Witchcraft is really powerful.\You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man.\Yet you have to pretend otherwise.\That's quite a torment as well.\Uncle Lian Song.\I heard that during our battle with the Mermaid Clan response:	Li Yuan also escaped from Arctic Lands.
context: You've found the most honest maid to serve her.\You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man.\Yet you have to pretend otherwise.\That's quite a torment as well.\Uncle Lian Song.\I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands. response:	Do you still remember anything about the Crown Prince of the Ghost Tribe?
context: You haven't been to the Hall of Beautiful Youth for days.\It's obvious that you're one affectionate man.\Yet you have to pretend otherwise.\That's quite a torment as well.\Uncle Lian Song.\I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe? response:	Li Yuan?
context: It's obvious that you're one affectionate man.\Yet you have to pretend otherwise.\That's quite a torment as well.\Uncle Lian Song.\I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan? response:	I met him 70,000 years ago.
context: Yet you have to pretend otherwise.\That's quite a torment as well.\Uncle Lian Song.\I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan?\I met him 70,000 years ago. response:	He might be ruthless, but he's not good enough to be the Ghost Lord.
context: That's quite a torment as well.\Uncle Lian Song.\I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan?\I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord. response:	But I've heard that the current Ghost Lord
context: Uncle Lian Song.\I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan?\I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord response:	Li Jing, fools around all the time.
