context: The girl was sent to an orphanage before she was one year old response:	because of her superhuman intelligence.
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence. response:	It was soon after she'd learned to speak.
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence.\It was soon after she'd learned to speak. response:	There, she learned about games.
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence.\It was soon after she'd learned to speak.\There, she learned about games. response:	She was made to play many games they called intelligence tests,
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence.\It was soon after she'd learned to speak.\There, she learned about games.\She was made to play many games they called intelligence tests, response:	but they were so boring that
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence.\It was soon after she'd learned to speak.\There, she learned about games.\She was made to play many games they called intelligence tests,\but they were so boring that response:	she didn't enjoy them, no matter who she played with.
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence.\It was soon after she'd learned to speak.\There, she learned about games.\She was made to play many games they called intelligence tests,\but they were so boring that\she didn't enjoy them, no matter who she played with. response:	After two years had passed,
context: The girl was sent to an orphanage before she was one year old\because of her superhuman intelligence.\It was soon after she'd learned to speak.\There, she learned about games.\She was made to play many games they called intelligence tests,\but they were so boring that\she didn't enjoy them, no matter who she played with.\After two years had passed, response:	she was reunited with a woman who seemed to be her mother,
context: because of her superhuman intelligence.\It was soon after she'd learned to speak.\There, she learned about games.\She was made to play many games they called intelligence tests,\but they were so boring that\she didn't enjoy them, no matter who she played with.\After two years had passed,\she was reunited with a woman who seemed to be her mother, response:	and a boy who was seven years older than her.
context: It was soon after she'd learned to speak.\There, she learned about games.\She was made to play many games they called intelligence tests,\but they were so boring that\she didn't enjoy them, no matter who she played with.\After two years had passed,\she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her. response:	He told the adults whatever they wanted to hear,
context: There, she learned about games.\She was made to play many games they called intelligence tests,\but they were so boring that\she didn't enjoy them, no matter who she played with.\After two years had passed,\she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her.\He told the adults whatever they wanted to hear, response:	and smiled at everyone with a blank, empty smile.
context: She was made to play many games they called intelligence tests,\but they were so boring that\she didn't enjoy them, no matter who she played with.\After two years had passed,\she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her.\He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile. response:	The girl said to him
context: but they were so boring that\she didn't enjoy them, no matter who she played with.\After two years had passed,\she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her.\He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile.\The girl said to him response:	the first words she'd spoken in a long, long time.
context: she didn't enjoy them, no matter who she played with.\After two years had passed,\she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her.\He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile.\The girl said to him\the first words she'd spoken in a long, long time. response:	You really are empty.
context: After two years had passed,\she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her.\He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile.\The girl said to him\the first words she'd spoken in a long, long time.\You really are empty. response:	Let's play a game.
context: she was reunited with a woman who seemed to be her mother,\and a boy who was seven years older than her.\He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile.\The girl said to him\the first words she'd spoken in a long, long time.\You really are empty.\Let's play a game. response:	Who is that?
context: and a boy who was seven years older than her.\He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile.\The girl said to him\the first words she'd spoken in a long, long time.\You really are empty.\Let's play a game.\Who is that? response:	Blank...
context: He told the adults whatever they wanted to hear,\and smiled at everyone with a blank, empty smile.\The girl said to him\the first words she'd spoken in a long, long time.\You really are empty.\Let's play a game.\Who is that?\Blank... response:	Blank doesn't...
context: and smiled at everyone with a blank, empty smile.\The girl said to him\the first words she'd spoken in a long, long time.\You really are empty.\Let's play a game.\Who is that?\Blank...\Blank doesn't... response:	Blank doesn't...
context: The girl said to him\the first words she'd spoken in a long, long time.\You really are empty.\Let's play a game.\Who is that?\Blank...\Blank doesn't...\Blank doesn't... response:	You must've had a bad dream.
context: the first words she'd spoken in a long, long time.\You really are empty.\Let's play a game.\Who is that?\Blank...\Blank doesn't...\Blank doesn't...\You must've had a bad dream. response:	I'll bring you some warm milk.
context: You really are empty.\Let's play a game.\Who is that?\Blank...\Blank doesn't...\Blank doesn't...\You must've had a bad dream.\I'll bring you some warm milk. response:	No! No!
context: Let's play a game.\Who is that?\Blank...\Blank doesn't...\Blank doesn't...\You must've had a bad dream.\I'll bring you some warm milk.\No! No! response:	He was with me.
context: Who is that?\Blank...\Blank doesn't...\Blank doesn't...\You must've had a bad dream.\I'll bring you some warm milk.\No! No!\He was with me. response:	He was always with me.
