context: I told you not to piss me off!! response:	This way?
context: I told you not to piss me off!!\This way? response:	No!
context: I told you not to piss me off!!\This way?\No! response:	Damn machines!
context: I told you not to piss me off!!\This way?\No!\Damn machines! response:	An electromagnetic field?
context: I told you not to piss me off!!\This way?\No!\Damn machines!\An electromagnetic field? response:	So I was caught...
context: I told you not to piss me off!!\This way?\No!\Damn machines!\An electromagnetic field?\So I was caught... response:	Eat this!
context: I told you not to piss me off!!\This way?\No!\Damn machines!\An electromagnetic field?\So I was caught...\Eat this! response:	I better get going.
context: I told you not to piss me off!!\This way?\No!\Damn machines!\An electromagnetic field?\So I was caught...\Eat this!\I better get going. response:	Someone is coming...
context: This way?\No!\Damn machines!\An electromagnetic field?\So I was caught...\Eat this!\I better get going.\Someone is coming... response:	Damn!
context: No!\Damn machines!\An electromagnetic field?\So I was caught...\Eat this!\I better get going.\Someone is coming...\Damn! response:	Damn!
context: Damn machines!\An electromagnetic field?\So I was caught...\Eat this!\I better get going.\Someone is coming...\Damn!\Damn! response:	You...
context: An electromagnetic field?\So I was caught...\Eat this!\I better get going.\Someone is coming...\Damn!\Damn!\You... response:	The butcher?
context: So I was caught...\Eat this!\I better get going.\Someone is coming...\Damn!\Damn!\You...\The butcher? response:	You're beaten up bad.
context: Eat this!\I better get going.\Someone is coming...\Damn!\Damn!\You...\The butcher?\You're beaten up bad. response:	I came to rescue you.
context: I better get going.\Someone is coming...\Damn!\Damn!\You...\The butcher?\You're beaten up bad.\I came to rescue you. response:	Are you all right?
context: Someone is coming...\Damn!\Damn!\You...\The butcher?\You're beaten up bad.\I came to rescue you.\Are you all right? response:	Are you a member of Eleven?
context: Damn!\Damn!\You...\The butcher?\You're beaten up bad.\I came to rescue you.\Are you all right?\Are you a member of Eleven? response:	Indeed.
context: Damn!\You...\The butcher?\You're beaten up bad.\I came to rescue you.\Are you all right?\Are you a member of Eleven?\Indeed. response:	Here they come.
context: You...\The butcher?\You're beaten up bad.\I came to rescue you.\Are you all right?\Are you a member of Eleven?\Indeed.\Here they come. response:	Let's get out of here quick.
context: The butcher?\You're beaten up bad.\I came to rescue you.\Are you all right?\Are you a member of Eleven?\Indeed.\Here they come.\Let's get out of here quick. response:	I'll stop them here. Go!
context: You're beaten up bad.\I came to rescue you.\Are you all right?\Are you a member of Eleven?\Indeed.\Here they come.\Let's get out of here quick.\I'll stop them here. Go! response:	Right now!
context: I came to rescue you.\Are you all right?\Are you a member of Eleven?\Indeed.\Here they come.\Let's get out of here quick.\I'll stop them here. Go!\Right now! response:	I am invincible! Don't worry!
context: Are you all right?\Are you a member of Eleven?\Indeed.\Here they come.\Let's get out of here quick.\I'll stop them here. Go!\Right now!\I am invincible! Don't worry! response:	Butcher!
context: Are you a member of Eleven?\Indeed.\Here they come.\Let's get out of here quick.\I'll stop them here. Go!\Right now!\I am invincible! Don't worry!\Butcher! response:	My name is Sebastian!
context: Indeed.\Here they come.\Let's get out of here quick.\I'll stop them here. Go!\Right now!\I am invincible! Don't worry!\Butcher!\My name is Sebastian! response:	Sebastian!
context: Here they come.\Let's get out of here quick.\I'll stop them here. Go!\Right now!\I am invincible! Don't worry!\Butcher!\My name is Sebastian!\Sebastian! response:	I am immortal! Oopsy-daisy.
context: Let's get out of here quick.\I'll stop them here. Go!\Right now!\I am invincible! Don't worry!\Butcher!\My name is Sebastian!\Sebastian!\I am immortal! Oopsy-daisy. response:	Are they all gone? Okay!
context: I'll stop them here. Go!\Right now!\I am invincible! Don't worry!\Butcher!\My name is Sebastian!\Sebastian!\I am immortal! Oopsy-daisy.\Are they all gone? Okay! response:	I am a support unit for Eleven.
