context: I hope we can all be happy like this forever. response:	I'm coming!
context: I hope we can all be happy like this forever.\I'm coming! response:	I knew I wore this for a reason!
context: I hope we can all be happy like this forever.\I'm coming!\I knew I wore this for a reason! response:	Kamokawa Girl's High School
context: I hope we can all be happy like this forever.\I'm coming!\I knew I wore this for a reason!\Kamokawa Girl's High School response:	Just what is the meaning of this?
context: I hope we can all be happy like this forever.\I'm coming!\I knew I wore this for a reason!\Kamokawa Girl's High School\Just what is the meaning of this? response:	On my way to school, I came across a girl drowning!
context: I hope we can all be happy like this forever.\I'm coming!\I knew I wore this for a reason!\Kamokawa Girl's High School\Just what is the meaning of this?\On my way to school, I came across a girl drowning! response:	Why are you dressed like this?!
context: I hope we can all be happy like this forever.\I'm coming!\I knew I wore this for a reason!\Kamokawa Girl's High School\Just what is the meaning of this?\On my way to school, I came across a girl drowning!\Why are you dressed like this?! response:	I told you! When I got back to shore, my whole outfit was missing!
context: I hope we can all be happy like this forever.\I'm coming!\I knew I wore this for a reason!\Kamokawa Girl's High School\Just what is the meaning of this?\On my way to school, I came across a girl drowning!\Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing! response:	Don't worry, though!
context: I'm coming!\I knew I wore this for a reason!\Kamokawa Girl's High School\Just what is the meaning of this?\On my way to school, I came across a girl drowning!\Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though! response:	I always have these, see?
context: I knew I wore this for a reason!\Kamokawa Girl's High School\Just what is the meaning of this?\On my way to school, I came across a girl drowning!\Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though!\I always have these, see? response:	Then put them on!
context: Kamokawa Girl's High School\Just what is the meaning of this?\On my way to school, I came across a girl drowning!\Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though!\I always have these, see?\Then put them on! response:	Okay!
context: Just what is the meaning of this?\On my way to school, I came across a girl drowning!\Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though!\I always have these, see?\Then put them on!\Okay! response:	Kyono!
context: On my way to school, I came across a girl drowning!\Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though!\I always have these, see?\Then put them on!\Okay!\Kyono! response:	The paramedics called. They say she's fine now.
context: Why are you dressed like this?!\I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though!\I always have these, see?\Then put them on!\Okay!\Kyono!\The paramedics called. They say she's fine now. response:	Perfect!
