context: Water collects into stagnant pools. response:	I've always loved watching it spill out all at once.
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once. response:	Breaking free, liberated, rushing out.
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out. response:	The energy stored up during its stagnation bursts forth.
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth. response:	Everything springs into action!
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth.\Everything springs into action! response:	Tamaki Mari-san, it's already noon.
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth.\Everything springs into action!\Tamaki Mari-san, it's already noon. response:	What was it?
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth.\Everything springs into action!\Tamaki Mari-san, it's already noon.\What was it? response:	I dreamed you put a wet towel on my face in an attempt to kill me, Mom.
context: Water collects into stagnant pools.\I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth.\Everything springs into action!\Tamaki Mari-san, it's already noon.\What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom. response:	That does sound scary...
context: I've always loved watching it spill out all at once.\Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth.\Everything springs into action!\Tamaki Mari-san, it's already noon.\What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary... response:	I told you yesterday to tidy up your room.
context: Breaking free, liberated, rushing out.\The energy stored up during its stagnation bursts forth.\Everything springs into action!\Tamaki Mari-san, it's already noon.\What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary...\I told you yesterday to tidy up your room. response:	Do not open without permission! -Rin
context: The energy stored up during its stagnation bursts forth.\Everything springs into action!\Tamaki Mari-san, it's already noon.\What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary...\I told you yesterday to tidy up your room.\Do not open without permission! -Rin response:	Wait!
context: Everything springs into action!\Tamaki Mari-san, it's already noon.\What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary...\I told you yesterday to tidy up your room.\Do not open without permission! -Rin\Wait! response:	Ow...
context: Tamaki Mari-san, it's already noon.\What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary...\I told you yesterday to tidy up your room.\Do not open without permission! -Rin\Wait!\Ow... response:	Huh?
context: What was it?\I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary...\I told you yesterday to tidy up your room.\Do not open without permission! -Rin\Wait!\Ow...\Huh? response:	Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan
context: I dreamed you put a wet towel on my face in an attempt to kill me, Mom.\That does sound scary...\I told you yesterday to tidy up your room.\Do not open without permission! -Rin\Wait!\Ow...\Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan response:	Things I want to do in high school.
context: That does sound scary...\I told you yesterday to tidy up your room.\Do not open without permission! -Rin\Wait!\Ow...\Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school. response:	Keep a diary.
context: I told you yesterday to tidy up your room.\Do not open without permission! -Rin\Wait!\Ow...\Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school.\Keep a diary. response:	Skip school just once.
context: Do not open without permission! -Rin\Wait!\Ow...\Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school.\Keep a diary.\Skip school just once. response:	Go on a journey without a plan.
context: Wait!\Ow...\Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school.\Keep a diary.\Skip school just once.\Go on a journey without a plan. response:	Get the most out of youth.
context: Ow...\Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school.\Keep a diary.\Skip school just once.\Go on a journey without a plan.\Get the most out of youth. response:	What are you talking about?
context: Huh?\Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school.\Keep a diary.\Skip school just once.\Go on a journey without a plan.\Get the most out of youth.\What are you talking about? response:	What?
context: Things I want to do in high school Keep a diary Skip school just once Go on a journey without a plan\Things I want to do in high school.\Keep a diary.\Skip school just once.\Go on a journey without a plan.\Get the most out of youth.\What are you talking about?\What? response:	A Place Further Than the Universe
context: Things I want to do in high school.\Keep a diary.\Skip school just once.\Go on a journey without a plan.\Get the most out of youth.\What are you talking about?\What?\A Place Further Than the Universe response:	One Mwillion Yen For Youth
context: Keep a diary.\Skip school just once.\Go on a journey without a plan.\Get the most out of youth.\What are you talking about?\What?\A Place Further Than the Universe\One Mwillion Yen For Youth response:	3 Likes 1 Comment
context: Skip school just once.\Go on a journey without a plan.\Get the most out of youth.\What are you talking about?\What?\A Place Further Than the Universe\One Mwillion Yen For Youth\3 Likes 1 Comment response:	OneMwillionYen Tanuki Youth Antarctica
context: Go on a journey without a plan.\Get the most out of youth.\What are you talking about?\What?\A Place Further Than the Universe\One Mwillion Yen For Youth\3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica response:	So?
context: Get the most out of youth.\What are you talking about?\What?\A Place Further Than the Universe\One Mwillion Yen For Youth\3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica\So? response:	Well, I just realized, I'm in my second year of high school and I haven't done anything!
context: What are you talking about?\What?\A Place Further Than the Universe\One Mwillion Yen For Youth\3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica\So?\Well, I just realized, I'm in my second year of high school and I haven't done anything! response:	You didn't do anything in middle school either, Kimari.
context: What?\A Place Further Than the Universe\One Mwillion Yen For Youth\3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica\So?\Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari. response:	Exactly!
context: A Place Further Than the Universe\One Mwillion Yen For Youth\3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica\So?\Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari.\Exactly! response:	Student Activities
context: One Mwillion Yen For Youth\3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica\So?\Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari.\Exactly!\Student Activities response:	I knew I had to start doing stuff when I got into high school!
context: 3 Likes 1 Comment\OneMwillionYen Tanuki Youth Antarctica\So?\Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari.\Exactly!\Student Activities\I knew I had to start doing stuff when I got into high school! response:	That it isn't good sleepwalking through life...
context: OneMwillionYen Tanuki Youth Antarctica\So?\Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari.\Exactly!\Student Activities\I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life... response:	Youth Doesn't Come to Those Who Wait
context: So?\Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari.\Exactly!\Student Activities\I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait response:	Act Now or Regret Later
context: Well, I just realized, I'm in my second year of high school and I haven't done anything!\You didn't do anything in middle school either, Kimari.\Exactly!\Student Activities\I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait\Act Now or Regret Later response:	Seize the Moment
context: You didn't do anything in middle school either, Kimari.\Exactly!\Student Activities\I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait\Act Now or Regret Later\Seize the Moment response:	Nothing Begins Without One First Step
context: Exactly!\Student Activities\I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait\Act Now or Regret Later\Seize the Moment\Nothing Begins Without One First Step response:	I Want to Protect Your Smile
context: Student Activities\I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait\Act Now or Regret Later\Seize the Moment\Nothing Begins Without One First Step\I Want to Protect Your Smile response:	Pudding is a Drink Class 2-2 Tamaki Mari
context: I knew I had to start doing stuff when I got into high school!\That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait\Act Now or Regret Later\Seize the Moment\Nothing Begins Without One First Step\I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari response:	You Can Do It!
context: That it isn't good sleepwalking through life...\Youth Doesn't Come to Those Who Wait\Act Now or Regret Later\Seize the Moment\Nothing Begins Without One First Step\I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It! response:	Courage, Enthusiasm, Energy
context: Youth Doesn't Come to Those Who Wait\Act Now or Regret Later\Seize the Moment\Nothing Begins Without One First Step\I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It!\Courage, Enthusiasm, Energy response:	I only have so much time, so I'm wondering,
context: Act Now or Regret Later\Seize the Moment\Nothing Begins Without One First Step\I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It!\Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering, response:	where did all that determination go?
context: Seize the Moment\Nothing Begins Without One First Step\I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It!\Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering,\where did all that determination go? response:	So, what are you gonna do?
context: Nothing Begins Without One First Step\I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It!\Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering,\where did all that determination go?\So, what are you gonna do? response:	I decided...
context: I Want to Protect Your Smile\Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It!\Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering,\where did all that determination go?\So, what are you gonna do?\I decided... response:	Get the most out of youth.
context: Pudding is a Drink Class 2-2 Tamaki Mari\You Can Do It!\Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering,\where did all that determination go?\So, what are you gonna do?\I decided...\Get the most out of youth. response:	I'm gonna make it happen!
context: You Can Do It!\Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering,\where did all that determination go?\So, what are you gonna do?\I decided...\Get the most out of youth.\I'm gonna make it happen! response:	Expressions to offer advice
context: Courage, Enthusiasm, Energy\I only have so much time, so I'm wondering,\where did all that determination go?\So, what are you gonna do?\I decided...\Get the most out of youth.\I'm gonna make it happen!\Expressions to offer advice response:	(Why don't you __)
context: I only have so much time, so I'm wondering,\where did all that determination go?\So, what are you gonna do?\I decided...\Get the most out of youth.\I'm gonna make it happen!\Expressions to offer advice\(Why don't you __) response:	Tokyo?
context: where did all that determination go?\So, what are you gonna do?\I decided...\Get the most out of youth.\I'm gonna make it happen!\Expressions to offer advice\(Why don't you __)\Tokyo? response:	Yeah. First I'll go to Tokyo, then I'll start my journey from there.
context: So, what are you gonna do?\I decided...\Get the most out of youth.\I'm gonna make it happen!\Expressions to offer advice\(Why don't you __)\Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there. response:	Drifting from place to place on a whim!
context: I decided...\Get the most out of youth.\I'm gonna make it happen!\Expressions to offer advice\(Why don't you __)\Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim! response:	When?
context: Get the most out of youth.\I'm gonna make it happen!\Expressions to offer advice\(Why don't you __)\Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim!\When? response:	Ouch!
context: I'm gonna make it happen!\Expressions to offer advice\(Why don't you __)\Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim!\When?\Ouch! response:	Enjoy your trip.
context: Expressions to offer advice\(Why don't you __)\Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim!\When?\Ouch!\Enjoy your trip. response:	Tomorrow?
