context: J To catch them is my real test J response:	J To train them is my cause J
context: J To catch them is my real test J\J To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all! It's you and me J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J response:	J I know it's my destiny Pokemon! J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Got to catch'em all A heart so true J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J response:	J Our courage will pull us through J
context: J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J response:	J Gotta catch'em all Gotta catch'em all! Pokemon! J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J response:	Our young hero Ash leads his friends deep into the forest.
context: J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest. response:	Since he doesn't have a compass, Ash must rely purely on his instincts.
context: J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts. response:	And that means trouble.
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble. response:	Don't worry. I'm positive this way will take us back to the path.
context: J Pokemon! Got to catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble.\Don't worry. I'm positive this way will take us back to the path. response:	-Pika. -Positive, huh?
context: J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble.\Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh? response:	That's what you said an hour ago. I'm tired.
context: J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble.\Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh?\That's what you said an hour ago. I'm tired. response:	Phew! I told you to stick to the main road,
context: J Gotta catch'em all Gotta catch'em all! Pokemon! J\Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble.\Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh?\That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road, response:	but you had to take a shortcut.
context: Our young hero Ash leads his friends deep into the forest.\Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble.\Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh?\That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road,\but you had to take a shortcut. response:	I took a shortcut? It was you who said to go this way.
context: Since he doesn't have a compass, Ash must rely purely on his instincts.\And that means trouble.\Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh?\That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road,\but you had to take a shortcut.\I took a shortcut? It was you who said to go this way. response:	Who says we're lost?
