context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	The mushi are restless here.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The mushi are restless here. response:	The Cushion of Grass
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The mushi are restless here.\The Cushion of Grass response:	What are you?
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The mushi are restless here.\The Cushion of Grass\What are you? response:	Are you planning on eating me?
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The mushi are restless here.\The Cushion of Grass\What are you?\Are you planning on eating me? response:	Are you afraid of me?
context: Mushi-Shi\Just for you\Like I used to\The mushi are restless here.\The Cushion of Grass\What are you?\Are you planning on eating me?\Are you afraid of me? response:	Nah, you're just watching me...
context: Just for you\Like I used to\The mushi are restless here.\The Cushion of Grass\What are you?\Are you planning on eating me?\Are you afraid of me?\Nah, you're just watching me... response:	and trying to figure out what I am.
context: Like I used to\The mushi are restless here.\The Cushion of Grass\What are you?\Are you planning on eating me?\Are you afraid of me?\Nah, you're just watching me...\and trying to figure out what I am. response:	Well, looks like you're human after all.
context: The mushi are restless here.\The Cushion of Grass\What are you?\Are you planning on eating me?\Are you afraid of me?\Nah, you're just watching me...\and trying to figure out what I am.\Well, looks like you're human after all. response:	Green eyes...
context: The Cushion of Grass\What are you?\Are you planning on eating me?\Are you afraid of me?\Nah, you're just watching me...\and trying to figure out what I am.\Well, looks like you're human after all.\Green eyes... response:	and white hair.
context: What are you?\Are you planning on eating me?\Are you afraid of me?\Nah, you're just watching me...\and trying to figure out what I am.\Well, looks like you're human after all.\Green eyes...\and white hair. response:	I've heard of you.
context: Are you planning on eating me?\Are you afraid of me?\Nah, you're just watching me...\and trying to figure out what I am.\Well, looks like you're human after all.\Green eyes...\and white hair.\I've heard of you. response:	There is a unnatural child who attracts mushi and causes disasters wherever he goes.
context: Are you afraid of me?\Nah, you're just watching me...\and trying to figure out what I am.\Well, looks like you're human after all.\Green eyes...\and white hair.\I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes. response:	I've also heard that plenty of mushi-shi have taken you in.
context: Nah, you're just watching me...\and trying to figure out what I am.\Well, looks like you're human after all.\Green eyes...\and white hair.\I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in. response:	Did another one throw you out or something?
context: and trying to figure out what I am.\Well, looks like you're human after all.\Green eyes...\and white hair.\I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something? response:	Why stick around and let mushi get lured in?
context: Well, looks like you're human after all.\Green eyes...\and white hair.\I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something?\Why stick around and let mushi get lured in? response:	You can prevent disasters from happening as long as you keep moving, you know.
context: Green eyes...\and white hair.\I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something?\Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know. response:	I do it to earn my keep.
context: and white hair.\I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something?\Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep. response:	I attract mushi, and the mushi-shi resolves whatever problems arise.
context: I've heard of you.\There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something?\Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise. response:	It's just that every now and then, things get out of hand.
context: There is a unnatural child who attracts mushi and causes disasters wherever he goes.\I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something?\Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand. response:	Those are the kind of people who usually take you in, huh?
context: I've also heard that plenty of mushi-shi have taken you in.\Did another one throw you out or something?\Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh? response:	I'm Suguro.
context: Did another one throw you out or something?\Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh?\I'm Suguro. response:	I'm a mushi-shi who lives in these mountains.
context: Why stick around and let mushi get lured in?\You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh?\I'm Suguro.\I'm a mushi-shi who lives in these mountains. response:	Let's see...
context: You can prevent disasters from happening as long as you keep moving, you know.\I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh?\I'm Suguro.\I'm a mushi-shi who lives in these mountains.\Let's see... response:	Oh?
context: I do it to earn my keep.\I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh?\I'm Suguro.\I'm a mushi-shi who lives in these mountains.\Let's see...\Oh? response:	A Tokoyami, or Eternal Darkness mushi, is trapped here.
context: I attract mushi, and the mushi-shi resolves whatever problems arise.\It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh?\I'm Suguro.\I'm a mushi-shi who lives in these mountains.\Let's see...\Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here. response:	You were probably swallowed by one in the past.
context: It's just that every now and then, things get out of hand.\Those are the kind of people who usually take you in, huh?\I'm Suguro.\I'm a mushi-shi who lives in these mountains.\Let's see...\Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past. response:	That explains your peculiar constitution as well.
context: Those are the kind of people who usually take you in, huh?\I'm Suguro.\I'm a mushi-shi who lives in these mountains.\Let's see...\Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past.\That explains your peculiar constitution as well. response:	A Tokoyami?
context: I'm Suguro.\I'm a mushi-shi who lives in these mountains.\Let's see...\Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past.\That explains your peculiar constitution as well.\A Tokoyami? response:	None of the other mushi-shi told you?
context: I'm a mushi-shi who lives in these mountains.\Let's see...\Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past.\That explains your peculiar constitution as well.\A Tokoyami?\None of the other mushi-shi told you? response:	It's a mushi as pitch-black as pure darkness.
context: Let's see...\Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past.\That explains your peculiar constitution as well.\A Tokoyami?\None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness. response:	Your memories before a certain point have disappeared too, right?
context: Oh?\A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past.\That explains your peculiar constitution as well.\A Tokoyami?\None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right? response:	It also eats memories.
context: A Tokoyami, or Eternal Darkness mushi, is trapped here.\You were probably swallowed by one in the past.\That explains your peculiar constitution as well.\A Tokoyami?\None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right?\It also eats memories. response:	So if you take it out,
context: You were probably swallowed by one in the past.\That explains your peculiar constitution as well.\A Tokoyami?\None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right?\It also eats memories.\So if you take it out, response:	I'll become normal again, right?
context: That explains your peculiar constitution as well.\A Tokoyami?\None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right?\It also eats memories.\So if you take it out,\I'll become normal again, right? response:	It's just a mushi trapped in your body.
