context: The voice calling, come now, wake up response:	Yonde iru koe saa me o samashite
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite response:	Nakigao nugutte
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite\Nakigao nugutte response:	Wiping a tearstained face
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite\Nakigao nugutte\Wiping a tearstained face response:	Mabushii hikari kigi no tsuyu umareru
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite\Nakigao nugutte\Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru response:	Dare mo shiranai himitsu no mizube de
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite\Nakigao nugutte\Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de response:	Odore inochi no pa du duu
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite\Nakigao nugutte\Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu response:	Kyou mo yume miteru
context: The voice calling, come now, wake up\Yonde iru koe saa me o samashite\Nakigao nugutte\Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu\Kyou mo yume miteru response:	Sore wa yasashiku hageshii nagare ne
context: Yonde iru koe saa me o samashite\Nakigao nugutte\Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu\Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne response:	Doko made tsuzuku rabirinsu
context: Nakigao nugutte\Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu\Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu response:	Watashi wa yukou
context: Wiping a tearstained face\Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu\Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu\Watashi wa yukou response:	Nigirishimeru yume
context: Mabushii hikari kigi no tsuyu umareru\Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu\Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu\Watashi wa yukou\Nigirishimeru yume response:	The brilliant light and the dew on trees are born
context: Dare mo shiranai himitsu no mizube de\Odore inochi no pa du duu\Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu\Watashi wa yukou\Nigirishimeru yume\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: Odore inochi no pa du duu\Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu\Watashi wa yukou\Nigirishimeru yume\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: Kyou mo yume miteru\Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu\Watashi wa yukou\Nigirishimeru yume\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: Sore wa yasashiku hageshii nagare ne\Doko made tsuzuku rabirinsu\Watashi wa yukou\Nigirishimeru yume\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: Doko made tsuzuku rabirinsu\Watashi wa yukou\Nigirishimeru yume\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: Watashi wa yukou\Nigirishimeru yume\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Nigirishimeru yume\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
