context: TS response:	Where did those monsters come from?
context: TS\Where did those monsters come from? response:	They didn't make it to the fight with the Secrets?
context: TS\Where did those monsters come from?\They didn't make it to the fight with the Secrets? response:	I heard that they held them back for this day.
context: TS\Where did those monsters come from?\They didn't make it to the fight with the Secrets?\I heard that they held them back for this day. response:	This day?
context: TS\Where did those monsters come from?\They didn't make it to the fight with the Secrets?\I heard that they held them back for this day.\This day? response:	Are you telling me they'll be deployed to crush a little security company?
context: TS\Where did those monsters come from?\They didn't make it to the fight with the Secrets?\I heard that they held them back for this day.\This day?\Are you telling me they'll be deployed to crush a little security company? response:	A blackout? Something happened to the power station?
context: TS\Where did those monsters come from?\They didn't make it to the fight with the Secrets?\I heard that they held them back for this day.\This day?\Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station? response:	I even disabled the protector just to record it from TV...
context: TS\Where did those monsters come from?\They didn't make it to the fight with the Secrets?\I heard that they held them back for this day.\This day?\Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV... response:	What are you talking about?
context: Where did those monsters come from?\They didn't make it to the fight with the Secrets?\I heard that they held them back for this day.\This day?\Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV...\What are you talking about? response:	They added digital content to the broadcast that didn't make it to the official release!
context: They didn't make it to the fight with the Secrets?\I heard that they held them back for this day.\This day?\Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV...\What are you talking about?\They added digital content to the broadcast that didn't make it to the official release! response:	Huh?
context: I heard that they held them back for this day.\This day?\Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV...\What are you talking about?\They added digital content to the broadcast that didn't make it to the official release!\Huh? response:	You don't have to understand.
context: This day?\Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV...\What are you talking about?\They added digital content to the broadcast that didn't make it to the official release!\Huh?\You don't have to understand. response:	Just go and ask what's going on.
context: Are you telling me they'll be deployed to crush a little security company?\A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV...\What are you talking about?\They added digital content to the broadcast that didn't make it to the official release!\Huh?\You don't have to understand.\Just go and ask what's going on. response:	Ask your Papa.
context: A blackout? Something happened to the power station?\I even disabled the protector just to record it from TV...\What are you talking about?\They added digital content to the broadcast that didn't make it to the official release!\Huh?\You don't have to understand.\Just go and ask what's going on.\Ask your Papa. response:	Not over it yet?
context: I even disabled the protector just to record it from TV...\What are you talking about?\They added digital content to the broadcast that didn't make it to the official release!\Huh?\You don't have to understand.\Just go and ask what's going on.\Ask your Papa.\Not over it yet? response:	I thought we were friends.
context: What are you talking about?\They added digital content to the broadcast that didn't make it to the official release!\Huh?\You don't have to understand.\Just go and ask what's going on.\Ask your Papa.\Not over it yet?\I thought we were friends. response:	I've decided to always speak out my mind.
context: They added digital content to the broadcast that didn't make it to the official release!\Huh?\You don't have to understand.\Just go and ask what's going on.\Ask your Papa.\Not over it yet?\I thought we were friends.\I've decided to always speak out my mind. response:	This is an announcement by the security department regarding the earlier blackout.
context: Huh?\You don't have to understand.\Just go and ask what's going on.\Ask your Papa.\Not over it yet?\I thought we were friends.\I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout. response:	Nothing went faulty?!
context: You don't have to understand.\Just go and ask what's going on.\Ask your Papa.\Not over it yet?\I thought we were friends.\I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?! response:	Our power provider terminated our contract
context: Just go and ask what's going on.\Ask your Papa.\Not over it yet?\I thought we were friends.\I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?!\Our power provider terminated our contract response:	and cut off the power supply.
context: Ask your Papa.\Not over it yet?\I thought we were friends.\I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?!\Our power provider terminated our contract\and cut off the power supply. response:	They terminated the contract?
context: Not over it yet?\I thought we were friends.\I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?!\Our power provider terminated our contract\and cut off the power supply.\They terminated the contract? response:	What about our own generators?
context: I thought we were friends.\I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?!\Our power provider terminated our contract\and cut off the power supply.\They terminated the contract?\What about our own generators? response:	The provider was supposed to be only a backup!
