context: Matsuoka Rin response:	Hello, everyone.
context: Matsuoka Rin\Hello, everyone. response:	My name is Matsuoka Rin.
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin. response:	I previously went to Sano Elementary School.
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Sano Elementary School. response:	I have a girly name, but I'm a boy.
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Sano Elementary School.\I have a girly name, but I'm a boy. response:	Looking forward to being in this class!
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Sano Elementary School.\I have a girly name, but I'm a boy.\Looking forward to being in this class! response:	Wow, this tree is huge.
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Sano Elementary School.\I have a girly name, but I'm a boy.\Looking forward to being in this class!\Wow, this tree is huge. response:	Is it a cherry blossom tree?
context: Matsuoka Rin\Hello, everyone.\My name is Matsuoka Rin.\I previously went to Sano Elementary School.\I have a girly name, but I'm a boy.\Looking forward to being in this class!\Wow, this tree is huge.\Is it a cherry blossom tree? response:	It is.
context: Hello, everyone.\My name is Matsuoka Rin.\I previously went to Sano Elementary School.\I have a girly name, but I'm a boy.\Looking forward to being in this class!\Wow, this tree is huge.\Is it a cherry blossom tree?\It is. response:	Irritated Heart Rate!
context: My name is Matsuoka Rin.\I previously went to Sano Elementary School.\I have a girly name, but I'm a boy.\Looking forward to being in this class!\Wow, this tree is huge.\Is it a cherry blossom tree?\It is.\Irritated Heart Rate! response:	Yeah?
context: I previously went to Sano Elementary School.\I have a girly name, but I'm a boy.\Looking forward to being in this class!\Wow, this tree is huge.\Is it a cherry blossom tree?\It is.\Irritated Heart Rate!\Yeah? response:	So come spring, there'll be a
context: I have a girly name, but I'm a boy.\Looking forward to being in this class!\Wow, this tree is huge.\Is it a cherry blossom tree?\It is.\Irritated Heart Rate!\Yeah?\So come spring, there'll be a response:	whole bunch of blossoms falling down into the pool.
context: Looking forward to being in this class!\Wow, this tree is huge.\Is it a cherry blossom tree?\It is.\Irritated Heart Rate!\Yeah?\So come spring, there'll be a\whole bunch of blossoms falling down into the pool. response:	I wanna try swimming in a pool of cherry blossoms.
context: Wow, this tree is huge.\Is it a cherry blossom tree?\It is.\Irritated Heart Rate!\Yeah?\So come spring, there'll be a\whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms. response:	The water will be too cold.
context: Is it a cherry blossom tree?\It is.\Irritated Heart Rate!\Yeah?\So come spring, there'll be a\whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms.\The water will be too cold. response:	You should wait until summer before swimming.
context: It is.\Irritated Heart Rate!\Yeah?\So come spring, there'll be a\whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms.\The water will be too cold.\You should wait until summer before swimming. response:	I was just joking around.
context: Irritated Heart Rate!\Yeah?\So come spring, there'll be a\whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms.\The water will be too cold.\You should wait until summer before swimming.\I was just joking around. response:	You don't have to get so serious.
context: Yeah?\So come spring, there'll be a\whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms.\The water will be too cold.\You should wait until summer before swimming.\I was just joking around.\You don't have to get so serious. response:	I have a question for you.
context: So come spring, there'll be a\whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms.\The water will be too cold.\You should wait until summer before swimming.\I was just joking around.\You don't have to get so serious.\I have a question for you. response:	Oh? What's up?
context: whole bunch of blossoms falling down into the pool.\I wanna try swimming in a pool of cherry blossoms.\The water will be too cold.\You should wait until summer before swimming.\I was just joking around.\You don't have to get so serious.\I have a question for you.\Oh? What's up? response:	Looking to shut down the transfer student on his first day?
context: I wanna try swimming in a pool of cherry blossoms.\The water will be too cold.\You should wait until summer before swimming.\I was just joking around.\You don't have to get so serious.\I have a question for you.\Oh? What's up?\Looking to shut down the transfer student on his first day? response:	No.
context: The water will be too cold.\You should wait until summer before swimming.\I was just joking around.\You don't have to get so serious.\I have a question for you.\Oh? What's up?\Looking to shut down the transfer student on his first day?\No. response:	I believe we've been in the same tournaments before.
context: You should wait until summer before swimming.\I was just joking around.\You don't have to get so serious.\I have a question for you.\Oh? What's up?\Looking to shut down the transfer student on his first day?\No.\I believe we've been in the same tournaments before. response:	Oh, you remembered me?
context: I was just joking around.\You don't have to get so serious.\I have a question for you.\Oh? What's up?\Looking to shut down the transfer student on his first day?\No.\I believe we've been in the same tournaments before.\Oh, you remembered me? response:	What's with that scary look?
context: You don't have to get so serious.\I have a question for you.\Oh? What's up?\Looking to shut down the transfer student on his first day?\No.\I believe we've been in the same tournaments before.\Oh, you remembered me?\What's with that scary look? response:	I just happened to end up at this school when I moved.
context: I have a question for you.\Oh? What's up?\Looking to shut down the transfer student on his first day?\No.\I believe we've been in the same tournaments before.\Oh, you remembered me?\What's with that scary look?\I just happened to end up at this school when I moved. response:	Coincidences are scary, huh?
context: Oh? What's up?\Looking to shut down the transfer student on his first day?\No.\I believe we've been in the same tournaments before.\Oh, you remembered me?\What's with that scary look?\I just happened to end up at this school when I moved.\Coincidences are scary, huh? response:	My name is Matsuoka Rin.
