context: 8:50 PM May 7 (Sunday) response:	Sorry! I overslept!
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept! response:	U-Um...
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept!\U-Um... response:	Good morning, Yuri!
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept!\U-Um...\Good morning, Yuri! response:	Only Aeroflot has kept me waiting as long as you have.
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept!\U-Um...\Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have. response:	Oh, Japanese dogeza!
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept!\U-Um...\Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza! response:	Victor will be staying in Hasetsu to be my coach.
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept!\U-Um...\Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach. response:	But to me, it's surreal, more like having a god around than a coach.
context: 8:50 PM May 7 (Sunday)\Sorry! I overslept!\U-Um...\Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach. response:	Resting is a part of work, too.
context: Sorry! I overslept!\U-Um...\Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too. response:	To think that a coach of my very own is going to be here every day...
context: U-Um...\Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too.\To think that a coach of my very own is going to be here every day... response:	And that coach is Victor Nikiforov himself.
context: Good morning, Yuri!\Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too.\To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself. response:	He said I could pay his coaching fees later,
context: Only Aeroflot has kept me waiting as long as you have.\Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too.\To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later, response:	but I wonder how expensive it will be.
context: Oh, Japanese dogeza!\Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too.\To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later,\but I wonder how expensive it will be. response:	Yuri, you tend to flub your jumps when something is on your mind.
context: Victor will be staying in Hasetsu to be my coach.\But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too.\To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later,\but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind. response:	Fourth Skate Like Yourself... And Complete the Free Program!!
context: But to me, it's surreal, more like having a god around than a coach.\Resting is a part of work, too.\To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later,\but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!! response:	Like Yourself... And Complete the Free Program!!
context: Resting is a part of work, too.\To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later,\but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!! response:	Hasetsu Hot Springs Yu-topia Katsuki
