context: Eren. response:	You're a man!
context: Eren.\You're a man! response:	Show some restraint! You need to be there for Mikasa, too!
context: Eren.\You're a man!\Show some restraint! You need to be there for Mikasa, too! response:	Stop!
context: Eren.\You're a man!\Show some restraint! You need to be there for Mikasa, too!\Stop! response:	Scream
context: Eren.\You're a man!\Show some restraint! You need to be there for Mikasa, too!\Stop!\Scream response:	Damn that Reiner!
context: Eren.\You're a man!\Show some restraint! You need to be there for Mikasa, too!\Stop!\Scream\Damn that Reiner! response:	He's tossing Titans like a madman!
context: Eren.\You're a man!\Show some restraint! You need to be there for Mikasa, too!\Stop!\Scream\Damn that Reiner!\He's tossing Titans like a madman! response:	This is all your fault!
context: Eren.\You're a man!\Show some restraint! You need to be there for Mikasa, too!\Stop!\Scream\Damn that Reiner!\He's tossing Titans like a madman!\This is all your fault! response:	It's you who screwed up my entire plan, you damn commander!
context: You're a man!\Show some restraint! You need to be there for Mikasa, too!\Stop!\Scream\Damn that Reiner!\He's tossing Titans like a madman!\This is all your fault!\It's you who screwed up my entire plan, you damn commander! response:	Ymir!
context: Show some restraint! You need to be there for Mikasa, too!\Stop!\Scream\Damn that Reiner!\He's tossing Titans like a madman!\This is all your fault!\It's you who screwed up my entire plan, you damn commander!\Ymir! response:	Conny, that way!
context: Stop!\Scream\Damn that Reiner!\He's tossing Titans like a madman!\This is all your fault!\It's you who screwed up my entire plan, you damn commander!\Ymir!\Conny, that way! response:	I know!
context: Scream\Damn that Reiner!\He's tossing Titans like a madman!\This is all your fault!\It's you who screwed up my entire plan, you damn commander!\Ymir!\Conny, that way!\I know! response:	Commander!
context: Damn that Reiner!\He's tossing Titans like a madman!\This is all your fault!\It's you who screwed up my entire plan, you damn commander!\Ymir!\Conny, that way!\I know!\Commander! response:	I can always be replaced.
context: He's tossing Titans like a madman!\This is all your fault!\It's you who screwed up my entire plan, you damn commander!\Ymir!\Conny, that way!\I know!\Commander!\I can always be replaced. response:	More importantly, find Eren and retreat!
context: This is all your fault!\It's you who screwed up my entire plan, you damn commander!\Ymir!\Conny, that way!\I know!\Commander!\I can always be replaced.\More importantly, find Eren and retreat! response:	Time is of the essence!
context: It's you who screwed up my entire plan, you damn commander!\Ymir!\Conny, that way!\I know!\Commander!\I can always be replaced.\More importantly, find Eren and retreat!\Time is of the essence! response:	Eren!
