context: What a nice aroma' response:	So let's see if we did it right.
context: What a nice aroma'\So let's see if we did it right. response:	Yes, it's just the right texture.
context: What a nice aroma'\So let's see if we did it right.\Yes, it's just the right texture. response:	Let's wait until it cools down, then continue with next part.
context: What a nice aroma'\So let's see if we did it right.\Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part. response:	Touya hasn't come home yet, has he?
context: What a nice aroma'\So let's see if we did it right.\Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he? response:	Um, um, I'll go have a look!
context: What a nice aroma'\So let's see if we did it right.\Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he?\Um, um, I'll go have a look! response:	Kero!
context: What a nice aroma'\So let's see if we did it right.\Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he?\Um, um, I'll go have a look!\Kero! response:	What's with coming back with nothing but books about cakes?
context: What a nice aroma'\So let's see if we did it right.\Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he?\Um, um, I'll go have a look!\Kero!\What's with coming back with nothing but books about cakes? response:	We're making cakes in Home Ec this week.
context: So let's see if we did it right.\Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he?\Um, um, I'll go have a look!\Kero!\What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week. response:	Now that Dad taught me a thing or two, I want to learn more.
context: Yes, it's just the right texture.\Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he?\Um, um, I'll go have a look!\Kero!\What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more. response:	Making cakes at school? How nice!
context: Let's wait until it cools down, then continue with next part.\Touya hasn't come home yet, has he?\Um, um, I'll go have a look!\Kero!\What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice! response:	If it's any good, I'll bring some back for you, OK?
context: Touya hasn't come home yet, has he?\Um, um, I'll go have a look!\Kero!\What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK? response:	Sakura?
context: Um, um, I'll go have a look!\Kero!\What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK?\Sakura? response:	Anything wrong?
context: Kero!\What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK?\Sakura?\Anything wrong? response:	Nothing at all! I'll be right there!
context: What's with coming back with nothing but books about cakes?\We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK?\Sakura?\Anything wrong?\Nothing at all! I'll be right there! response:	Here, you try it.
context: We're making cakes in Home Ec this week.\Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK?\Sakura?\Anything wrong?\Nothing at all! I'll be right there!\Here, you try it. response:	Yes.
context: Now that Dad taught me a thing or two, I want to learn more.\Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK?\Sakura?\Anything wrong?\Nothing at all! I'll be right there!\Here, you try it.\Yes. response:	Now what?
context: Making cakes at school? How nice!\If it's any good, I'll bring some back for you, OK?\Sakura?\Anything wrong?\Nothing at all! I'll be right there!\Here, you try it.\Yes.\Now what? response:	Don't worry, it's just practice.
context: If it's any good, I'll bring some back for you, OK?\Sakura?\Anything wrong?\Nothing at all! I'll be right there!\Here, you try it.\Yes.\Now what?\Don't worry, it's just practice. response:	It's so big, we can't just eat it by ourselves, right?
context: Sakura?\Anything wrong?\Nothing at all! I'll be right there!\Here, you try it.\Yes.\Now what?\Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right? response:	Why don't you take some to your friends at school?
context: Anything wrong?\Nothing at all! I'll be right there!\Here, you try it.\Yes.\Now what?\Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school? response:	Sure, I'll do that!
context: Nothing at all! I'll be right there!\Here, you try it.\Yes.\Now what?\Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school?\Sure, I'll do that! response:	We'll ask Touya, maybe Yukito would like some tomorrow, too.
context: Here, you try it.\Yes.\Now what?\Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school?\Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too. response:	Yukito.
context: Yes.\Now what?\Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school?\Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito. response:	It'd be nice if I could make one as good as yours, Dad'
