context: Hatori response:	You're not going to regret this later, are you?
context: Hatori\You're not going to regret this later, are you? response:	I won't.
context: Hatori\You're not going to regret this later, are you?\I won't. response:	Hatori Chise
context: Hatori\You're not going to regret this later, are you?\I won't.\Hatori Chise response:	With that, the contract is complete.
context: Hatori\You're not going to regret this later, are you?\I won't.\Hatori Chise\With that, the contract is complete. response:	Hatori Chise-san.
context: Hatori\You're not going to regret this later, are you?\I won't.\Hatori Chise\With that, the contract is complete.\Hatori Chise-san. response:	Can you breathe all right?
context: Hatori\You're not going to regret this later, are you?\I won't.\Hatori Chise\With that, the contract is complete.\Hatori Chise-san.\Can you breathe all right? response:	Let's go.
context: Hatori\You're not going to regret this later, are you?\I won't.\Hatori Chise\With that, the contract is complete.\Hatori Chise-san.\Can you breathe all right?\Let's go. response:	I'd heard rumors, but I've never seen one before.
context: You're not going to regret this later, are you?\I won't.\Hatori Chise\With that, the contract is complete.\Hatori Chise-san.\Can you breathe all right?\Let's go.\I'd heard rumors, but I've never seen one before. response:	There are things that are neither human nor inanimate.
context: I won't.\Hatori Chise\With that, the contract is complete.\Hatori Chise-san.\Can you breathe all right?\Let's go.\I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate. response:	They're different from the ones that I always see.
context: Hatori Chise\With that, the contract is complete.\Hatori Chise-san.\Can you breathe all right?\Let's go.\I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate.\They're different from the ones that I always see. response:	I never knew things like this existed.
context: With that, the contract is complete.\Hatori Chise-san.\Can you breathe all right?\Let's go.\I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate.\They're different from the ones that I always see.\I never knew things like this existed. response:	I don't care.
context: Hatori Chise-san.\Can you breathe all right?\Let's go.\I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate.\They're different from the ones that I always see.\I never knew things like this existed.\I don't care. response:	I just want somewhere to go home to.
context: Can you breathe all right?\Let's go.\I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate.\They're different from the ones that I always see.\I never knew things like this existed.\I don't care.\I just want somewhere to go home to. response:	This is the product you've all been waiting for.
context: Let's go.\I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate.\They're different from the ones that I always see.\I never knew things like this existed.\I don't care.\I just want somewhere to go home to.\This is the product you've all been waiting for. response:	A rare item, even among our current offerings.
context: I'd heard rumors, but I've never seen one before.\There are things that are neither human nor inanimate.\They're different from the ones that I always see.\I never knew things like this existed.\I don't care.\I just want somewhere to go home to.\This is the product you've all been waiting for.\A rare item, even among our current offerings. response:	Starting at 500,000.
context: There are things that are neither human nor inanimate.\They're different from the ones that I always see.\I never knew things like this existed.\I don't care.\I just want somewhere to go home to.\This is the product you've all been waiting for.\A rare item, even among our current offerings.\Starting at 500,000. response:	1,100,000!
context: They're different from the ones that I always see.\I never knew things like this existed.\I don't care.\I just want somewhere to go home to.\This is the product you've all been waiting for.\A rare item, even among our current offerings.\Starting at 500,000.\1,100,000! response:	1,500,000!
context: I never knew things like this existed.\I don't care.\I just want somewhere to go home to.\This is the product you've all been waiting for.\A rare item, even among our current offerings.\Starting at 500,000.\1,100,000!\1,500,000! response:	1,800,000!
