context: People live to save themselves response:	Good night, Kosuke.
context: People live to save themselves\Good night, Kosuke. response:	Good night, Katsumi.
context: People live to save themselves\Good night, Kosuke.\Good night, Katsumi. response:	Good night, Yu.
context: People live to save themselves\Good night, Kosuke.\Good night, Katsumi.\Good night, Yu. response:	Good night, Shinji.
context: People live to save themselves\Good night, Kosuke.\Good night, Katsumi.\Good night, Yu.\Good night, Shinji. response:	Good night, Sakura.
context: People live to save themselves\Good night, Kosuke.\Good night, Katsumi.\Good night, Yu.\Good night, Shinji.\Good night, Sakura. response:	Rest in peace.
context: People live to save themselves\Good night, Kosuke.\Good night, Katsumi.\Good night, Yu.\Good night, Shinji.\Good night, Sakura.\Rest in peace. response:	I'll be off.
context: People live to save themselves\Good night, Kosuke.\Good night, Katsumi.\Good night, Yu.\Good night, Shinji.\Good night, Sakura.\Rest in peace.\I'll be off. response:	Thank you for coming here today.
context: Good night, Kosuke.\Good night, Katsumi.\Good night, Yu.\Good night, Shinji.\Good night, Sakura.\Rest in peace.\I'll be off.\Thank you for coming here today. response:	Again, this is an unofficial meeting.
context: Good night, Katsumi.\Good night, Yu.\Good night, Shinji.\Good night, Sakura.\Rest in peace.\I'll be off.\Thank you for coming here today.\Again, this is an unofficial meeting. response:	Thank you for inviting me here today.
context: Good night, Yu.\Good night, Shinji.\Good night, Sakura.\Rest in peace.\I'll be off.\Thank you for coming here today.\Again, this is an unofficial meeting.\Thank you for inviting me here today. response:	How does it feel to be back in your main job?
context: Good night, Shinji.\Good night, Sakura.\Rest in peace.\I'll be off.\Thank you for coming here today.\Again, this is an unofficial meeting.\Thank you for inviting me here today.\How does it feel to be back in your main job? response:	Please don't torture our junior staff,
context: Good night, Sakura.\Rest in peace.\I'll be off.\Thank you for coming here today.\Again, this is an unofficial meeting.\Thank you for inviting me here today.\How does it feel to be back in your main job?\Please don't torture our junior staff, response:	Port Mafia's boss-man.
context: Rest in peace.\I'll be off.\Thank you for coming here today.\Again, this is an unofficial meeting.\Thank you for inviting me here today.\How does it feel to be back in your main job?\Please don't torture our junior staff,\Port Mafia's boss-man. response:	My Elise-chan wants ice cream.
context: I'll be off.\Thank you for coming here today.\Again, this is an unofficial meeting.\Thank you for inviting me here today.\How does it feel to be back in your main job?\Please don't torture our junior staff,\Port Mafia's boss-man.\My Elise-chan wants ice cream. response:	Are there any ice cream shops that government workers would recommend,
