context: This is Omi Jingu... response:	The mecca of karuta!
context: This is Omi Jingu...\The mecca of karuta! response:	Listen to me.
context: This is Omi Jingu...\The mecca of karuta!\Listen to me. response:	When visiting a shrine, you bow twice, clap twice, bow once.
context: This is Omi Jingu...\The mecca of karuta!\Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once. response:	You may find these customs tedious,
context: This is Omi Jingu...\The mecca of karuta!\Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious, response:	but the gods are not always so forgiving.
context: This is Omi Jingu...\The mecca of karuta!\Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious,\but the gods are not always so forgiving. response:	Follow the proper procedures when making a wish.
context: This is Omi Jingu...\The mecca of karuta!\Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious,\but the gods are not always so forgiving.\Follow the proper procedures when making a wish. response:	Dear God,
context: This is Omi Jingu...\The mecca of karuta!\Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious,\but the gods are not always so forgiving.\Follow the proper procedures when making a wish.\Dear God, response:	I don't need any miracles.
context: The mecca of karuta!\Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious,\but the gods are not always so forgiving.\Follow the proper procedures when making a wish.\Dear God,\I don't need any miracles. response:	Please keep us safe from any accidents,
context: Listen to me.\When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious,\but the gods are not always so forgiving.\Follow the proper procedures when making a wish.\Dear God,\I don't need any miracles.\Please keep us safe from any accidents, response:	so we're able to play.
context: When visiting a shrine, you bow twice, clap twice, bow once.\You may find these customs tedious,\but the gods are not always so forgiving.\Follow the proper procedures when making a wish.\Dear God,\I don't need any miracles.\Please keep us safe from any accidents,\so we're able to play. response:	The actual matches are played somewhere else right?
context: You may find these customs tedious,\but the gods are not always so forgiving.\Follow the proper procedures when making a wish.\Dear God,\I don't need any miracles.\Please keep us safe from any accidents,\so we're able to play.\The actual matches are played somewhere else right? response:	Hey, Chihaya. We're leaving.
context: but the gods are not always so forgiving.\Follow the proper procedures when making a wish.\Dear God,\I don't need any miracles.\Please keep us safe from any accidents,\so we're able to play.\The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving. response:	Oh, okay.
context: Follow the proper procedures when making a wish.\Dear God,\I don't need any miracles.\Please keep us safe from any accidents,\so we're able to play.\The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving.\Oh, okay. response:	Yes, it's in the Learning Center next door.
context: Dear God,\I don't need any miracles.\Please keep us safe from any accidents,\so we're able to play.\The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving.\Oh, okay.\Yes, it's in the Learning Center next door. response:	There's going to be a ceremony for all of the participants.
context: I don't need any miracles.\Please keep us safe from any accidents,\so we're able to play.\The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving.\Oh, okay.\Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants. response:	Huh? Everybody's going to come back here?
context: Please keep us safe from any accidents,\so we're able to play.\The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving.\Oh, okay.\Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here? response:	Arata,
context: so we're able to play.\The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving.\Oh, okay.\Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here?\Arata, response:	I finally made it to Omi Jingu.
context: The actual matches are played somewhere else right?\Hey, Chihaya. We're leaving.\Oh, okay.\Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here?\Arata,\I finally made it to Omi Jingu. response:	My dream hasn't changed.
context: Hey, Chihaya. We're leaving.\Oh, okay.\Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here?\Arata,\I finally made it to Omi Jingu.\My dream hasn't changed. response:	That makes you the Queen, Ayase-san.
context: Oh, okay.\Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here?\Arata,\I finally made it to Omi Jingu.\My dream hasn't changed.\That makes you the Queen, Ayase-san. response:	Chihaya Furu
context: Yes, it's in the Learning Center next door.\There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here?\Arata,\I finally made it to Omi Jingu.\My dream hasn't changed.\That makes you the Queen, Ayase-san.\Chihaya Furu response:	Verse 13
context: There's going to be a ceremony for all of the participants.\Huh? Everybody's going to come back here?\Arata,\I finally made it to Omi Jingu.\My dream hasn't changed.\That makes you the Queen, Ayase-san.\Chihaya Furu\Verse 13 response:	For You, I Head Out
context: Huh? Everybody's going to come back here?\Arata,\I finally made it to Omi Jingu.\My dream hasn't changed.\That makes you the Queen, Ayase-san.\Chihaya Furu\Verse 13\For You, I Head Out response:	Omi Learning Center
context: Arata,\I finally made it to Omi Jingu.\My dream hasn't changed.\That makes you the Queen, Ayase-san.\Chihaya Furu\Verse 13\For You, I Head Out\Omi Learning Center response:	High School National Ogura Hundred Poets Karuta Championship
context: I finally made it to Omi Jingu.\My dream hasn't changed.\That makes you the Queen, Ayase-san.\Chihaya Furu\Verse 13\For You, I Head Out\Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship response:	Hot!
context: My dream hasn't changed.\That makes you the Queen, Ayase-san.\Chihaya Furu\Verse 13\For You, I Head Out\Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship\Hot! response:	It's so hot, Kana-chan!
context: That makes you the Queen, Ayase-san.\Chihaya Furu\Verse 13\For You, I Head Out\Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship\Hot!\It's so hot, Kana-chan! response:	Let's skip the hakama!
context: Chihaya Furu\Verse 13\For You, I Head Out\Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship\Hot!\It's so hot, Kana-chan!\Let's skip the hakama! response:	We should dress properly for our first national tournament!
context: Verse 13\For You, I Head Out\Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship\Hot!\It's so hot, Kana-chan!\Let's skip the hakama!\We should dress properly for our first national tournament! response:	But seriously...
context: For You, I Head Out\Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship\Hot!\It's so hot, Kana-chan!\Let's skip the hakama!\We should dress properly for our first national tournament!\But seriously... response:	I believe that the hall has air conditioning.
context: Omi Learning Center\High School National Ogura Hundred Poets Karuta Championship\Hot!\It's so hot, Kana-chan!\Let's skip the hakama!\We should dress properly for our first national tournament!\But seriously...\I believe that the hall has air conditioning. response:	Kanade!
context: High School National Ogura Hundred Poets Karuta Championship\Hot!\It's so hot, Kana-chan!\Let's skip the hakama!\We should dress properly for our first national tournament!\But seriously...\I believe that the hall has air conditioning.\Kanade! response:	I'll take care of Mashima-kun!
context: Hot!\It's so hot, Kana-chan!\Let's skip the hakama!\We should dress properly for our first national tournament!\But seriously...\I believe that the hall has air conditioning.\Kanade!\I'll take care of Mashima-kun! response:	Mom... What about Chihaya-chan?
context: It's so hot, Kana-chan!\Let's skip the hakama!\We should dress properly for our first national tournament!\But seriously...\I believe that the hall has air conditioning.\Kanade!\I'll take care of Mashima-kun!\Mom... What about Chihaya-chan? response:	I finished hers.
context: Let's skip the hakama!\We should dress properly for our first national tournament!\But seriously...\I believe that the hall has air conditioning.\Kanade!\I'll take care of Mashima-kun!\Mom... What about Chihaya-chan?\I finished hers. response:	She looks like a beautiful girl because she isn't moving or talking.
