context: Let's go, everyone! response:	Yeah!
context: Let's go, everyone!\Yeah! response:	Why...
context: Let's go, everyone!\Yeah!\Why... response:	Why did you come here?
context: Let's go, everyone!\Yeah!\Why...\Why did you come here? response:	Flag 13
context: Let's go, everyone!\Yeah!\Why...\Why did you come here?\Flag 13 response:	If His Flag Breaks
context: Let's go, everyone!\Yeah!\Why...\Why did you come here?\Flag 13\If His Flag Breaks response:	I-It's not like I'm going to sing for Hatate.
context: Let's go, everyone!\Yeah!\Why...\Why did you come here?\Flag 13\If His Flag Breaks\I-It's not like I'm going to sing for Hatate. response:	Someone once told me that
context: Let's go, everyone!\Yeah!\Why...\Why did you come here?\Flag 13\If His Flag Breaks\I-It's not like I'm going to sing for Hatate.\Someone once told me that response:	my songs can give hope to everyone.
context: Yeah!\Why...\Why did you come here?\Flag 13\If His Flag Breaks\I-It's not like I'm going to sing for Hatate.\Someone once told me that\my songs can give hope to everyone. response:	That's the only reason!
context: Why...\Why did you come here?\Flag 13\If His Flag Breaks\I-It's not like I'm going to sing for Hatate.\Someone once told me that\my songs can give hope to everyone.\That's the only reason! response:	I'm not able to do anything,
context: Why did you come here?\Flag 13\If His Flag Breaks\I-It's not like I'm going to sing for Hatate.\Someone once told me that\my songs can give hope to everyone.\That's the only reason!\I'm not able to do anything, response:	but I'll dance and cheer you all on! I will!
context: Flag 13\If His Flag Breaks\I-It's not like I'm going to sing for Hatate.\Someone once told me that\my songs can give hope to everyone.\That's the only reason!\I'm not able to do anything,\but I'll dance and cheer you all on! I will! response:	Watch me, Souta-oniisama!
context: If His Flag Breaks\I-It's not like I'm going to sing for Hatate.\Someone once told me that\my songs can give hope to everyone.\That's the only reason!\I'm not able to do anything,\but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama! response:	I swear on our manly friendship
context: I-It's not like I'm going to sing for Hatate.\Someone once told me that\my songs can give hope to everyone.\That's the only reason!\I'm not able to do anything,\but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama!\I swear on our manly friendship response:	that I shall take care of Souta-kun's enemies!
context: Someone once told me that\my songs can give hope to everyone.\That's the only reason!\I'm not able to do anything,\but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama!\I swear on our manly friendship\that I shall take care of Souta-kun's enemies! response:	Souta-san said he needed me!
context: my songs can give hope to everyone.\That's the only reason!\I'm not able to do anything,\but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama!\I swear on our manly friendship\that I shall take care of Souta-kun's enemies!\Souta-san said he needed me! response:	I need him, too,
context: That's the only reason!\I'm not able to do anything,\but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama!\I swear on our manly friendship\that I shall take care of Souta-kun's enemies!\Souta-san said he needed me!\I need him, too, response:	if that's okay with him!
context: I'm not able to do anything,\but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama!\I swear on our manly friendship\that I shall take care of Souta-kun's enemies!\Souta-san said he needed me!\I need him, too,\if that's okay with him! response:	I'm sorry...
context: but I'll dance and cheer you all on! I will!\Watch me, Souta-oniisama!\I swear on our manly friendship\that I shall take care of Souta-kun's enemies!\Souta-san said he needed me!\I need him, too,\if that's okay with him!\I'm sorry... response:	You were out here by yourself,
context: Watch me, Souta-oniisama!\I swear on our manly friendship\that I shall take care of Souta-kun's enemies!\Souta-san said he needed me!\I need him, too,\if that's okay with him!\I'm sorry...\You were out here by yourself, response:	and I wasn't able to be a big sister for you.
context: I swear on our manly friendship\that I shall take care of Souta-kun's enemies!\Souta-san said he needed me!\I need him, too,\if that's okay with him!\I'm sorry...\You were out here by yourself,\and I wasn't able to be a big sister for you. response:	But...
context: that I shall take care of Souta-kun's enemies!\Souta-san said he needed me!\I need him, too,\if that's okay with him!\I'm sorry...\You were out here by yourself,\and I wasn't able to be a big sister for you.\But... response:	It'll be okay now.
context: Souta-san said he needed me!\I need him, too,\if that's okay with him!\I'm sorry...\You were out here by yourself,\and I wasn't able to be a big sister for you.\But...\It'll be okay now. response:	Your big sister will protect you!
