context: What is this? response:	The grave... It's shining.
context: What is this?\The grave... It's shining. response:	The rain?
context: What is this?\The grave... It's shining.\The rain? response:	What is this light?
context: What is this?\The grave... It's shining.\The rain?\What is this light? response:	One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...
context: What is this?\The grave... It's shining.\The rain?\What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter... response:	What does this mean?
context: What is this?\The grave... It's shining.\The rain?\What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean? response:	The Words I Couldn't Say.
context: What is this?\The grave... It's shining.\The rain?\What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean?\The Words I Couldn't Say. response:	Damn you... What the hell are you after?
context: What is this?\The grave... It's shining.\The rain?\What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean?\The Words I Couldn't Say.\Damn you... What the hell are you after? response:	I asked you already. Where is Mavis's grave?
context: The grave... It's shining.\The rain?\What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean?\The Words I Couldn't Say.\Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave? response:	W-We don't know, either!
context: The rain?\What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean?\The Words I Couldn't Say.\Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave?\W-We don't know, either! response:	The grave of the founding Master?
context: What is this light?\One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean?\The Words I Couldn't Say.\Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave?\W-We don't know, either!\The grave of the founding Master? response:	It has something to do with the second test?
context: One of the Fairy Tail's 3 Grand Spells, Fairy Glitter...\What does this mean?\The Words I Couldn't Say.\Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave?\W-We don't know, either!\The grave of the founding Master?\It has something to do with the second test? response:	I see. I understand!
context: What does this mean?\The Words I Couldn't Say.\Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave?\W-We don't know, either!\The grave of the founding Master?\It has something to do with the second test?\I see. I understand! response:	I'm sure it's something completely idiotic, but I suppose I'll ask anyway...
context: The Words I Couldn't Say.\Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave?\W-We don't know, either!\The grave of the founding Master?\It has something to do with the second test?\I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway... response:	You want to become an S class wizard, too!
context: Damn you... What the hell are you after?\I asked you already. Where is Mavis's grave?\W-We don't know, either!\The grave of the founding Master?\It has something to do with the second test?\I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too! response:	But we're not letting you into Fairy Tail!
