context: As we journeyed in search of Naraku's whereabouts, response:	three young monkey sprites appeared before us.
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us. response:	Clumsy, scatterbrained and quick to jump to conclusions...
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions... response:	yet too cute to hate.
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate. response:	The three monkey sprites were in search of
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate.\The three monkey sprites were in search of response:	the sacred object which housed theirMonkey God.
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate.\The three monkey sprites were in search of\the sacred object which housed theirMonkey God. response:	We finally found it in a pickling tub being used as a weight.
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate.\The three monkey sprites were in search of\the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight. response:	And the Monkey God said something very strange.
context: As we journeyed in search of Naraku's whereabouts,\three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate.\The three monkey sprites were in search of\the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange. response:	A huge evil aura had flown overhead in the direction of the ox-tiger,
context: three young monkey sprites appeared before us.\Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate.\The three monkey sprites were in search of\the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger, response:	then suddenly disappeared.
context: Clumsy, scatterbrained and quick to jump to conclusions...\yet too cute to hate.\The three monkey sprites were in search of\the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared. response:	No doubt about it! It's Naraku!
context: yet too cute to hate.\The three monkey sprites were in search of\the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared.\No doubt about it! It's Naraku! response:	Ox and tiger? That's northeast?
context: The three monkey sprites were in search of\the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared.\No doubt about it! It's Naraku!\Ox and tiger? That's northeast? response:	Shall we go?
context: the sacred object which housed theirMonkey God.\We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared.\No doubt about it! It's Naraku!\Ox and tiger? That's northeast?\Shall we go? response:	Yeah...
context: We finally found it in a pickling tub being used as a weight.\And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared.\No doubt about it! It's Naraku!\Ox and tiger? That's northeast?\Shall we go?\Yeah... response:	We know which way to go now!
context: And the Monkey God said something very strange.\A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared.\No doubt about it! It's Naraku!\Ox and tiger? That's northeast?\Shall we go?\Yeah...\We know which way to go now! response:	We head northeast!
context: A huge evil aura had flown overhead in the direction of the ox-tiger,\then suddenly disappeared.\No doubt about it! It's Naraku!\Ox and tiger? That's northeast?\Shall we go?\Yeah...\We know which way to go now!\We head northeast! response:	Damn! She's supposed to come, too!
context: then suddenly disappeared.\No doubt about it! It's Naraku!\Ox and tiger? That's northeast?\Shall we go?\Yeah...\We know which way to go now!\We head northeast!\Damn! She's supposed to come, too! response:	What's going on?!
context: No doubt about it! It's Naraku!\Ox and tiger? That's northeast?\Shall we go?\Yeah...\We know which way to go now!\We head northeast!\Damn! She's supposed to come, too!\What's going on?! response:	I'm sorry.
context: Ox and tiger? That's northeast?\Shall we go?\Yeah...\We know which way to go now!\We head northeast!\Damn! She's supposed to come, too!\What's going on?!\I'm sorry. response:	Stop it already.
context: Shall we go?\Yeah...\We know which way to go now!\We head northeast!\Damn! She's supposed to come, too!\What's going on?!\I'm sorry.\Stop it already. response:	Kagome didn't catch a cold because she wanted to.
context: Yeah...\We know which way to go now!\We head northeast!\Damn! She's supposed to come, too!\What's going on?!\I'm sorry.\Stop it already.\Kagome didn't catch a cold because she wanted to. response:	l-I know that!
context: We know which way to go now!\We head northeast!\Damn! She's supposed to come, too!\What's going on?!\I'm sorry.\Stop it already.\Kagome didn't catch a cold because she wanted to.\l-I know that! response:	I'm so sorry, everyone.
context: We head northeast!\Damn! She's supposed to come, too!\What's going on?!\I'm sorry.\Stop it already.\Kagome didn't catch a cold because she wanted to.\l-I know that!\I'm so sorry, everyone. response:	It's for the best. This trip is going to be a long one.
context: Damn! She's supposed to come, too!\What's going on?!\I'm sorry.\Stop it already.\Kagome didn't catch a cold because she wanted to.\l-I know that!\I'm so sorry, everyone.\It's for the best. This trip is going to be a long one. response:	We'll use this time to get things ready.
context: What's going on?!\I'm sorry.\Stop it already.\Kagome didn't catch a cold because she wanted to.\l-I know that!\I'm so sorry, everyone.\It's for the best. This trip is going to be a long one.\We'll use this time to get things ready. response:	Yes! I have to prep all my gadgets.
context: I'm sorry.\Stop it already.\Kagome didn't catch a cold because she wanted to.\l-I know that!\I'm so sorry, everyone.\It's for the best. This trip is going to be a long one.\We'll use this time to get things ready.\Yes! I have to prep all my gadgets. response:	So your cold is actually a blessing, Kagome.
context: Stop it already.\Kagome didn't catch a cold because she wanted to.\l-I know that!\I'm so sorry, everyone.\It's for the best. This trip is going to be a long one.\We'll use this time to get things ready.\Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome. response:	He's right. So don't worry.
context: Kagome didn't catch a cold because she wanted to.\l-I know that!\I'm so sorry, everyone.\It's for the best. This trip is going to be a long one.\We'll use this time to get things ready.\Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome.\He's right. So don't worry. response:	Damn! Hurry and get well!
context: l-I know that!\I'm so sorry, everyone.\It's for the best. This trip is going to be a long one.\We'll use this time to get things ready.\Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome.\He's right. So don't worry.\Damn! Hurry and get well! response:	Inuyasha, I understand yourhaste.
context: I'm so sorry, everyone.\It's for the best. This trip is going to be a long one.\We'll use this time to get things ready.\Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome.\He's right. So don't worry.\Damn! Hurry and get well!\Inuyasha, I understand yourhaste. response:	But don't blame Kagome.
context: It's for the best. This trip is going to be a long one.\We'll use this time to get things ready.\Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome.\He's right. So don't worry.\Damn! Hurry and get well!\Inuyasha, I understand yourhaste.\But don't blame Kagome. response:	Yes, don't!
context: We'll use this time to get things ready.\Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome.\He's right. So don't worry.\Damn! Hurry and get well!\Inuyasha, I understand yourhaste.\But don't blame Kagome.\Yes, don't! response:	I agree!
context: Yes! I have to prep all my gadgets.\So your cold is actually a blessing, Kagome.\He's right. So don't worry.\Damn! Hurry and get well!\Inuyasha, I understand yourhaste.\But don't blame Kagome.\Yes, don't!\I agree! response:	I'm sorry.
context: So your cold is actually a blessing, Kagome.\He's right. So don't worry.\Damn! Hurry and get well!\Inuyasha, I understand yourhaste.\But don't blame Kagome.\Yes, don't!\I agree!\I'm sorry. response:	Geez! I'm not blaming you!
context: He's right. So don't worry.\Damn! Hurry and get well!\Inuyasha, I understand yourhaste.\But don't blame Kagome.\Yes, don't!\I agree!\I'm sorry.\Geez! I'm not blaming you! response:	Honestly...
context: Damn! Hurry and get well!\Inuyasha, I understand yourhaste.\But don't blame Kagome.\Yes, don't!\I agree!\I'm sorry.\Geez! I'm not blaming you!\Honestly... response:	Kagome will recover quicker if Inuyasha isn't around.
context: Inuyasha, I understand yourhaste.\But don't blame Kagome.\Yes, don't!\I agree!\I'm sorry.\Geez! I'm not blaming you!\Honestly...\Kagome will recover quicker if Inuyasha isn't around. response:	But it's a problem that Old Kaede is away.
