context: Here at Talisman Saloon, we only discuss the affairs of others. response:	All right, Lemonade Candy?
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy? response:	Okay.
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy?\Okay. response:	One of my friends is in quite a bind right now.
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy?\Okay.\One of my friends is in quite a bind right now. response:	So I'd like to talk about her, Talisman.
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy?\Okay.\One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman. response:	Of course!
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy?\Okay.\One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman.\Of course! response:	Then, please tell me about the concerns your friend is facing.
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy?\Okay.\One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman.\Of course!\Then, please tell me about the concerns your friend is facing. response:	Talisman!
context: Here at Talisman Saloon, we only discuss the affairs of others.\All right, Lemonade Candy?\Okay.\One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman.\Of course!\Then, please tell me about the concerns your friend is facing.\Talisman! response:	Talisman!
context: All right, Lemonade Candy?\Okay.\One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman.\Of course!\Then, please tell me about the concerns your friend is facing.\Talisman!\Talisman! response:	After she graduated from school, she immediately started a tough job.
context: Okay.\One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman.\Of course!\Then, please tell me about the concerns your friend is facing.\Talisman!\Talisman!\After she graduated from school, she immediately started a tough job. response:	A job carrying a lot of responsibility.
context: One of my friends is in quite a bind right now.\So I'd like to talk about her, Talisman.\Of course!\Then, please tell me about the concerns your friend is facing.\Talisman!\Talisman!\After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility. response:	But that's not the problem.
context: So I'd like to talk about her, Talisman.\Of course!\Then, please tell me about the concerns your friend is facing.\Talisman!\Talisman!\After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility.\But that's not the problem. response:	I'm sure she doesn't regret it.
context: Of course!\Then, please tell me about the concerns your friend is facing.\Talisman!\Talisman!\After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility.\But that's not the problem.\I'm sure she doesn't regret it. response:	I see.
context: Then, please tell me about the concerns your friend is facing.\Talisman!\Talisman!\After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility.\But that's not the problem.\I'm sure she doesn't regret it.\I see. response:	What she's in a bind about is, I suppose, her work relationships.
